Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
04/30/1988,,,,,,,,,,,,,13.358375,,
07/31/1988,,,,,,,,,,,,,14.317268,,
10/31/1988,,,,,,,,,,,,,16.201989,,
01/31/1989,,,,,,,,,,,,,16.003598,,
04/30/1989,,,,,,,,,,,,,15.805206,,
07/31/1989,,,,,3.362833,,,,,,,,18.252037,504.952,
10/31/1989,,,,,3.42128,,,,,,,,19.409322,558.946874,
01/31/1990,,,,,2.982537,,,,,,,,17.392339,493.27675,
04/30/1990,17.77439,,,,3.220236,,1.269403,19.381873,,1.240815,,10.695461,19.277061,524.066891,
07/31/1990,21.618358,,,,3.791133,,1.522033,164.147168,,1.533011,,13.292575,23.674743,663.8445,
10/31/1990,18.630953,,,,3.192334,,1.311489,19.455119,,1.318748,,11.489804,20.698868,580.05125,
01/31/1991,16.996048,,,,1.712811,,1.157178,10.385435,,0.703831,,6.159753,22.748915,314.209,
04/30/1991,17.509728,,,,3.493347,,1.193293,11.690126,,1.417018,,12.507692,23.807005,644.709,
07/31/1991,19.300766,,,,3.788889,,1.314579,11.237491,,1.591724,,14.157288,26.650619,738.486625,
10/31/1991,26.315789,875.014639,972.459754,823.509128,5.075607,,1.808831,17.777241,,2.071112,,18.445397,37.033118,972.459754,
01/31/1992,29.824561,1010.989387,1072.150504,961.095503,4.854513,,2.094384,31.266979,,2.004387,,17.986591,35.975029,961.095503,
04/30/1992,25.643777,863.967261,1049.709504,702.638003,4.158272,,1.825121,21.304258,,1.648097,,14.633499,31.610412,796.808667,
08/01/1992,23.516949,747.015138,841.206126,676.901001,3.747171,,1.678248,19.956641,,1.618821,,14.235622,29.361972,790.845756,
10/31/1992,22.520661,812.079934,862.641133,764.568507,3.605372,,1.638695,14.842643,,1.569685,,13.452982,28.832928,771.716872,
