Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Income from Uncon JVs,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1997,12.525,12.51,,,,,,0.0,0.0,0.015,-7.202,5.436,,,0.257,1.509,0.0,,0.0,5.323,-1.555,1.479,0.076,0.0,3.768,0.0,,,,0.0,,,3.768,,3.327,0.0,,3.327,3.327,,8.531,0.39,0.39,0.39,8.531,0.39,0.39,0.39,,,,,,,,,,4.798,,4.798,,,,,,,4.798,0.562419,0.562419,0.0,0.0,0.0,0.0,
06/30/1997,16.393999,14.507,,,,,,0.0,0.0,1.887,-9.566,6.274,,,1.171,2.121,0.0,,0.0,6.828,-1.431,1.507,-0.076,0.0,5.397,0.0,,,,0.0,,,5.397,,4.17,0.0,,4.17,4.17,,10.71,0.31,0.31,0.31,10.71,0.31,0.31,0.31,,,,,,,,,,6.246,,6.246,,,,,,,6.246,0.583193,0.583193,0.0,0.0,0.0,0.0,
09/30/1997,7.149,6.942,,,,,,0.0,0.0,0.207,-3.973,2.69,,,0.437,0.846,0.0,,0.0,3.176,-0.723,0.593,0.13,0.0,2.453,0.0,,,,1.874,,,0.579,,0.182,0.0,,0.182,0.182,,12.292,0.015,0.16,0.16,14.8,0.015,0.16,0.16,,,,,,,,,,2.859,,2.859,,,,,,,2.859,0.193176,0.193176,0.0,0.0,0.0,0.0,
12/31/1997,16.058001,15.78,,,,,0.0,0.0,0.0,0.278,-10.365,7.885,,,0.511,1.969,0.0,,0.0,5.693,-1.513,1.542,-0.029,0.0,4.18,0.0,,,,0.0,,,4.18,,3.503,0.0,,3.503,3.503,,12.292,0.28,0.28,0.28,14.795,0.28,0.28,0.28,,,,,,,,,,5.422,,5.422,,,,,,,5.422,0.366475,0.366475,0.51,139.163593,139.163593,115.621544,
03/31/1998,22.197,21.556,,,,,,,,0.641,-13.866,10.135,,,1.038,2.693,,,,8.331,-3.452,3.494,-0.042,,4.879,,,,,,,,,,4.089,,,4.089,4.089,,12.292,0.33,0.33,0.33,12.404,0.33,0.33,0.33,,,,,,,,,,7.331,,7.331,,,,,,,7.331,0.591019,0.591019,,,,0.0,
06/30/1998,33.663,32.735,,,,,,,,0.928,-22.561,17.266,,,1.344,3.951,,,,11.102,-3.968,3.877,0.091,,7.134,,,,,0.522,,,,,5.85,-1.12,,4.659,4.659,,18.358,0.25,0.28,0.28,18.42,0.25,0.28,0.28,,,,,,,,,,9.581,,9.581,,,,,,,9.581,0.520141,0.520141,0.35,67.289427,67.289427,67.062937,
09/30/1998,39.75,38.881001,,,,,,,,0.869,-26.251,20.611,,,1.571,4.069,,,,13.499,-2.441,2.419,0.022,,11.058,,,,,,,,,,10.256,-2.3,,7.823,7.823,,23.922001,0.33,0.33,0.33,23.927999,0.33,0.33,0.33,,,,,,,,,,-4.271,,-4.271,,,,,,,-4.271,-0.178494,-0.178494,0.35,,,,
12/31/1998,38.942,37.635,,,,,,,,1.307,-24.917,18.419,,,1.807,4.691,,,,12.784,-2.838,3.296,-0.458,0.0,9.946,,,,,0.0,,,,,9.256,-2.346,,6.91,6.91,,24.128,0.307154,0.307154,0.307154,33.828,0.219079,0.219079,0.219079,,,,,,,,,,12.614,,12.614,,,,,,,12.614,0.372886,0.372886,0.7,187.72475,187.72475,116.212145,
03/31/1999,46.662,45.359,,,,,,,,1.303,-24.155,21.51,,,2.645,5.438,,,,17.069,-5.027,5.238,-0.211,,12.042,,,,,,,,,,10.613,-2.3,,8.214,8.214,,24.192,0.34,0.34,0.34,26.664,0.34,0.34,0.34,,,,,,,,,,16.339,,16.339,,,,,,,16.339,0.612774,0.612774,0.35,57.117327,57.117327,51.814677,
06/30/1999,50.809,48.995,,,,,,,,1.814,-31.147,21.786,,,2.771,6.59,,,,19.662,-6.594,6.711,-0.117,,13.068,,,,,0.628,,,,,10.776,-2.3,,8.377,8.377,,24.192,0.35,0.37,0.37,24.26,0.35,0.37,0.37,,,,,,,,,,18.125,,18.125,,,,,,,18.125,0.747115,0.747115,0.35,46.846897,46.846897,93.37931,
