Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,FFO Per Share,FFO Per Share Surprise %,EBIT,EBIT Surprise %,EBITDA,EBITDA Surprise %,Net Income,Net Income Surprise %,Source: Bloomberg
03/31/1994,,,10.815,,8.534,8.534,,,,,,,,,
06/30/1994,,,13.623,,6.749,6.749,,,,,,,,,
09/30/1994,,,14.721,,8.604,8.604,,,,,,,,,
12/31/1994,,,2.198,,-0.51,-0.51,,,,,,,,,
03/31/1995,,,12.647,,12.647,12.647,,,,,,,,,
06/30/1995,,,14.195,,13.947,13.947,,,,,,,,,
09/30/1995,,,17.41,,14.774,14.774,,,,,,,,,
12/31/1995,,,16.813999,,16.413,16.413,,,,,,,,,
03/31/1996,,,13.419,,13.154001,13.154001,,,,,,,,,
06/30/1996,,,13.412,,13.412,13.412,,,,,,,,,
09/30/1996,,,17.313999,,14.783999,14.783999,,,,,,,,,
12/31/1996,,,31.938,,31.211999,31.211999,,,,,,,,,
03/31/1997,,,31.48,,8.233,8.233,,,,,,,,,
06/30/1997,,,26.417999,,24.951,24.951,,,,,,,,,
09/30/1997,,,17.427,,44.642,44.642,,,,,,,,,
12/31/1997,,,32.605999,,30.163002,30.163002,,,,,,,,,
03/31/1998,,,23.948,,23.947999,23.947999,,,,,,,,,
06/30/1998,,,20.443001,,27.466999,27.466999,,,,,,,,,
09/30/1998,,,28.988001,,28.965999,28.965999,,,,,,,,,
12/31/1998,,,53.073002,,53.217001,53.217001,,,,,,,,,
03/31/1999,,,36.728001,,34.954,34.954,,,,,,,,,
06/30/1999,,,38.505001,,14.991,14.991,,,,,,,,,
09/30/1999,,,54.845001,,42.435,42.435,,,,,,,,,
12/31/1999,,,42.904999,,50.426998,50.426998,,,,,,,,,
03/31/2000,,,41.025002,,28.243,28.243,,,,,,,,,
06/30/2000,,,41.012001,,41.012,41.012,,,,,,,,,
09/30/2000,,,42.025002,,42.025,42.025,,,,,,,,,
12/31/2000,,,75.457001,,75.248,75.248,,,,,,,,,
03/31/2001,,,32.602001,,30.939,30.939,,,,,,,,,
06/30/2001,,,36.745998,,36.746,36.746,,,,,,,,,
09/30/2001,,,36.471001,,36.251,36.251,,,,,,,,,
12/31/2001,,,90.507004,,43.853,43.853,,,,,,,,,
03/31/2002,,,30.006001,,30.006,30.006,,,,,,,,,
06/30/2002,,,155.595993,,173.17,173.17,,,,,,,,,
09/30/2002,,,58.445,,58.903,58.903,,,,,,,,,
12/31/2002,,,90.288002,,96.308,96.308,,,,,,,,,
03/31/2003,,,55.139999,,55.14,55.14,,,,,,,,,
06/30/2003,,,67.595001,,50.292,50.292,,,,,,,,,
09/30/2003,,,65.827003,,42.721,42.721,,,,,,,,,
12/31/2003,,,115.664001,,,,,,,,,,,,
03/31/2004,,,48.854,,48.351,48.351,,,,,,,,,
06/30/2004,,,68.825996,,70.711,70.711,,,,,,,,,
09/30/2004,,,74.531998,,74.141,74.141,,,,,,,,,
12/31/2004,,,92.717003,,107.444,107.444,,,,,,,,,
03/31/2005,,,57.092999,,57.067,57.067,,,,,,,,,
06/30/2005,,,33.522999,,154.811,154.811,,,,,,,,,
09/30/2005,,102.0,63.438,,74.358,74.358,,2.37135135135135,,,,,,-37.8058823529412,
12/31/2005,,130.667,93.967003,,115.659,115.659,,5.69969879518071,,,,,,-28.0866607483144,
03/31/2006,,78.55,103.853996,17.2677810581732,104.017,104.017,,10.7885819521178,,,,,,32.213871419478,
