Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1996,6.313,,-5.011,,,1.302,,-1.802,,,-0.5,0.014,,0.102,,0.0,-0.116,-0.486,0.0,-0.486,0.0,,,-0.486,0.0,-0.486,0.0,,-0.486,-0.486,,32.812,-0.015,-0.015,-0.015,32.812,-0.015,-0.015,-0.015,
12/31/1996,6.612,,-5.223,,,1.389,,-2.438,,,-1.049,0.24,,0.065,,0.0,-0.305,-0.809,0.0,-0.809,0.0,,,-0.809,0.0,-0.809,0.0,,-0.809,-0.809,,40.0,-0.02,-0.02,-0.02,40.0,-0.02,-0.02,-0.02,
03/31/1997,9.879,,-7.911,,,1.968,,-1.969,1.969,0.0,-0.001,0.103,-0.103,0.123,-0.226,0.0,0.0,0.102,0.0,0.102,0.0,,,0.102,0.0,0.102,0.0,0.0,0.102,0.102,,42.06842,0.0025,0.0025,0.0025,42.06842,0.0025,0.0025,0.0025,
06/30/1997,10.937,,-8.195,,,2.742,,-2.636,2.636,0.0,0.106,0.079,-0.079,0.092,-0.171,0.0,0.0,0.185,-0.005,0.18,0.0,,,0.18,0.0,0.18,0.0,0.0,0.18,0.18,,42.363076,0.005,0.005,0.005,42.363076,0.005,0.005,0.005,
09/30/1997,12.659,,-9.007,,,3.652,,-3.122,3.122,0.0,0.53,0.01,-0.01,0.121,-0.131,0.0,0.0,0.54,-0.011,0.529,0.0,,,0.529,0.0,0.529,0.0,0.0,0.529,0.529,,43.357744,0.0125,0.0125,0.0125,43.357744,0.0125,0.0125,0.0125,
12/31/1997,12.691,,-8.996,,,3.695,,-2.944,,,0.751,-0.002,,0.092,,0.0,-0.09,0.749,-0.13,0.619,0.0,,,0.619,0.0,0.619,0.0,,0.619,0.619,,44.259998,0.015,0.015,0.015,44.259998,0.015,0.015,0.015,
09/30/1998,16.741,,-10.863,,,5.878,,-3.793,3.793,0.0,2.085,-0.029,0.049,0.118,-0.069,0.0,-0.02,2.056,-0.503,1.553,0.0,,,1.553,0.0,1.553,0.0,0.0,1.553,1.553,,42.778732,0.0375,0.0375,0.0375,45.458096,0.035,0.035,0.035,
12/31/1998,21.922001,,-14.836,,,7.086,,-4.778,,,2.308,-0.149,,0.535,,0.0,-0.386,2.159,0.133,2.292,0.0,,,2.292,0.0,2.292,0.0,,2.292,2.292,,43.495998,0.05,0.05,0.05,45.68,0.05,0.05,0.05,
03/31/1999,23.868,,-15.861,,,8.007,,-5.084,,,2.923,0.097,0.286,0.363,-0.077,,-0.383,3.02,-0.593,2.427,,,,2.427,,2.427,,,2.427,2.427,,52.275724,0.0475,0.0475,0.0475,54.13812,0.045,0.045,0.045,
06/30/1999,25.019,,-16.479,,,8.54,,-5.186,,,3.354,0.029,-0.023,0.172,-0.195,0.0,-0.006,3.383,-0.823,2.56,0.0,,,2.56,0.0,2.56,0.0,0.0,2.56,2.56,,58.184804,0.045,0.045,0.045,59.514736,0.0425,0.0425,0.0425,
09/30/1999,25.398,,-16.658,,,8.74,,-5.271,,,3.469,0.165,-0.15,0.154,-0.304,,-0.015,3.634,-0.752,2.882,,,,2.882,,2.882,,,2.882,2.882,,58.420876,0.05,0.05,0.05,60.01242,0.0475,0.0475,0.0475,
12/31/1999,58.563,,-37.125,,,21.438,,-10.939,8.426,2.513,10.499,-12.738,4.938,5.506,-0.568,0.0,7.8,-2.239,8.338,6.099,0.0,,,6.099,0.0,6.099,0.0,0.0,6.099,6.099,,70.148896,0.0875,0.0875,0.2,70.148896,0.0875,0.0875,0.2,
03/31/2000,77.668,,-47.357,,,30.311,,-14.484,14.484,0.0,15.827,-9.547,9.659,9.855,-0.196,,-0.112,6.28,-2.507,3.773,,,,3.773,,3.773,,0.0,3.773,3.773,,58.986412,0.0625,0.0625,0.0625,78.35636,0.0475,0.0475,0.0475,
06/30/2000,79.557,,-48.261,,,31.296,,-14.726,,,16.57,-11.39,9.843,9.955,-0.112,0.0,1.547,5.18,-2.094,3.086,0.0,,,3.086,0.0,3.086,-0.633,0.0,2.453,2.453,,59.170408,0.0425,0.0425,0.0425,79.669196,0.0375,0.0375,0.0375,
09/30/2000,81.066,,-49.151,,,31.915,,-14.765,,,17.15,-11.311,9.684,9.861,-0.177,,1.627,5.839,-2.406,3.433,,,,3.433,,3.433,,,3.433,3.433,,59.489288,0.0475,0.0475,0.0475,80.384492,0.0425,0.0425,0.0425,
12/31/2000,85.431,,-51.576,,,33.855,,-15.483,11.997,3.486,18.372,-11.855,10.041,10.114,-0.073,0.0,1.814,6.517,-2.298,4.219,0.0,,,4.219,0.0,4.219,-0.617,0.0,3.602,3.602,,81.72286,0.051625,0.051625,0.07075,81.72286,0.051625,0.051625,0.069125,
03/31/2001,85.835,,-51.771,,,34.064,,-15.828,,,18.236,-9.809,9.399,9.44,-0.041,,0.41,8.427,-3.41,5.017,,,,5.017,,5.017,,0.0,5.017,5.017,,60.9597,0.0823,0.0823,0.08475,82.379944,0.060901,0.060901,0.0625,
06/30/2001,88.549,,-53.348,,,35.201,,-16.25,,,18.951,-9.52,,9.016,-0.139,,0.643,9.431,-3.837,5.594,,,,5.594,,5.594,,,5.594,5.594,,61.622728,0.09,0.09,0.09,61.622728,0.0675,0.0675,0.0675,
09/30/2001,91.261,,-54.794,,,36.467,,-16.717,16.717,0.0,19.75,-9.19,8.857,8.942,-0.085,0.0,0.333,10.56,-4.225,6.335,0.0,,,6.335,0.0,6.335,-0.657,0.0,5.678,5.678,,62.639648,0.1,0.1,0.1,84.392744,0.075,0.075,0.075,
12/31/2001,93.379,,-56.046,,,37.333,,-17.291,13.772,3.519,20.042,-7.918,7.918,8.019,-0.101,0.0,-4.633,16.757,-3.257,5.073,7.309,,,6.191,0.0,-2.236,-0.59,0.0,-2.826,-2.826,,69.320244,-0.032256,0.073182,0.073182,87.424912,-0.032256,-0.032256,-0.032256,
