Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,36.6,249.1,188.7,,2.1,,,,,1.819447,12.383178,9.380593,,1.278022,8.698233,6.589147,,
06/30/2008,20.8,202.3,191.5,,1.4,,,,,0.979423,9.525828,9.017281,,0.697893,6.78768,6.425312,,
09/30/2008,196.6,158.7,176.8,,0.4,,,,,9.293751,7.502127,8.357757,,6.586706,5.316939,5.923345,,
12/31/2008,176.2,153.3,86.9,,1.6,,,,,8.323885,7.242063,4.105253,,5.999932,5.220145,2.959104,,
03/31/2009,181.4,125.4,82.5,389.3,2.0,0.0,0.0,2.0,,8.720735,6.028556,3.966155,18.715446,6.479497,4.479211,2.94685,13.905558,
06/30/2009,198.9,88.4,88.1,375.4,3.8,,,3.8,,9.329706,4.146536,4.132464,17.608706,6.992933,3.10797,3.097423,13.198326,
09/30/2009,220.2,79.7,73.3,373.2,3.9,,,3.9,,10.36772,3.752531,3.451198,17.571449,7.646364,2.767553,2.545316,12.959233,
12/31/2009,110.8,93.3,71.2,,3.3,0.8,,,,5.020845,4.227841,3.226391,,3.106687,2.61601,1.996355,,
03/31/2010,119.4,98.1,57.1,274.6,,,,,-5.0,5.395147,4.432696,2.580091,12.407935,3.348571,2.751213,1.601369,7.701153,
06/30/2010,34.9,45.9,13.1,93.9,,,,,-13.4,1.593898,2.096273,0.598283,4.288455,0.971522,1.277733,0.364669,2.613924,
09/30/2010,6.4,40.8,7.3,54.5,,4.4,109.2,113.6,-18.8,0.2801,1.785636,0.319489,2.385225,0.152258,0.970643,0.173669,1.296569,
12/31/2010,0.0,41.1,6.8,,87.2,4.3,26.2,,,0.0,1.790382,0.296219,,0.0,0.891173,0.147445,,
03/31/2011,8.2,46.4,8.5,63.1,,,31.6,31.6,1.3,0.345307,1.953931,0.35794,2.657178,0.165346,0.935616,0.171395,1.272357,
06/30/2011,12.8,35.4,6.7,54.9,,2.8,51.0,53.8,6.1,0.52753,1.458952,0.276129,2.262611,0.241628,0.668252,0.126477,1.036357,
09/30/2011,1.2,18.6,2.3,22.1,,9.9,118.8,128.7,7.5,0.050992,0.790379,0.097735,0.939107,0.019091,0.295914,0.036592,0.351597,
12/31/2011,1.2,16.2,0.4,,,5.6,90.8,,16.8,0.152886,2.063957,0.050962,,0.024582,0.331858,0.008194,,
03/31/2012,,16.1,0.8,16.9,1.1,8.7,87.8,97.6,-0.5,,2.29803,0.114188,2.412218,,0.335012,0.016647,0.351658,
06/30/2012,2.3,17.5,0.3,20.1,,4.7,98.4,103.1,-11.6,0.358591,2.728407,0.046773,3.13377,0.051073,0.388595,0.006662,0.446329,
09/30/2012,9.4,14.7,0.1,24.2,,5.4,35.0,40.4,,1.438409,2.249426,0.015302,3.703137,0.200298,0.313232,0.002131,0.515662,
12/31/2012,,13.4,0.2,,-6.6,-5.0,-24.9,,-15.2,,1.978152,0.029525,,,0.282385,0.004215,,
03/31/2013,0.0,13.1,0.0,13.1,-3.8,-13.2,-24.6,-41.6,-0.5,0.0,2.435397,0.0,2.435397,0.0,0.28771,0.0,0.28771,
06/30/2013,1.7,14.2,0.0,15.9,2.5,21.3,27.6,51.4,27.6,0.398406,3.327865,0.0,3.726271,0.036282,0.303063,0.0,0.339345,
09/30/2013,1.7,14.6,0.2,16.5,1.4,36.8,50.4,88.6,-3.1,0.291345,2.502142,0.034276,2.827763,0.030548,0.262354,0.003594,0.296496,
12/31/2013,0.7,517.4,0.0,518.1,11.5,782.0,35.2,828.7,-6.2,0.205158,151.641266,0.0,151.846424,0.010478,7.744929,0.0,7.755408,
03/31/2014,0.7,817.4,0.0,818.1,3.4,1532.5,31.6,1567.5,-0.4,-0.295983,-345.623679,0.0,-345.919662,0.009768,11.406483,0.0,11.416252,
09/30/2014,1.6,19.3,0.0,20.9,5.2,65.1,40.0,110.3,1.7,0.125137,1.509463,0.0,1.6346,0.015581,0.187948,0.0,0.203529,
12/31/2014,1.9,22.9,0.0,24.8,4.5,69.0,42.7,116.2,,0.127981,1.542503,0.0,1.670484,0.016522,0.199134,0.0,0.215656,
03/31/2015,3.0,117.0,0.0,120.0,1.0,146.0,525.0,672.0,5.0,0.200669,7.826087,0.0,8.026756,0.02172,0.847089,0.0,0.86881,
06/30/2015,2.0,124.0,0.0,126.0,4.0,131.0,545.0,680.0,,0.060459,3.748489,0.0,3.808948,0.011391,0.706271,0.0,0.717662,
09/30/2015,20.0,132.0,49.0,201.0,34.0,138.0,535.0,707.0,,0.43735,2.886508,1.071507,4.395364,0.096553,0.63725,0.236555,0.970358,
