Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Other Non - Cash Adjusted,Net Ch in Operating Capital,Change of Accrued Interest Receivable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2012,,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2012,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2012,,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2013,1586.0,359,27.0,1047.0,-130.0,-130.0,0.0,283.0,21.0,262.0,0.0,8126.0,0.0,0.0,0.0,-11.0,12.0,0.0,12.0,0.0,-23.0,0.0,0.0,-23.0,1754.0,1754.0,0.0,0.0,6393.0,0.0,6393.0,0.0,-10.0,-5720.0,0.0,-3395.0,0.0,0.0,866.0,-4261.0,0.0,0.0,0.0,-3003.0,678.0,,3992.0,
06/30/2013,1184.0,536,25.0,666.0,-85.0,-85.0,0.0,42.0,40.0,2.0,0.0,-2469.0,0.0,0.0,0.0,-33.0,11.0,0.0,11.0,0.0,-44.0,,,,-2209.0,-2209.0,0.0,0.0,-6599.0,0.0,-6599.0,0.0,6372.0,-931.0,0.0,913.0,,,,,0.0,0.0,0.0,-1210.0,-634.0,,-2216.0,
09/30/2013,1764.0,641,25.0,541.0,18.0,18.0,0.0,539.0,-77.0,616.0,,-2098.0,0.0,,0.0,-11.0,12.0,0.0,12.0,0.0,-23.0,0.0,-23.0,0.0,4349.0,4349.0,,,0.0,0.0,0.0,0.0,-6436.0,-106.0,0.0,-664.0,0.0,0.0,0.0,-664.0,0.0,0.0,0.0,1137.0,-579.0,,-440.0,
12/31/2013,1145.0,443,27.0,818.0,-40.0,-40.0,0.0,-103.0,-136.0,33.0,0.0,-4625.0,0.0,0.0,0.0,-5.0,5.0,0.0,5.0,0.0,-10.0,0.0,-10.0,0.0,-11166.0,-11166.0,,,6599.0,0.0,6599.0,0.0,-53.0,3129.0,0.0,-345.0,0.0,0.0,0.0,-345.0,0.0,0.0,0.0,3557.0,-83.0,,-351.0,
03/31/2014,1772.0,558,31.0,764.0,20.0,20.0,0.0,399.0,137.0,262.0,0.0,1865.0,0.0,0.0,0.0,-26.0,5.0,0.0,5.0,0.0,-31.0,0.0,-31.0,0.0,2184.0,2184.0,0.0,0.0,0.0,0.0,0.0,0.0,-293.0,-625.0,0.0,-1617.0,0.0,0.0,0.0,-1617.0,0.0,0.0,0.0,1492.0,-500.0,0.0,3012.0,
06/30/2014,1227.0,472,32.0,681.0,-78.0,-78.0,0.0,120.0,43.0,77.0,0.0,-2880.0,0.0,0.0,0.0,-27.0,5.0,0.0,5.0,0.0,-32.0,0.0,-32.0,0.0,-2882.0,-2882.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3104.0,0.0,175.0,0.0,0.0,3400.0,-3225.0,0.0,0.0,0.0,3103.0,-174.0,0.0,1451.0,
09/30/2014,4294.0,548,96.0,2120.0,817.0,-213.0,1030.0,713.0,274.0,439.0,0.0,-3911.0,0.0,,0.0,-81.0,19.0,0.0,19.0,0.0,-100.0,0.0,-100.0,0.0,-3189.0,-3189.0,,,0.0,0.0,0.0,0.0,-641.0,12106.0,0.0,3169.0,0.0,0.0,17008.0,-13839.0,2842.0,2842.0,0.0,6822.0,-727.0,,12489.0,
12/31/2014,1046.0,531,35.0,797.0,10.0,10.0,0.0,-327.0,-206.0,-121.0,,-6157.0,0.0,,0.0,-1268.0,8.0,0.0,8.0,0.0,-1276.0,0.0,-1276.0,0.0,-4056.0,-4056.0,,,0.0,0.0,0.0,0.0,-833.0,2131.0,0.0,-197.0,0.0,0.0,2053.0,-2250.0,0.0,0.0,0.0,2222.0,106.0,,-2980.0,
03/31/2015,1665.0,552,37.0,687.0,86.0,86.0,0.0,303.0,134.0,169.0,0.0,1350.0,0.0,0.0,0.0,-1522.0,317.0,0.0,317.0,0.0,-1839.0,0.0,-1839.0,0.0,2124.0,2124.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,-3625.0,0.0,-3411.0,0.0,0.0,1737.0,-5148.0,0.0,0.0,0.0,-214.0,0.0,0.0,-610.0,
06/30/2015,1313.0,541,44.0,740.0,-61.0,-61.0,0.0,49.0,61.0,-12.0,0.0,-4341.0,0.0,0.0,0.0,-567.0,717.0,0.0,717.0,0.0,-1284.0,0.0,-1284.0,0.0,-3629.0,-3629.0,,,0.0,0.0,0.0,0.0,-145.0,2431.0,0.0,-383.0,0.0,0.0,1411.0,-1794.0,0.0,0.0,0.0,2800.0,14.0,0.0,-597.0,
09/30/2015,1317.0,574,46.0,702.0,-57.0,-57.0,0.0,52.0,-213.0,265.0,0.0,-2619.0,0.0,0.0,0.0,89.0,1713.0,0.0,1713.0,0.0,-1624.0,0.0,-1624.0,0.0,-2592.0,-2592.0,,,0.0,0.0,0.0,0.0,-116.0,2952.0,0.0,164.0,0.0,0.0,1603.0,-1439.0,0.0,0.0,0.0,2767.0,21.0,,1650.0,
12/31/2015,1889.0,547,47.0,823.0,-263.0,-263.0,0.0,735.0,-145.0,880.0,0.0,-5193.0,0.0,0.0,0.0,436.0,791.0,0.0,791.0,0.0,-355.0,0.0,-355.0,0.0,-5414.0,-5414.0,0.0,0.0,0.0,0.0,0.0,0.0,-215.0,3358.0,0.0,463.0,0.0,0.0,2075.0,-1612.0,0.0,0.0,0.0,2900.0,-5.0,,54.0,
03/31/2016,1500.0,582,54.0,903.0,175.0,175.0,0.0,-214.0,63.0,-277.0,0.0,1201.0,0.0,0.0,0.0,200.0,213.0,0.0,213.0,0.0,-13.0,0.0,-13.0,0.0,1504.0,1504.0,0.0,0.0,0.0,0.0,0.0,0.0,-503.0,-2526.0,0.0,-3818.0,0.0,0.0,748.0,-4566.0,0.0,0.0,0.0,1292.0,0.0,0.0,175.0,
06/30/2016,1472.0,489,54.0,1021.0,-78.0,-78.0,0.0,-14.0,-98.0,84.0,0.0,-2436.0,0.0,0.0,0.0,231.0,783.0,0.0,783.0,0.0,-552.0,0.0,-552.0,0.0,-3171.0,-3171.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,251.0,0.0,-1192.0,0.0,0.0,1917.0,-3109.0,0.0,0.0,0.0,1445.0,-2.0,0.0,-713.0,
09/30/2016,1815.0,604,56.0,986.0,-50.0,-50.0,0.0,219.0,-70.0,289.0,0.0,-3916.0,0.0,0.0,0.0,-634.0,42.0,0.0,42.0,0.0,-676.0,0.0,-676.0,0.0,-3160.0,-3160.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.0,3902.0,-107.0,869.0,0.0,0.0,2294.0,-1425.0,-238.0,0.0,-238.0,3382.0,-4.0,0.0,1801.0,
12/31/2016,1724.0,576,55.0,1076.0,342.0,342.0,0.0,-325.0,-324.0,-1.0,0.0,-8213.0,0.0,0.0,0.0,-1797.0,342.0,0.0,342.0,0.0,-2139.0,0.0,-2139.0,0.0,-6319.0,-6319.0,,,0.0,0.0,0.0,0.0,-97.0,2178.0,-107.0,-25.0,0.0,0.0,25.0,-50.0,-238.0,0.0,-238.0,2547.0,1.0,0.0,-4311.0,
03/31/2017,1480.0,499,59.0,1306.0,19.0,19.0,0.0,-403.0,40.0,-443.0,0.0,1380.0,0.0,0.0,0.0,-223.0,399.0,0.0,399.0,0.0,-622.0,0.0,-622.0,0.0,1845.0,1845.0,0.0,0.0,0.0,0.0,0.0,0.0,-242.0,-829.0,-105.0,42.0,0.0,0.0,750.0,-708.0,-238.0,0.0,-238.0,-528.0,0.0,0.0,2031.0,
06/30/2017,1724.0,496,59.0,1326.0,-200.0,-200.0,0.0,43.0,-136.0,179.0,0.0,-1820.0,0.0,0.0,0.0,1332.0,1676.0,0.0,1676.0,0.0,-344.0,0.0,-344.0,0.0,-3097.0,-3097.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,1284.0,-105.0,511.0,0.0,0.0,1561.0,-1050.0,-438.0,0.0,-438.0,1320.0,-4.0,0.0,1188.0,
09/30/2017,2588.0,555,69.0,1310.0,367.0,367.0,0.0,287.0,-14.0,301.0,0.0,-1462.0,0.0,0.0,0.0,631.0,912.0,0.0,912.0,0.0,-281.0,0.0,-281.0,0.0,-2527.0,-2527.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,595.0,-118.0,-815.0,0.0,0.0,811.0,-1626.0,-390.0,0.0,-390.0,1922.0,-4.0,0.0,1721.0,
12/31/2017,2783.0,385,67.0,1354.0,199.0,199.0,0.0,778.0,-188.0,966.0,0.0,-7640.0,0.0,0.0,0.0,-1137.0,775.0,0.0,775.0,0.0,-1912.0,0.0,-1912.0,0.0,-5892.0,-5892.0,0.0,0.0,0.0,0.0,0.0,0.0,-611.0,2066.0,-118.0,895.0,0.0,0.0,2921.0,-2026.0,-431.0,0.0,-431.0,1717.0,3.0,0.0,-2791.0,
03/31/2018,1915.0,640,71.0,1362.0,19.0,19.0,0.0,-177.0,16.0,-193.0,0.0,755.0,0.0,0.0,0.0,-1828.0,718.0,0.0,718.0,0.0,-2546.0,0.0,-2546.0,0.0,2659.0,2659.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,-313.0,-114.0,213.0,0.0,0.0,1914.0,-1701.0,-410.0,0.0,-410.0,-3.0,1.0,0.0,2357.0,
06/30/2018,2166.0,696,73.0,1280.0,-30.0,-30.0,0.0,147.0,0.0,147.0,0.0,-3029.0,0.0,0.0,0.0,-513.0,1950.0,0.0,1950.0,0.0,-2463.0,0.0,-2463.0,0.0,-2329.0,-2329.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.0,2579.0,-113.0,701.0,0.0,0.0,1451.0,-750.0,-491.0,0.0,-491.0,2487.0,-5.0,0.0,1716.0,
09/30/2018,2685.0,671,78.0,1451.0,-42.0,-42.0,0.0,527.0,-52.0,579.0,0.0,-10477.0,0.0,0.0,0.0,-503.0,1293.0,0.0,1293.0,0.0,-1796.0,0.0,-1796.0,0.0,-9622.0,-9622.0,0.0,0.0,0.0,0.0,0.0,0.0,-352.0,4173.0,-156.0,2016.0,0.0,0.0,2372.0,-356.0,-967.0,0.0,-967.0,3308.0,-28.0,0.0,-3619.0,
12/31/2018,2576.0,783,80.0,1452.0,0.0,0.0,0.0,261.0,-244.0,505.0,0.0,-6285.0,0.0,0.0,0.0,1241.0,1707.0,0.0,1707.0,0.0,-466.0,0.0,-466.0,0.0,-7339.0,-7339.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.0,1814.0,-151.0,250.0,0.0,0.0,600.0,-350.0,0.0,0.0,0.0,1717.0,-2.0,0.0,-1895.0,
03/31/2019,2289.0,1107,87.0,859.0,145.0,145.0,0.0,91.0,80.0,11.0,0.0,3810.0,0.0,0.0,0.0,251.0,2214.0,0.0,2214.0,0.0,-1963.0,0.0,-1963.0,0.0,3760.0,3760.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,-3182.0,-150.0,-2109.0,0.0,0.0,2738.0,-4847.0,-967.0,0.0,-967.0,36.0,8.0,0.0,2917.0,
06/30/2019,1966.0,853,92.0,1198.0,-10.0,-10.0,0.0,-167.0,-213.0,46.0,0.0,-3182.0,0.0,0.0,0.0,-378.0,1883.0,0.0,1883.0,0.0,-2261.0,0.0,-2261.0,0.0,-2667.0,-2667.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.0,68.0,-145.0,-653.0,0.0,0.0,1547.0,-2200.0,-725.0,0.0,-725.0,1580.0,11.0,0.0,-1148.0,
09/30/2019,2399.0,1056,94.0,1019.0,-32.0,-32.0,0.0,262.0,-297.0,559.0,0.0,-1570.0,0.0,0.0,0.0,1715.0,2669.0,0.0,2669.0,0.0,-954.0,0.0,-954.0,0.0,-3181.0,-3181.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.0,-1253.0,-145.0,-2385.0,0.0,0.0,1045.0,-3430.0,-550.0,0.0,-550.0,324.0,1503.0,0.0,-424.0,
12/31/2019,2336.0,731,94.0,1104.0,-80.0,-80.0,0.0,487.0,39.0,448.0,0.0,681.0,0.0,0.0,0.0,-1359.0,1319.0,0.0,1319.0,0.0,-2678.0,0.0,-2678.0,0.0,2186.0,2186.0,0.0,0.0,0.0,0.0,0.0,0.0,-146.0,-2091.0,-141.0,-500.0,0.0,0.0,0.0,-500.0,-642.0,734.0,-1376.0,-823.0,15.0,0.0,926.0,
03/31/2020,1537.0,286,96.0,1677.0,-109.0,-109.0,0.0,-413.0,-41.0,-372.0,0.0,3887.0,0.0,0.0,0.0,-207.0,1175.0,0.0,1175.0,0.0,-1382.0,0.0,-1382.0,0.0,4173.0,4173.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,-4287.0,-146.0,-2623.0,0.0,0.0,500.0,-3123.0,-985.0,0.0,-985.0,-528.0,-5.0,0.0,1137.0,
06/30/2020,2381.0,48,97.0,1673.0,-219.0,-219.0,0.0,782.0,389.0,393.0,0.0,2045.0,0.0,0.0,0.0,-457.0,3052.0,0.0,3052.0,0.0,-3509.0,0.0,-3509.0,0.0,2607.0,2607.0,0.0,0.0,0.0,0.0,0.0,0.0,-105.0,-1796.0,-139.0,-1183.0,0.0,0.0,0.0,-1183.0,0.0,0.0,0.0,-469.0,-5.0,0.0,2630.0,
