Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
01/02/2000,,,,,,,,,,,,,9.4375,,
04/02/2000,,572.609505,572.609505,572.609505,8.952595,10.466776,,,,,,,18.5,573.978494,
07/02/2000,,501.51019,602.63238,387.108041,8.67732,10.017579,,,,,,,18.875,593.687751,
10/01/2000,,701.258472,1018.758904,496.510663,5.987797,6.312684,,,,,,,29.125,922.826766,
12/31/2000,17.119565,727.41341,853.538004,579.63351,4.57537,4.79899,0.842617,18.198427,89.059425,0.919812,10.20004,12.808107,23.625,731.342873,
04/01/2001,12.173913,515.19645,643.084312,370.878155,2.615811,2.735225,0.523369,,,0.59093,7.48764,10.053448,14.0,466.480002,
07/01/2001,15.833333,502.517029,637.05375,429.765242,3.031492,3.146261,0.606736,,,0.667627,9.192986,13.371616,15.2,514.807207,
09/30/2001,19.451219,499.413703,584.571408,442.926501,3.06206,3.183006,0.665346,825.148004,,0.704989,10.718099,17.018834,15.95,532.689521,
12/31/2001,23.271428,523.16646,585.528045,477.305708,2.999997,3.535418,0.69643,30.707552,,0.721617,11.600419,19.966521,16.29,537.09941,
03/31/2002,23.352113,523.359082,559.528299,463.721388,2.964927,3.473977,0.717262,10.261592,17.038173,0.735369,11.66944,19.803976,16.58,542.628935,
06/30/2002,28.819444,604.489574,691.619272,524.99031,3.58287,4.172143,0.895636,8.181836,10.201042,0.919831,11.645435,17.542994,20.75,682.422474,
09/29/2002,23.0,564.711683,631.373391,487.811925,2.868495,3.760265,0.740129,5.813624,6.95052,0.726987,8.886585,13.362629,17.25,543.858978,
12/29/2002,19.545455,476.542701,572.755703,423.498238,2.728153,3.640282,0.62742,6.601892,8.349444,0.599634,7.239648,10.97956,15.05,463.337447,
03/30/2003,16.282051,413.460803,500.119268,333.289968,2.226687,2.935324,0.52085,6.4858,8.46496,0.499869,6.039894,9.186848,12.7,393.197105,
06/29/2003,17.1125,435.984826,468.475901,391.905114,2.311355,3.417721,0.550084,8.627679,12.186217,0.541846,6.415968,9.532696,13.69,435.644204,
09/28/2003,18.0,473.124633,501.292965,416.561057,2.368139,3.452534,0.57674,9.029309,13.72216,0.542528,6.537978,9.743148,14.76,449.159105,
12/28/2003,23.214286,506.963488,605.172665,439.689641,2.847088,3.818,0.751105,11.150225,17.310711,0.703469,8.436612,12.583116,19.5,591.406467,
03/28/2004,21.835294,599.645972,663.27426,554.747951,2.62762,3.85979,0.696794,9.015774,13.032466,0.670274,8.205862,12.204922,18.56,578.513303,
