Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
06/29/2007,,,,,,,25.425273,24.756987,13.183475,,-23.845687,-28.311057,-41.555286,-41.555286,,,,,
09/28/2007,,,,,,,25.315367,18.205275,13.790138,,11.066514,6.938073,7.33945,7.33945,,37.305699,29.288703,,
12/28/2007,,,,,,,25.070264,17.62226,13.856099,,28.780214,24.423834,26.672288,26.672288,,15.136719,8.0,,
03/28/2008,,,,,,,26.488258,18.569088,14.991808,,12.943747,8.274167,8.219552,8.219552,,36.075949,22.529802,,
06/27/2008,,16.304058,8.12767,13.488916,10.450108,,29.058699,17.768377,14.225278,21.22449,12.638815,7.588577,8.725542,8.725542,,39.958159,23.480702,12.475751,
09/26/2008,,15.875278,7.869634,13.268039,10.732442,,28.187919,16.694631,12.779642,,3.551454,2.488814,5.64877,5.64877,,29.92126,117.5,-2.778174,
12/26/2008,,7.256815,3.521033,6.484747,8.597971,,26.686325,7.740509,3.059344,-48.52071,1.69554,1.179506,-1.363804,-1.363804,,30.434783,244.8,-10.507868,
03/27/2009,,-29.429752,-13.961064,-21.190505,-24.09006,,22.849807,-151.690201,-162.473256,-328.0,-163.970903,-138.553701,-138.553701,-138.553701,,,,,
06/26/2009,,-33.75844,-16.403687,-24.805545,-26.76376,,23.405104,7.735247,2.551834,-37.205651,1.236045,0.99681,-3.070175,-3.070175,,19.354839,318.608696,73.798885,
09/25/2009,,-36.032948,-17.234268,-26.538575,-29.060718,,25.611564,11.452928,6.523351,-32.004556,3.150482,3.113417,3.446998,3.446998,,1.176471,88.481928,-4.150301,
12/25/2009,,-34.843206,-16.699061,-25.607143,-28.861998,,29.080221,14.073306,9.301521,103.910615,8.367911,5.982019,5.947441,5.947441,,28.512397,42.697674,-19.965967,
