Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Margins,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
03/31/1990,,,,,,21.772264,,21.772264,15.349172,15.349173,15.349173,,29.50126,35.502192,,
06/30/1990,,,,,,23.705463,,23.705463,16.596516,16.596516,16.596516,,29.988643,31.775286,,
09/30/1990,,,,,,16.70253,,16.70253,12.755064,12.755064,12.755064,,23.633941,49.835176,,
12/31/1990,,,,,,13.990743,,15.118443,10.811853,10.811853,10.811853,,28.485668,49.233998,,
03/31/1991,,11.907832,0.726736,3.970173,,21.565974,19.589606,21.565974,15.118508,15.118508,15.118508,,29.896477,37.171841,7.481472,
06/30/1991,,11.881173,0.727137,4.417973,,22.706055,15.15711,22.706055,15.669706,15.669706,15.669706,,30.988865,34.436629,7.789698,
09/30/1991,,12.199805,0.759854,4.670404,,25.779244,74.919668,25.779244,17.355268,17.355268,17.355268,,32.677357,32.707809,8.209516,
12/31/1991,,13.675787,0.870454,6.092101,,24.182041,79.838883,24.182041,16.322734,16.322733,16.322733,,32.500595,31.946893,9.306798,
03/31/1992,,13.950144,0.913336,5.165576,,29.330659,56.999377,29.330659,19.680562,19.680562,18.433797,,32.901057,21.217042,10.990336,
06/30/1992,,15.548597,1.048884,6.176638,,32.434062,59.324971,32.434062,21.43968,21.439681,19.378234,,33.897642,26.885595,11.368264,
09/30/1992,,17.323418,1.176215,7.325189,,36.158596,64.569389,36.158596,23.59705,23.597051,21.610752,,34.740138,15.417817,14.652525,
12/31/1992,,14.138658,1.081768,7.245596,,28.969104,46.537167,28.969104,10.73248,10.732479,7.707611,,62.951976,88.521688,1.622879,
03/31/1993,,8.709425,0.725929,4.096513,,36.70724,45.041777,36.70724,23.578427,-1.846852,-3.060338,,35.766276,25.930414,6.451035,
06/30/1993,,11.149139,0.903515,5.092929,,33.257677,34.730415,33.257677,23.030104,23.030106,21.708022,,30.752518,29.509122,7.859126,
09/30/1993,,12.632527,0.992958,5.082979,,33.909311,29.370206,33.909311,22.216657,22.216656,20.888503,,34.482133,35.036709,8.206506,
12/31/1993,,-2.879175,-0.159448,-0.781116,,-78.395015,,-78.395015,-64.616064,-64.616061,-65.985117,,,,,
03/31/1994,,7.446384,0.57566,2.965963,,35.358485,34.25114,35.358485,23.152412,23.152411,22.605305,,34.520916,32.257041,5.044401,
06/30/1994,,14.859389,1.08226,5.111501,,36.872046,39.478344,36.872046,24.351951,24.351951,23.797606,,33.955521,36.564649,9.426105,
09/30/1994,,23.106783,1.618701,6.821452,,39.58017,43.417674,39.58017,25.646623,25.646623,25.110591,,35.203352,33.711299,15.317186,
12/31/1994,,16.863423,1.22372,5.06664,,38.341883,110.608708,38.341883,25.204498,25.204498,24.681433,,34.263798,33.56591,11.203061,
03/31/1995,,17.046349,1.212338,5.004201,,32.505754,-70.918242,-7.531006,-5.616521,-5.616521,-6.207518,,,,,
06/30/1995,,16.368495,1.178991,4.273675,,33.857627,,33.857627,22.948493,22.948494,22.437674,,32.220611,42.054791,9.484759,
09/30/1995,,15.98222,1.169942,4.215842,,38.274705,,38.274705,25.415319,25.415318,24.904815,,33.597611,39.207838,9.715937,
12/31/1995,,11.634917,0.920396,3.387879,,48.724115,143.743544,41.650979,28.400638,28.400635,27.952307,,31.812796,42.810982,6.653895,
03/31/1996,,18.601503,1.404746,5.732145,,,,,,,,,33.646667,34.258935,12.228826,
06/30/1996,,20.147567,1.516935,5.509742,,,,,,,,,33.277932,37.328447,12.626793,
09/30/1996,,19.841392,1.524869,5.43152,,,,,,,,,31.890573,48.703583,10.177923,
12/31/1996,,17.516832,1.424885,5.458736,,377.632378,,377.632378,326.411413,35.045411,35.045411,,13.563711,4.40433,16.745333,
03/31/1997,,20.938647,1.646002,6.352228,,40.950196,,40.950196,26.886932,26.886932,26.886932,,34.342361,35.007694,13.60851,
06/30/1997,,21.696159,1.661838,6.070384,,40.274739,,40.274739,26.43552,26.43552,26.43552,,34.362032,,,
09/30/1997,,19.223519,1.488673,5.416403,,36.253882,,23.936947,14.958051,14.958052,14.958052,,37.510614,,,
12/31/1997,,16.663634,1.308312,4.80565,,40.970161,,32.590624,22.069075,22.069075,22.069075,,32.283976,49.82558,8.360882,
03/31/1998,,,,,,39.641248,32.925316,39.641248,27.080654,27.080654,27.080654,,31.685667,39.550002,,
06/30/1998,,,,,,40.858013,44.237346,40.858013,27.948303,27.948303,27.948303,,31.596521,44.456767,,
09/30/1998,,,,,,40.512607,81.171153,40.512607,27.680473,27.680473,27.680473,,31.67442,114.882319,,
12/31/1998,,19.357556,1.525189,4.984446,,40.94098,40.839894,40.94098,28.067414,26.731883,26.731883,,31.444205,39.275107,11.754855,
03/31/1999,,,,,,39.567938,39.315445,39.567938,26.835384,26.835384,26.835384,,32.178968,36.418887,,
06/30/1999,,,,,,39.347594,35.294944,39.347594,26.698756,26.698756,26.698756,,32.146408,41.862169,,
09/30/1999,,,,,,38.670393,34.671719,35.91344,24.319823,24.319823,24.319823,,32.282111,45.453363,,
12/31/1999,,18.313769,1.432853,4.332951,,40.82338,40.526042,34.421706,22.884918,22.884917,22.884917,,33.516027,47.734587,9.571767,
03/31/2000,,21.720387,1.654349,4.767503,,37.0049,28.871366,37.0049,25.15217,25.15217,25.15217,,32.030162,42.073906,12.581772,
06/30/2000,,21.621764,1.601485,4.626045,,40.911651,46.894098,32.501937,21.94621,21.94621,21.94621,,32.477224,55.644015,9.590547,
09/30/2000,,16.234764,1.226996,3.478364,,14.784397,-467.658141,14.784397,10.707242,10.707242,10.707242,,27.57742,406.480945,-49.756458,
12/31/2000,,14.090411,1.117712,3.38423,,41.788591,47.373421,38.596213,27.108776,27.108775,27.108775,,29.763121,44.529706,7.815993,
03/31/2001,,16.762465,1.314566,3.743761,,36.72587,35.431634,36.72587,25.77755,25.77755,25.77755,,29.81092,43.823256,9.416607,
09/30/2001,,,,,,39.101343,97.716557,32.084229,23.17764,23.17764,23.17764,,27.760022,152.605804,,
12/31/2001,,,,,,40.775578,34.267329,39.250018,28.136612,28.13661,28.13661,,28.314396,42.472014,,
03/31/2002,,,,,,42.973099,108.588241,41.518207,29.842747,30.816059,30.816059,,28.1213,41.338602,,
06/30/2002,,,,,,42.828834,,42.684262,30.510143,30.510143,30.510143,,28.52133,80.307789,,
09/30/2002,,18.418803,1.675059,5.074322,,42.628287,67.143521,41.469495,29.956338,29.956338,29.956338,,27.762956,122.857961,-4.210163,
12/31/2002,,19.249478,1.724849,5.120572,,40.426053,38.473792,39.531996,28.956583,28.956583,28.956583,,26.75153,40.332389,11.485704,
03/31/2003,,18.077,1.709098,5.295156,,41.750103,32.460199,41.33422,28.823172,28.823172,28.823172,,30.268015,41.61673,10.553944,
06/30/2003,,17.65664,1.670381,5.433086,,41.556922,26.301871,38.822653,27.156089,27.156089,27.156089,,30.050918,56.701145,7.645123,
09/30/2003,,12.362284,1.301908,4.214436,,41.280836,34.664963,10.359399,8.789203,8.789203,8.789203,,15.157217,424.124393,-40.069178,
12/31/2003,,12.294924,1.247811,3.911486,,43.57713,63.280005,38.248922,22.578521,22.578521,22.578521,,40.969523,57.721443,5.198116,
03/31/2004,,11.848572,1.225388,4.086351,,38.537093,13.377086,37.784545,25.61783,25.61783,25.61783,,32.200241,53.435312,5.517251,
06/30/2004,,12.612633,1.293103,4.38381,,42.745595,48.562592,42.689195,28.528484,28.528484,28.528484,,33.171652,48.499398,6.495582,
09/30/2004,,13.769993,1.536923,5.283811,,44.305814,96.816662,44.525173,29.6077,29.6077,29.6077,,33.503459,46.858568,7.317571,
12/31/2004,,,,,,44.208518,44.801905,44.342213,29.900876,29.900876,29.900876,,32.56792,,,
03/31/2005,,19.218259,2.080671,7.053407,,43.307532,116.572448,43.494747,28.94881,28.94881,28.94881,,33.442976,48.631204,9.872188,
12/31/2005,,,,,,41.178709,-47.83236,41.570888,28.285732,28.285732,28.285732,,31.957835,48.792757,,
03/31/2006,,,,,,43.330289,43.58483,42.979327,29.001225,29.001225,29.001225,,32.52285,47.064399,,
12/31/2006,,,,,,39.507202,18.031539,34.404139,23.781308,15.323426,15.323426,,30.876605,58.297969,,
03/31/2007,,,,,,40.638698,3.926224,40.262993,26.361929,26.361929,26.361929,,34.525661,54.15677,,
06/30/2007,,,,,,40.648968,,40.353982,27.020649,27.020649,27.020649,,33.040936,55.458515,,
09/30/2007,,,,,,40.350877,,39.927405,26.860254,26.860254,26.860254,,32.727273,56.981982,,
12/31/2007,,14.226525,1.365521,4.463608,,34.289058,,34.113517,24.049152,24.049152,24.049152,,29.502573,61.07056,5.538307,
03/31/2008,,14.216887,1.349032,4.228191,,33.780761,,35.178971,23.93736,23.93736,23.93736,,31.955485,58.878505,5.846197,
06/30/2008,,13.729188,1.296006,4.073422,,31.873351,,31.82058,22.585752,22.585752,22.585752,,29.021559,60.046729,5.48526,
09/30/2008,,12.827091,1.213493,3.760442,,27.234043,,26.968085,19.042553,19.042553,19.042553,,29.38856,72.346369,3.547156,
12/31/2008,,11.709071,1.067339,3.499355,,19.17735,,17.628205,16.292735,16.292735,15.17094,,7.575758,91.549296,0.989499,
03/31/2009,,10.357612,1.002709,3.067912,,19.843822,,19.843822,14.607258,14.331649,12.448323,,26.388889,98.154982,0.1911,
06/30/2009,,7.50717,0.816304,2.651266,,11.684655,,11.684655,9.760676,9.57297,5.678085,,16.465863,74.718099,1.897955,
09/30/2009,,5.70464,0.643584,2.191586,,6.798346,,6.798346,7.211759,6.982085,6.982085,,,65.665263,1.958673,
12/31/2009,,5.002402,0.536851,1.93641,,9.027475,,9.027475,8.460532,8.068033,8.068033,,6.280193,55.831622,2.20948,
03/31/2010,,4.376694,0.474725,1.62225,,11.214087,-1000.0,11.214087,8.989805,8.71177,8.71177,,19.834711,55.116383,1.964418,
06/30/2010,,4.678102,0.478078,1.700594,,10.379325,0.0,10.379325,9.337224,8.753647,8.753647,,10.040161,49.436643,2.365405,
09/30/2010,,4.83345,0.491695,1.835774,,10.148515,39.676113,10.148515,9.034653,8.663366,8.663366,,10.97561,49.52381,2.439742,
