Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Source: Bloomberg
09/30/1980,21.1875,,19.625,22.4375,19.125,,,
12/31/1980,19.4375,-8.259587,21.25,22.125,17.625,,,
03/31/1981,23.0,18.327974,19.5625,25.375,18.8125,,,
06/30/1981,23.5,2.173913,23.0,27.0,22.3125,,,
09/30/1981,22.25,-5.319149,23.5,24.0,20.5,,,
12/31/1981,21.9375,-1.404494,22.3125,24.75,21.6875,,,
03/31/1982,25.3125,15.384615,21.9375,25.8125,21.125,,,
06/30/1982,21.5,-15.061728,25.25,25.75,19.125,,,
09/30/1982,21.875,1.744186,21.125,23.5,16.5,,,
12/31/1982,24.125,10.285714,21.875,28.875,21.5,,,
03/31/1983,30.25,25.388601,24.375,32.0,22.375,,,
06/30/1983,29.875,-1.239669,30.0,34.25,28.75,,,
09/30/1983,31.0,3.76569,29.625,32.75,27.5,,,
12/31/1983,31.75,2.419355,31.0,34.0,30.25,,,
03/31/1984,33.875,6.692913,32.0,36.625,28.25,,,
06/30/1984,28.5,-15.867159,34.0,35.25,27.5,,,
09/30/1984,33.625,17.982456,28.375,36.0,25.5,,,
12/31/1984,37.25,10.780669,33.5,38.25,32.375,,,
03/31/1985,41.25,10.738255,37.5,45.375,36.875,,,
06/30/1985,46.25,12.121212,41.25,48.375,40.0,,,
09/30/1985,41.875,-9.459459,46.25,49.25,39.625,,,
12/31/1985,48.0,14.626866,41.875,48.25,40.875,,,
03/31/1986,56.125,16.927083,47.875,59.5,45.0,,,
06/30/1986,50.0,-10.91314,56.125,56.5,46.75,,,
09/30/1986,43.125,-13.75,49.875,49.875,42.5,,,
12/31/1986,44.625,3.478261,43.375,46.25,42.5,,,
03/31/1987,47.125,5.602241,44.625,52.625,44.625,,,
06/30/1987,45.0,-4.509284,47.0,48.625,41.5,,,
09/30/1987,45.375,0.833333,45.0,48.875,43.125,,,
12/31/1987,35.125,-22.589532,45.625,46.5,30.75,,,
03/31/1988,35.125,0.0,35.125,40.0,34.5,,,
06/30/1988,36.75,4.626335,35.125,37.625,33.0,,,
09/30/1988,35.375,-3.741497,36.875,37.75,33.125,,,
12/31/1988,34.75,-1.766784,35.375,37.75,34.25,,,
03/31/1989,39.0,12.230216,35.0,39.5,34.5,,,
06/30/1989,40.625,4.166667,39.125,42.75,38.25,,,
09/30/1989,41.5,2.153846,40.75,45.0,39.75,,,
12/31/1989,36.875,-11.144578,41.5,42.375,35.75,,,
03/31/1990,32.375,-12.20339,36.875,37.75,31.875,3319.926673,,
06/30/1990,29.75,-8.108108,32.25,33.5,29.25,3040.420176,102.545998,
09/30/1990,21.5,-27.731092,29.875,29.875,20.0,2188.355927,102.198997,
12/31/1990,16.625,-22.674419,21.875,22.375,11.5,1698.57622,101.783997,
03/31/1991,23.625,42.105263,16.625,24.125,16.0,2424.893598,101.783997,
06/30/1991,21.75,-7.936508,23.5,25.375,21.625,2255.235815,102.640999,
09/30/1991,19.0,-12.643678,22.125,23.5,18.0,1973.985947,103.689003,
12/31/1991,21.625,13.815789,19.0,22.5,17.25,2252.373462,103.893997,
03/31/1992,20.25,-6.358382,21.5,23.75,19.5,2114.970766,103.893997,
06/30/1992,20.625,1.851852,20.0,21.5,19.5,2158.901324,104.155998,
09/30/1992,22.5,9.090909,20.75,23.375,17.125,3276.967621,104.443001,
12/31/1992,27.25,21.111111,22.5,27.625,21.5,3924.572144,104.674004,
03/31/1993,27.5,0.917431,27.25,30.75,23.75,3983.924866,105.391998,
06/30/1993,32.0,16.363636,27.375,33.0,26.125,4645.855957,144.869995,
09/30/1993,37.625,17.578125,32.0,38.875,29.75,5479.818077,145.182999,
