Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1980,,,,,,,,,,,,,7.504397,,
12/31/1980,,,,,,,,,,,,,7.221623,,
03/31/1981,,,,,,,,,,,,,8.396224,,
06/30/1981,,,,,,,,,,,,,9.353306,,
09/30/1981,,,,,,,,,,,,,8.113449,,
12/31/1981,,,,,,,,,,,,,7.961186,,
03/31/1982,,,,,,,,,,,,,7.526149,,
06/30/1982,,,,,,,,,,,,,7.395638,,
09/30/1982,,,,,,,,,,,,,8.417976,,
12/31/1982,,,,,,,,,,,,,10.854186,,
03/31/1983,,,,,,,,,,,,,12.420321,,
06/30/1983,,,,,,,,,,,,,13.377403,,
09/30/1983,,,,,,,,,,,,,14.726019,,
12/31/1983,,,,,,,,,,,,,13.051125,,
03/31/1984,,,,,,,,,,,,,12.616088,,
06/30/1984,,,,,,,,,,,,,12.964118,,
09/30/1984,,,,,,,,,,,,,13.22514,,
12/31/1984,,,,,,,,,,,,,14.051711,,
03/31/1985,,,,,,,,,,,,,17.183981,,
06/30/1985,,,,,,,,,,,,,18.706613,,
09/30/1985,,,,,,,,,,,,,15.748358,,
12/31/1985,,,,,,,,,,,,,20.055229,,
03/31/1986,,,,,,,,,,,,,22.056401,,
06/30/1986,,,,,,,,,,,,,24.275092,,
09/30/1986,,,,,,,,,,,,,19.924717,,
12/31/1986,,,,,,,,,,,,,22.099905,,
03/31/1987,,,,,,,,,,,,,29.017001,,
06/30/1987,,,,,,,,,,,,,32.105767,,
09/30/1987,,,,,,,,,,,,,33.932925,,
12/31/1987,,,,,,,,,,,,,24.971152,,
03/31/1988,,,,,,,,,,,,,23.66604,,
06/30/1988,,,,,,,,,,,,,23.492025,,
09/30/1988,,,,,,,,,,,,,22.27392,,
12/31/1988,,,,,,,,,,,,,22.882973,,
03/31/1989,,,,,,,,,,,,,24.884145,,
06/30/1989,,,,,,,,,,,,,28.799482,,
09/30/1989,,,,,,,,,,,,,27.407363,,
12/31/1989,,,,,,,,,,,,,24.884145,,
04/01/1990,,5466.610184,5466.610184,5466.610184,2.312841,,,,,,,,23.405017,5466.520011,
07/01/1990,,5198.177661,5562.894736,4856.067737,2.123475,,,,,,,,21.664867,5186.918044,
09/30/1990,14.351852,4680.095735,5218.724779,4208.153913,1.578683,,0.837091,,,1.169392,,,16.183395,4207.955154,
12/31/1990,19.107142,4384.656106,4754.133436,4015.367915,1.792494,,0.955739,8.493363,,1.269094,7.460139,12.392439,18.619605,4594.781759,
03/31/1991,22.745901,4930.906645,5203.452526,4636.350262,1.870903,,0.994982,9.446807,,1.608787,10.082329,17.61265,19.315665,5799.194193,
06/30/1991,26.818181,5035.520049,5247.147005,4759.629253,1.991581,,1.05423,8.714596,,1.662274,10.487273,18.409238,20.53377,5985.506189,
09/29/1991,28.211009,5095.189988,5342.09308,4892.630096,2.066619,,1.099713,8.834032,,1.70231,10.882227,19.060368,21.403845,6123.429075,
12/31/1991,48.4375,4735.222663,5050.180832,4471.836315,2.114689,,1.103277,9.049969,,1.381288,8.963594,16.379327,21.57786,4992.058731,
03/29/1992,51.492539,5467.799839,5937.65525,4880.852869,2.350119,,1.231533,10.112601,,1.525233,,16.786467,24.01407,5498.155561,
06/28/1992,46.006946,5541.848844,5815.883212,5227.40871,2.238202,,1.188021,10.008918,,1.469092,,15.80791,23.056988,5273.518779,
09/29/1992,45.289857,5387.94226,5659.108332,5097.326766,2.101942,,1.121421,9.480541,,1.420635,,15.149312,21.751875,5097.576748,
12/31/1992,115.740751,5019.623388,5274.361872,4743.864079,2.337843,,1.119339,8.719775,,1.44043,,35.282513,21.751875,5176.967764,
03/28/1993,164.880961,5338.959186,5627.448609,5095.751041,2.653858,,1.270377,9.145923,,1.6243,,48.983215,24.101077,5698.658105,
06/27/1993,359.375027,5215.219353,5493.682244,4935.316041,2.162961,,1.085072,8.006094,,1.43729,,61.312978,20.011725,4900.623554,
09/26/1993,,5133.695098,5334.613202,4888.845665,2.174791,,1.145326,7.958895,,1.480797,,88.559524,20.620777,4928.780152,
12/31/1993,83.4375,5272.990122,5627.213037,4760.252663,2.259981,,1.344504,10.019433,,1.647436,,28.268151,23.231002,5343.868025,
03/27/1994,105.241937,5605.708272,5876.628411,5361.127076,2.200429,,1.324361,9.585756,,1.674471,,29.208263,22.708958,5393.043096,
06/26/1994,77.5,5246.434956,5794.968473,4793.832125,2.099215,,1.249335,8.658367,,1.477899,,25.359094,21.57786,4793.93412,
09/30/1994,51.25,4795.462602,5051.153343,4536.614698,2.060914,,1.219475,8.945922,,1.438201,,22.023114,21.403845,4739.726643,
12/31/1994,30.461165,4838.605433,5045.113824,4659.334616,2.061983,,1.203821,8.311607,,1.443249,,16.010155,21.838883,4843.199892,
03/31/1995,25.490672,3786.682607,5022.487641,2920.058425,1.135091,,0.941184,8.28766,,0.760188,,8.631677,19.25,2581.38918,
06/30/1995,34.543216,3002.104173,3224.989639,2776.504791,1.401393,,1.014494,11.980491,,0.94033,,11.168485,23.875,3226.430067,
