Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/2006,,79.791286,77.730881,,4.238483,0.955335,0.604637,0.079852,0.079852,0.079852,0.079852,0.079852,0.079852,,0.844298,-0.972586,,,,
06/30/2006,,79.822665,78.059168,,4.716858,1.107045,0.693051,0.119778,0.119778,0.119778,0.119778,0.119778,0.119778,,1.709472,-0.427061,,,,
09/30/2006,,79.970274,78.146036,,5.06892,1.356499,0.888004,0.159704,0.159704,0.159704,0.159704,0.159704,0.159704,,1.095641,-0.739807,,,,
03/31/2007,78.713449,81.875327,78.663007,,6.822597,1.805881,1.305264,0.219593,0.219593,0.219593,0.219593,0.219593,0.219593,0.0,1.418354,-0.588803,6.856147,5.665144,-20.669429,
06/30/2007,173.685369,153.526028,148.61022,,3.70887,1.165371,0.888647,0.339371,0.339371,0.339371,0.339371,0.339371,0.339371,,1.047956,-0.248146,10.175146,10.607929,-1.326842,
09/30/2007,173.781272,178.649395,173.743448,,3.204368,1.028125,0.766291,0.299445,0.299445,0.359334,0.299445,0.299445,0.359334,,0.996533,-0.06665,9.819464,10.893291,-1.034893,
12/31/2007,174.376436,174.05981,174.05981,,3.396154,0.825469,0.525538,-0.279482,-0.279482,0.019963,-0.279482,-0.279482,0.019963,,0.8552,-0.595318,8.431231,10.60204,-1.285432,
03/31/2008,174.44699,177.612519,174.404519,,3.797803,0.971013,0.642466,0.219593,0.219593,0.239556,0.219593,0.219593,0.239556,0.0,0.616091,-0.436715,7.513623,10.797079,-1.085585,
06/30/2008,175.273564,178.418829,174.849288,,3.882241,1.139038,0.790807,0.279482,0.279482,0.339371,0.279482,0.279482,0.339371,0.0,1.280926,0.095825,6.441,11.22835,-2.412948,
09/30/2008,175.373192,178.271592,175.316005,,3.917047,1.084362,0.698596,0.259519,0.259519,0.279482,0.259519,0.259519,0.279482,0.0,1.12077,-0.511066,5.818404,11.546406,-2.089333,
12/31/2008,175.784161,177.972012,175.495807,,4.123369,0.962655,0.566635,0.079852,0.079852,0.119778,0.079852,0.079852,0.119778,0.0,-0.458227,-2.101389,3.970483,11.572846,-2.117785,
03/31/2009,176.040799,178.544841,175.870616,,4.522239,1.212442,0.747635,0.239556,0.239556,0.161377,0.239556,0.239556,0.15223,0.0,1.743321,-0.034389,6.108453,11.880536,-1.977939,
06/30/2009,176.370638,178.874404,176.282178,,4.876341,1.175093,0.656748,0.139741,0.139741,0.202223,0.139741,0.139741,0.192585,0.0,0.904198,0.120619,6.206492,12.167762,-1.707954,
09/30/2009,176.453412,178.008856,176.417524,,5.076554,1.457809,0.896776,0.419223,0.419223,0.427263,0.419223,0.419223,0.427263,0.0,1.776587,0.665472,6.690185,12.658474,-1.234961,
12/31/2009,176.682317,177.183802,176.522485,,5.268349,1.334567,0.735442,0.19963,0.19963,0.204511,0.179667,0.179667,0.196462,0.0,0.679432,-0.613701,6.533268,12.9506,-1.030318,
03/31/2010,176.793581,177.329653,176.718201,,5.491811,1.20549,0.595473,0.119778,0.119778,0.124713,0.119778,0.119778,0.116271,0.0,1.273395,0.499886,6.727795,13.134266,-0.840042,
06/30/2010,177.129432,178.172163,176.966422,,5.721628,1.738821,1.121184,0.439186,0.439186,0.461827,0.439186,0.439186,0.449362,0.0,0.635256,-0.479051,6.076907,13.642815,-0.312687,
09/30/2010,177.509417,178.541732,177.305103,,5.757245,1.814601,1.172747,0.439186,0.439186,0.425392,0.439186,0.439186,0.425392,0.0,1.92854,1.061633,10.717268,14.121307,0.090339,
12/31/2010,176.682317,179.763356,177.730347,,5.995183,1.835066,1.166492,0.079852,0.079852,0.416187,0.079852,0.079852,0.415949,0.0,1.772961,0.069313,6.629939,14.385005,0.109434,
03/31/2011,179.428121,181.037836,178.824782,,6.679035,1.532405,0.812734,0.319408,0.319408,0.314278,0.299445,0.299445,0.298465,0.0,0.773455,-0.330435,9.245769,14.671909,0.53179,
06/30/2011,181.122298,183.033569,180.44689,,6.702543,1.910695,1.16519,0.459149,0.459149,0.506767,0.459149,0.459149,0.497994,0.0,1.905198,0.398599,11.903272,15.181554,1.166935,
09/30/2011,181.445107,182.770556,181.344909,,6.646936,1.743308,0.975109,0.379297,0.379297,0.38645,0.379297,0.379297,0.383426,0.0,1.497478,-0.132576,11.79829,15.572037,1.581029,
12/31/2011,181.565913,182.104906,181.500757,,6.821812,1.936201,1.185202,0.499076,0.499076,0.505863,0.499076,0.499076,0.50206,0.0,1.697778,0.669033,12.355039,16.124172,2.140044,
03/31/2012,181.900436,182.478984,181.695261,,7.025995,1.381907,0.540834,0.119778,0.119778,0.119475,0.119778,0.119778,0.119475,0.0,0.753481,-0.079606,12.183308,16.260412,2.28762,
06/30/2012,182.037604,268.138827,268.138827,,18.210716,4.740082,1.685694,0.778558,0.778558,0.888346,0.778558,0.778558,0.888346,0.0,3.278153,1.268,12.901477,17.118936,3.045448,
09/30/2012,182.274771,268.138827,268.138827,,18.24801,-25.240656,-28.317421,-28.846564,-28.846564,-9.041958,-28.846564,-28.846564,-9.041958,0.0,2.97607,0.302082,14.073709,18.227684,4.170254,
