Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1990,44.154999,44.154999,44.154999,,34.81676,-2.087238,-3.626905,-1.05,-1.05,,-1.05,-1.05,-1.05,0.03,-1.863073,,0.33054,41.841946,,
06/30/1990,44.755001,44.754002,44.754002,,38.27975,2.899182,1.326228,-1.86,-1.86,,-1.86,-1.86,-1.86,0.03,5.882201,,0.59314,39.793721,,
09/30/1990,45.152,44.834,44.834,,36.678056,-0.434648,-2.904314,-2.87,-2.87,,-2.87,-2.87,-2.87,0.03,-1.128028,,0.187301,36.69164,,
12/31/1990,45.528,45.299999,45.299999,,36.725741,-5.124525,-5.962892,-5.06,-5.06,-5.06,-5.06,-5.06,-5.06,0.0,-0.874261,,8.963034,31.499539,,
03/31/1991,45.625,45.591,45.591,,34.690423,-1.943629,-3.539822,-3.88,-3.88,,-3.88,-3.88,-3.88,,-3.112917,,7.303102,27.643462,,
06/30/1991,45.737,45.661999,45.661999,,36.460143,0.982721,-0.61042,-1.47,-1.47,,-1.47,-1.47,-1.47,,3.437607,,7.06334,26.227803,,
09/30/1991,46.166,45.869999,45.869999,,34.855549,0.623043,-0.990778,-2.06,-2.06,,-2.06,-2.06,-2.06,,-0.775758,,9.037495,23.953581,,
12/31/1991,46.646,46.354,46.354,,36.00192,2.952906,1.32021,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,0.0,2.726777,,6.85167,23.689256,,
03/31/1992,46.907001,46.805,46.805,,35.279671,0.532187,-1.038265,-16.049999,-2.63,,-16.049999,-2.63,-2.63,,0.691593,,4.503869,21.967382,,
06/30/1992,46.990002,46.965,46.965,,36.194826,0.160034,-1.44563,-3.07,-3.07,,-3.07,-3.07,-3.07,,2.747493,,4.596659,19.993892,,
09/30/1992,47.127998,47.116001,47.116001,,36.090265,0.336637,-1.289074,-2.51,-2.51,,-2.51,-2.51,-2.51,,-0.305353,,8.427326,18.449034,,
12/31/1992,47.216999,47.196999,47.196999,,34.638389,-1.594911,-3.374177,-5.66,-5.66,-5.66,-5.66,-5.66,-5.66,0.0,-0.39564,,6.269733,-3.581127,,
03/31/1993,47.312,47.317001,47.317001,,36.27324,1.611704,0.042733,-1.65,-1.65,,-1.65,-1.65,-1.65,,-1.609696,,6.273863,-5.254439,,
06/30/1993,58.988998,54.597,54.597,,33.25765,2.61159,1.212155,-0.23,-0.23,,-0.23,-0.23,-0.23,,1.207685,,5.547882,-0.321026,,
09/30/1993,59.159,59.068001,59.068001,,29.603305,-0.550349,-1.870928,-3.33,-3.33,,-3.33,-3.33,-3.33,,-1.682671,,6.362667,-4.410098,,
12/31/1993,59.216,59.189999,59.189999,,22.678342,-0.608228,-1.460213,-3.47,-2.73,-2.73,-3.47,-2.73,-2.73,0.0,2.761193,,6.220396,-7.189425,,
03/31/1994,59.412998,59.273998,59.273998,,28.442505,-0.912002,-2.36171,-3.64,-3.64,,-3.64,-3.64,-3.64,,-0.986503,,6.496895,-7.243247,,
06/30/1994,59.839001,59.616001,59.616001,,31.527627,2.641925,1.309263,-0.09,-0.09,,-0.09,-0.09,-0.09,,3.226298,,8.714434,-10.779492,,
09/30/1994,60.251999,60.062,60.062,,29.149428,-0.576854,-2.51968,-3.32,-3.32,,-3.32,-3.32,-3.32,,-0.896474,,8.059019,-13.744538,,
12/31/1994,59.223999,60.689999,60.689999,,27.697628,-2.451244,-4.646993,-5.63,-5.63,-5.63,-5.63,-5.63,-5.63,0.0,-1.172252,,7.626486,-18.743348,,
03/31/1995,62.209,61.626999,61.626999,,28.613076,0.74185,-0.681455,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,,-0.043309,-0.340695,7.058513,-19.297351,,
06/30/1995,62.472,62.387001,62.387001,,31.78627,4.030679,2.614503,1.47,1.47,1.47,1.47,1.47,1.47,,5.605158,5.3741,12.139215,-17.350541,,
09/30/1995,62.472,62.570999,62.570999,,29.94066,2.885714,1.480702,0.35,0.35,0.35,0.35,0.35,0.35,,2.041697,1.677007,13.853454,-16.644001,,
12/31/1995,63.449001,63.143002,63.143002,,29.370523,3.110273,1.709184,0.61,0.61,0.61,0.61,0.61,0.61,0.0,1.613449,1.147538,14.211177,-16.532034,,
03/31/1996,63.782001,63.618,63.450001,,29.447155,1.454972,0.170087,-0.86,-0.86,-0.86,-0.86,-0.86,-0.86,,-0.154862,-0.622837,13.035433,-17.353033,,
06/30/1996,64.216003,65.862999,64.120003,,33.522878,5.069775,3.835605,2.78,2.78,2.78,1.91,1.91,1.91,,7.478509,6.738178,19.301419,-13.46473,,
09/30/1996,64.216003,65.837997,63.944,,32.412218,3.264779,2.054172,0.71,0.71,0.71,0.6,0.6,0.6,,3.094958,2.648505,20.034897,-15.756152,,
12/31/1996,64.306,65.410004,61.243999,,33.504295,2.079894,0.806773,0.09,0.09,0.09,0.08,0.08,0.08,,5.948795,5.586898,24.675847,-14.250442,,
03/31/1997,64.567001,105.0,64.0,,32.829342,3.947484,2.744188,2.05,2.05,2.05,1.45,1.45,1.45,0.0,-0.129719,-0.812078,22.678087,-12.827233,-24.81478,
06/30/1997,80.111,104.0,71.968002,,30.74422,4.867524,3.550661,2.53,2.53,2.9,1.92,1.92,2.29,0.0,5.333092,4.717083,20.195329,-4.649463,-14.205529,
09/30/1997,91.119003,102.637001,84.197998,,25.121406,2.828761,0.987708,2.1,2.1,1.315,1.82,1.82,1.14,0.0,3.488634,2.934559,22.843523,2.877479,-5.264127,
12/31/1997,91.442001,102.978996,91.356003,,22.822519,1.572464,0.76562,5.16,5.16,1.84,4.66,4.66,1.34,0.0,2.194328,1.77059,21.481519,7.931902,-2.861825,
03/31/1998,101.095001,102.780998,93.709999,,22.014726,2.817202,2.048874,0.98,0.98,0.98,0.96,0.96,0.96,0.0,3.14801,2.208943,20.584598,12.295366,6.247807,
06/30/1998,93.859001,99.694,97.689003,,23.513394,4.657638,3.828476,1.99,1.99,1.99,1.95,1.95,1.95,0.0,5.599402,4.678111,22.672306,11.400079,0.692528,
09/30/1998,87.410004,93.844002,91.907997,,24.022752,3.842571,2.939494,1.54,1.54,1.52,1.51,1.51,1.49,0.0,3.851678,1.9476,16.531289,8.13408,-3.660908,
12/31/1998,83.754997,87.987,86.43,,24.529873,3.006329,2.057584,1.2,1.2,1.2,1.18,1.18,1.18,0.0,0.636353,-2.707393,14.446899,7.080175,-5.671303,
03/31/1999,73.835999,80.953003,79.463997,,26.074702,2.126749,1.120004,0.57,0.57,0.5,0.56,0.56,0.49,0.0,3.473271,0.440451,17.687849,4.469365,-9.968037,
06/30/1999,71.584999,74.457001,72.980003,,31.323649,4.891751,3.822965,4.34,4.34,1.86,4.26,4.26,1.83,0.0,5.152096,0.041107,16.134665,2.039533,-12.698191,
09/30/1999,71.459999,71.600998,71.600998,,29.357133,-0.265359,-1.550258,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,0.0,0.027933,-6.284829,14.399664,0.965575,-13.588021,
12/31/1999,66.251999,69.347,69.347,,30.787201,0.432607,-1.744848,-1.16,-1.16,-0.68,-1.16,-1.16,-0.68,0.0,-0.735432,-6.243962,13.131679,-1.765984,-15.758015,
03/31/2000,66.619003,66.5,66.5,,31.548872,-0.721805,-2.090226,-3.27,-1.72,-1.72,-3.27,-1.72,-1.72,0.0,2.37594,-3.082707,20.534681,-4.983563,-18.688361,
06/30/2000,67.060997,68.281998,66.831001,,36.40526,3.89041,2.513803,1.19,1.19,1.19,1.17,1.17,1.17,0.0,5.371759,-2.558693,15.493357,-3.65339,-17.014361,
09/30/2000,67.036003,67.056,67.056,,35.507636,1.476378,0.074565,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,1.908852,-6.531854,18.22901,-4.012769,-17.154961,
12/31/2000,67.005997,67.030998,67.030998,,35.147918,0.059674,-1.312825,-1.5,-1.5,-1.33,-1.5,-1.5,-1.33,0.0,0.77576,-6.966926,19.640033,-5.342805,-18.237174,
03/31/2001,67.096001,67.033997,67.033997,,33.430798,-1.96915,-3.401259,-2.55,-2.66,-2.45,-2.55,-2.66,-2.45,0.0,0.253603,-8.189874,16.513652,-7.750089,-20.358889,
06/30/2001,67.07,67.082001,67.082001,,37.163471,1.803763,0.298143,-0.36,-0.36,-0.36,-0.36,-0.36,-0.36,0.0,3.11559,-2.728005,18.637245,-8.081109,-20.44133,
09/30/2001,68.126999,67.056,67.056,,29.661775,-4.145789,-5.502863,-11.42,-11.42,-6.45,-11.42,-11.42,-6.45,0.0,-0.492126,-2.92293,15.338999,-19.140723,-31.059639,
12/31/2001,67.587997,67.730003,67.730003,,23.106451,-5.699099,-6.909789,-17.07,-17.07,-10.337,-17.07,-17.07,-10.337,0.0,-4.503174,-4.709877,15.949577,-38.690302,-51.621592,
03/31/2002,68.133003,67.814003,67.814003,,25.201285,-4.305895,-5.4561,-3.97,-4.22,-4.22,-3.97,-4.22,-4.22,0.0,-6.458843,-7.948211,8.233895,-41.697854,-54.320224,
06/30/2002,68.125,68.135002,68.135002,,27.929844,-1.335584,-2.43634,-3.64,-3.64,-3.64,-3.64,-3.64,-3.64,0.0,1.952007,1.629119,8.836697,-45.548624,-57.981651,
09/30/2002,68.09626,68.121002,68.121002,,25.71894,-1.570734,-2.612997,-4.92,-4.92,-3.36,-4.92,-4.92,-3.36,0.0,1.086302,0.998224,13.17253,-50.516724,-62.778778,
12/31/2002,68.080002,68.088997,68.088997,,23.689584,-2.937332,-3.980085,-11.67,-11.67,-4.341,-11.67,-11.67,-4.341,0.0,-1.953326,-2.202999,9.312573,-72.282607,-84.591655,
03/31/2003,25.653,68.075996,68.075996,,22.53364,-2.056525,-3.040719,24.02,24.02,-4.14,24.02,24.02,-4.14,0.0,-4.142429,-4.259945,49.428917,10.486103,-105.28983,
06/30/2003,20.652594,53.650002,53.650002,,33.122087,-1.043802,-2.106244,0.25,0.25,-1.43,0.25,0.25,-1.43,0.0,4.920783,2.77726,68.998598,18.690146,-136.738274,
