Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
12/31/1989,,,,,,,,,,,,,4.438843,4.438843,,,,,
03/31/1990,,,,,,,38.609281,10.706368,8.983557,,7.945098,5.243872,5.179209,5.179209,,33.998644,0.0,,
06/30/1990,,,,,,,34.818178,10.422755,8.858476,,7.999787,5.278608,5.177429,5.177429,,34.015643,0.0,,
09/30/1990,,,,,,,36.083427,10.922585,9.153803,,8.912141,5.882766,5.835581,5.835581,,33.991558,8.839598,,
12/31/1990,,,,,,,37.233828,11.367359,9.419585,,9.227893,6.090801,6.095549,6.095549,,33.995755,0.0,,
03/31/1991,,27.734551,12.66413,23.828952,23.824588,,37.537769,15.215134,13.388782,24.95653,13.206482,8.716422,8.671826,8.671826,,33.998911,0.0,27.734551,
06/30/1991,,30.387439,15.109304,26.982763,26.978797,,40.366158,16.85414,15.034604,40.477701,14.860524,9.807926,9.785426,9.785426,,34.000138,0.0,30.387439,
09/30/1991,,30.379951,15.970455,29.949742,29.946045,,36.790541,15.258734,13.707451,24.874122,13.575196,8.960299,8.936749,8.936749,,33.995065,0.0,30.379951,
12/31/1991,,33.682766,17.261606,33.275535,31.932607,,34.404764,14.214965,12.585535,18.398257,12.469888,8.229757,8.181347,8.181347,,34.002958,0.0,33.682766,
03/31/1992,,21.597172,13.913879,21.680674,21.680689,,31.72103,13.480237,11.642945,9.634261,11.528114,7.493229,7.450578,7.450578,,35.000388,0.0,21.597172,
06/30/1992,,22.517278,14.936269,22.591214,22.591403,,32.804295,14.041561,12.187456,8.951323,12.129614,7.884292,7.864346,7.864346,,34.999648,0.0,22.517278,
09/30/1992,,23.767755,15.041977,23.850969,23.851051,,30.166717,12.54274,11.057586,8.480044,11.01024,7.197302,7.166259,7.166259,,34.630832,0.0,23.767755,
12/31/1992,,25.175819,15.576923,25.721247,25.531691,,24.917686,8.168799,7.123839,5.360945,6.92021,4.430157,4.305373,4.305373,,35.982334,0.0,25.175819,
03/31/1993,,24.796135,15.826382,25.425637,25.424186,,27.606935,11.966165,10.524245,9.541746,10.434988,6.659135,6.576572,6.576572,,36.184544,0.0,24.796135,
06/30/1993,,26.867882,17.775154,27.560162,27.559222,,27.329561,12.093742,10.375639,8.863421,10.265065,6.592674,6.547563,6.547563,,35.775623,4.114037,25.762528,
09/30/1993,,26.869546,17.726718,27.56513,27.554382,,27.839054,12.403083,10.832895,10.546567,10.752559,6.91606,6.8605,6.8605,,35.679872,0.0,26.869546,
12/31/1993,,23.51028,14.676059,23.86707,23.727607,,29.889078,12.548091,11.391735,,11.2964,7.270783,7.199976,7.199976,,35.63628,0.067129,23.494497,
03/31/1994,,27.558056,17.469105,23.147287,23.140356,,30.322195,14.455332,12.695286,21.041049,12.632424,7.866034,7.791218,7.791218,,37.731395,0.0,27.558056,
06/30/1994,,96.784819,61.836607,96.821726,15.758909,,30.570559,14.973613,13.055714,25.359749,9.169571,5.653637,152.185609,152.185609,,38.343488,0.0,96.784819,
09/30/1994,,91.907788,67.320443,91.927526,16.171484,,29.386912,15.438624,13.739479,28.469069,13.696316,8.490606,8.448906,8.448906,,38.008103,0.0,91.907788,
12/31/1994,,85.816676,63.114185,85.776747,16.042805,,29.247276,15.76437,14.160699,30.36407,14.09744,8.740107,8.693566,8.693566,,38.002167,,,
03/31/1995,,85.958268,63.934033,78.79744,15.520815,,29.020101,14.744599,12.963082,14.17124,12.946776,8.156386,8.101939,8.101939,,37.000638,0.0,85.958268,
06/30/1995,,12.248851,8.805405,12.265928,12.277576,,28.825544,14.185907,12.425547,9.71581,12.347305,7.76194,7.761941,7.761941,,37.136564,5.776656,11.541277,
09/30/1995,,12.256187,9.620994,12.277371,12.28858,,28.232651,13.978277,12.386963,7.384553,12.374952,7.796313,7.706065,7.706065,,36.999243,0.0,12.256187,
12/31/1995,,9.318197,5.92643,8.877795,8.870997,,33.855847,2.658279,1.059692,,1.056638,0.665675,0.591868,0.264182,,37.000604,,,
03/31/1996,,9.50335,6.243861,9.293844,9.303509,,31.609414,9.693543,8.35189,4.160092,8.341062,5.171454,5.131163,4.821083,,38.000051,0.0,9.50335,
