Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,5.727,6.048,2.955,2.074,16.804001,,,,,,,,,,,,,,,,,,,
06/30/1990,,6.042,6.837,40.987,53.290001,107.155998,,,,,,,,,,,,,,,,,,,
09/30/1990,,5.115,11.034,-41.873001,0.211,-25.513,,,,,,,,,,,,,,,,,,,
12/31/1990,,5.826,9.773,33.081001,-18.785999,29.893999,,,,,,,,,,,,,,,,,29.893999,,
03/31/1991,,6.437,8.258,-16.624001,7.776,5.847,,,,,,,,,,,,,,,,,,,
06/30/1991,,6.675,9.889,10.346,-14.423,12.487,,,,,,,,,,,,,,,,,,,
09/30/1991,,6.969,9.802,-1.251,16.99,32.509998,,,,,,,,,,,,,,,,,,,
12/31/1991,,7.427,6.481,-27.209999,-10.726,-24.028,,,,,,,,,,,,,,,,,-24.028,,
03/31/1992,,9.049,9.784,7.215,-61.938999,-35.890999,,,,,,,,,,,,,,,,,,,
06/30/1992,,9.948,8.846,-3.866,101.101997,116.029999,,,,,,,,,,,,,,,,,,,
09/30/1992,,10.931,16.813999,-12.551,-24.77,-9.576,,,,,,,,,,,,,,,,,,,
12/31/1992,,11.511,-4.144,5.518,129.623001,142.507996,,,,,,,,,,,,,,,,,142.507996,,
03/31/1993,,18.495001,6.764,-1.28,81.862999,105.842003,,,,,,,,,,,,,,,,,,,
06/30/1993,,14.555,14.413,-5.24,-76.897003,-53.168999,,,,,,,,,,,,,,,,,,,
09/30/1993,,16.823999,7.024,25.885,45.123001,94.856003,,,,,,,,,,,,,,,,,,,
12/31/1993,,20.711,20.371,-2.688,-75.262001,-36.868,,,,,,,,,,,,,,,,,-36.868,,
03/31/1994,,25.386999,7.805,1.885,82.717003,117.793999,,,,,,,,,,,,,,,,,,,
06/30/1994,,26.252001,8.765,1.137,29.945,66.098999,,,,,,,,,,,,,,,,,,,
09/30/1994,,23.733999,8.164,7.649,-19.993,19.554001,,,,,,,,,,,,,,,,,,,
12/31/1994,,-14.575001,3.336999,74.818005,-33.105004,30.474998,,,,,,,,,,,,,,,,,30.474998,,
03/31/1995,,35.657001,8.369,3.981,10.52,58.527,,,,,,,,,,,,,,,,,,,
06/30/1995,,33.866001,9.232,-2.237,-75.766998,-34.905998,,,-12.905,,,,,,,,,,,,,,,,
09/30/1995,,35.653999,12.284,7.869,78.080002,133.886993,,,,,,,,,,,,,,,,,,,
12/31/1995,,35.334999,27.374998,71.411002,8.532995,142.653992,,,,,,,,,,,,,,,,,142.653992,,
03/31/1996,,56.299,,,,13.348,,,-6.302,,,,,,,,,,,,,,,,
06/30/1996,,59.235001,,,,104.031998,,,-6.761,,,,,,,,,,,,,,,,
09/30/1996,,33.481998,,,,-25.944,,,-8.592,,,,,,,,,,,,,,,,
12/31/1996,,117.111992,,,,150.004996,-28.254,,-28.254,,,,,,,,,,,,,,121.750996,,
03/31/1997,,91.280998,,,,240.563995,,,-6.507,,,,,,,,,,,,,,,,
06/30/1997,,103.081001,,,,77.277,,,-15.562,,,,,,,,,,,,,,,,
09/30/1997,,105.349998,,,,-332.716003,,,-12.016,,,,,,,,,,,,,,,,
12/31/1997,,40.119995,,,,633.474007,-39.472999,,-39.472999,,,,,,,,,,,,,,594.001008,,
03/31/1998,,104.460999,59.285999,-60.671001,-17.709,85.366997,,,-16.601,,,,,,,,,,,,,,,,
06/30/1998,,79.403999,75.336998,82.947998,-115.75,121.939003,,,-17.952,,,,,,,,,,,,,,,,
09/30/1998,,14.15,83.445999,87.605003,56.015999,241.216995,,,-17.164,,,,,,,,,,,,,,,,
12/31/1998,,27.591,19.608999,-136.322998,-257.708008,-346.830994,-30.334999,,-30.334999,,,,,,,,,,,,,,-377.165993,,
03/31/1999,,97.349998,50.613998,-300.200989,22.802,-129.434998,,,-16.705566,,,,,,,,,,,,,,,,
06/30/1999,,105.764,41.575001,359.53299,-55.806,451.06601,,,-18.372999,,,,,,,,,,,,,,,,
09/30/1999,,109.533997,68.689003,153.653,96.307999,428.18399,,,-22.459999,,,,,,,,,,,,,,,,
12/31/1999,,97.349998,59.952999,-42.950001,-254.820999,-140.468002,-9.868,,-9.868,,,,,,,,,,,,,,-150.336002,,
03/31/2000,,101.336998,57.563999,111.720001,214.123993,484.744995,,,-10.416,,,,,,,,,,,,,,,,
06/30/2000,,102.885002,60.893002,-0.352,-18.056,145.369995,,,-13.148,,,,,,,,,,,,,,,,
09/30/2000,,101.581001,60.254002,-5.122,28.802,185.514999,,,-10.595,,,,,,,,,,,,,,,,
12/31/2000,,103.507004,40.654999,60.806999,-119.736,85.233002,,,-8.264,,,,,,,,,,,,,,,,
03/31/2001,,106.366997,61.535999,35.541,-572.015991,-368.571991,,,-8.406,,,,,,,,,,,,,,,,
06/30/2001,,109.324997,67.880997,8.927,-259.290985,-73.157997,,,-12.423,,,,,,,,,,,,,,,,
09/30/2001,,112.003998,78.068001,14.555,68.271004,272.89801,,,-4.471,,,,,,,,,,,,,,,,
12/31/2001,,115.853996,128.729996,-201.412003,-344.815002,-301.643005,,,-8.586,,,,,,,,,,,,,,,,
03/31/2002,,127.501999,67.938004,118.276001,630.265015,943.981018,,,-27.231001,,,,,,,,,,,,,,,,
06/30/2002,,129.149002,67.344002,-60.196999,146.867996,283.164001,,,-13.224,,,,,,,,,,,,,,,,
09/30/2002,,135.807007,70.844002,-25.0,-783.960022,-602.309021,,,-11.042,,,,,,,,,,,,,,,,
12/31/2002,,136.529007,79.836998,-35.535999,-468.234009,-287.403992,,,-13.082,,,,,,,,,,,,,,,,
03/31/2003,,133.710999,70.518997,-75.594002,372.618011,501.253998,,,-10.26,,,,,,,,,,,,,,,,
06/30/2003,,133.507996,68.134003,-68.054001,-550.18103,-416.592987,,,-7.457,,,,,,,,,,,,,,,,
09/30/2003,,132.160995,60.918999,-2.225,998.510986,1189.365967,,,-18.476999,,,,,,,,,,,,,,,,
12/31/2003,,98.733002,69.959,182.233994,590.291016,941.21698,,,-7.938,,,,,,,,,,,,,,,,
03/31/2004,,73.108002,84.772003,76.199997,-215.184998,18.895,-186.014008,0.498,-3.839,-1226.119995,1329.26001,-285.812988,0.0,-742.421997,-63.198002,-437.588989,0.0,-0.307,4.161,-0.714,-244.774994,0.0,-909.541016,,
