Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/31/1993,29.212,10.467,10.467,0.0,2.089,,,8.112,,,,,1.194,,,,21.862,6.668,,,0.0,,0.682,,,,0.682,7.35,,5.478,5.478,,,0.002,,,,,4.101,,,4.101,9.581,0.8,,,,,0.0,,,,,0.0,0.8,10.381,0.0,1.866,,,0.0,,16.965,18.831,0.0,18.831,29.212001,
01/31/1994,43.400002,25.22,15.509,9.711,0.719,,,6.947,,,,,2.295,,,,35.181,7.008,11.663,-4.655,0.0,,1.211,,,,1.211,8.219,,3.11,3.11,,,0.002,,,,,3.784,,,3.784,6.896,0.0,,,,,1.006,,,,,1.006,1.006,7.902,0.0,16.589001,,,0.0,,18.909,35.498001,0.0,35.498001,43.400001,
04/30/1994,46.570999,23.684,11.221,12.463,3.404,,,7.066,,,,,2.524,,,,36.678001,8.521,,,0.0,,1.372,,,,1.372,9.893,,3.626,3.626,,,0.001,,,,,4.321,,,4.321,7.948,0.0,,,,,1.042,,,,,1.042,1.042,8.99,0.0,16.607,,,0.0,,20.974001,37.581001,0.0,37.581001,46.571001,
07/31/1994,49.230999,22.856,7.932,14.924,3.109,,,8.528,,,,,3.498,,,,37.991001,9.705,,,0.0,,1.535,,,,1.535,11.24,,4.546,4.546,,,0.0,,,,,3.746,,,3.746,8.292,0.0,,,,,1.094,,,,,1.094,1.094,9.386,0.0,16.639999,,,0.0,,23.205,39.844999,0.0,39.844999,49.230999,
10/31/1994,54.98,12.03,12.03,0.0,3.498,,,11.066,,,,,15.412,,,,42.006001,11.291,,,0.0,,1.683,,,,1.683,12.974,,4.967,4.967,,,0.0,,,,,4.946,,,4.946,9.913,0.0,,,,,1.163,,,,,1.163,1.163,11.076,0.0,16.743999,,,0.0,,27.16,43.903999,0.0,43.903999,54.979999,
01/31/1995,56.765999,19.385,9.109,10.276,1.172,,,10.381,,,,,4.665,,,,35.603001,13.386,20.101999,-6.716,0.0,,7.777,,,,7.777,21.163,,4.431,4.431,,,0.0,,,,,4.3,,,4.3,8.731,0.0,,,,,1.284,,,,,1.284,1.284,10.015,0.0,17.025,,,0.0,,29.726,46.751,0.0,46.751,56.766,
04/30/1995,59.811001,18.539001,6.543,11.996,3.537,,,11.634,,,,,4.746,,,,38.456001,14.425,,,0.0,,6.93,,,,6.93,21.355,,5.341,5.341,,,0.0,,,,,4.023,,,4.023,9.364,0.0,,,,,1.354,,,,,1.354,1.354,10.718,0.0,17.1,,,0.0,,31.993,49.093,0.0,49.093,59.811001,
07/31/1995,61.805,19.92,8.578,11.342,3.766,,,13.731,,,,,4.302,,,,41.719002,15.176,,,0.0,,4.91,,,,4.91,20.085999,,5.396,5.396,,,0.0,,,,,3.561,,,3.561,8.957,0.0,,,,,1.447,,,,,1.447,1.447,10.404,0.0,17.105,,,0.0,,34.296001,51.401001,0.0,51.401001,61.805001,
10/31/1995,68.168999,22.877,12.354,10.523,4.174,,,15.093,,,,,4.616,,,,46.759998,15.476,,,0.0,,5.933,,,,5.933,21.409,,7.195,7.195,,,0.0,,,,,3.542,,,3.542,10.737,0.0,,,,,1.57,,,,,1.57,1.57,12.307001,0.0,17.417,,,0.0,,38.445,55.862,0.0,55.862,68.169,
01/31/1996,71.116997,29.593999,20.094999,9.499,1.573,,,10.477,,,,,4.915,,,,46.558998,16.690001,26.331001,-9.641,0.0,,7.868,,,,7.868,24.558001,,6.898,6.898,,,0.0,,,,,3.174,,,3.174,10.072,0.0,,,,,1.593,,,,,1.593,1.593,11.665,0.0,17.417999,,,0.0,,42.034,59.451999,0.0,59.451999,71.116999,
04/30/1996,79.219002,34.413001,20.783001,13.63,3.331,,,12.019,,,,,5.037,,,,54.799999,18.127001,,,0.0,,6.292,,,,6.292,24.419001,,9.21,9.21,,,0.0,,,,,4.837,,,4.837,14.047,0.0,,,,,1.704,,,,,1.704,1.704,15.751,0.0,18.507,,,0.0,,44.960999,63.467999,0.0,63.467999,79.218998,
07/31/1996,83.830002,22.554,13.755,8.799,3.943,,,16.295,,,,,7.296,,,,50.088001,19.327,,,0.0,,14.415,,,,14.415,33.742,,9.985,9.985,,,0.0,,,,,4.099,,,4.099,14.084,0.0,,,,,1.835,,,,,1.835,1.835,15.919,0.0,20.101,,,0.0,,47.810001,67.911001,0.0,67.911001,83.830001,
10/31/1996,91.318001,23.48,13.512,9.968,5.862,,,18.732,,,,,5.636,,,,53.709999,22.851,,,0.0,,14.757,,,,14.757,37.608,,12.135,12.135,,,0.0,,,,,4.289999,,,4.289999,16.424999,0.0,,,,,2.053,,,,,2.053,2.053,18.477999,0.0,20.399,,,0.0,,52.441002,72.840002,0.0,72.840002,91.318001,
01/31/1997,89.675003,23.836,14.581,9.255,2.827,,,16.965,,,,,7.236,,,,50.863998,25.209,38.311001,-13.102,0.0,,13.602,,,,13.602,38.811,,8.699,8.699,,,0.0,,,,,2.926,,,2.926,11.625,0.0,,,,,2.358,,,,,2.358,2.358,13.983,0.0,20.398001,,,0.0,,55.293999,75.692,0.0,75.692,89.675,
04/30/1997,94.140999,24.943,14.967,9.976,5.155,,,18.605,,,,,6.642,,,,55.345001,24.736,,,0.0,,14.06,,,,14.06,38.796,,8.981,8.981,,,0.0,,,,,4.409,,,4.409,13.39,0.0,,,,,2.612,,,,,2.612,2.612,16.002,0.0,20.422001,,,0.0,,57.716999,78.139,0.0,78.139,94.141,
07/31/1997,99.069,29.363001,18.856001,10.507,4.782,,,20.299999,,,,,6.613,,,,61.057999,24.674999,,,0.0,,13.336,,,,13.336,38.011,,10.847,10.847,,,0.0,,,,,4.459,,,4.459,15.306,0.0,,,,,2.769,,,,,2.769,2.769,18.075,0.0,20.422001,,,0.0,,60.571999,80.993999,0.0,80.993999,99.068999,
10/31/1997,105.021004,29.561999,19.653999,9.908,6.711,,,22.440001,,,,,6.643,,,,65.356003,25.318001,,,0.0,,14.347,,,,14.347,39.665001,,9.866,9.866,,,0.0,,,,,6.01,,,6.01,15.876,0.0,,,,,2.934,,,,,2.934,2.934,18.81,0.0,20.856001,,,0.0,,65.355003,86.211004,0.0,86.211004,105.021005,
01/31/1998,107.424004,37.577,26.712,10.865,4.497,,,17.128,,,,,6.591,,,,65.792999,26.893,44.583,-17.690001,11.993,,2.745,,,,2.745,41.631,,10.386,10.386,,,0.0,,,,,3.274,,,3.274,13.66,0.0,,,,,3.106,,,,,3.106,3.106,16.766,0.0,21.483999,,,0.0,,69.174004,90.658003,0.0,90.658003,107.424003,
04/30/1998,116.45,36.509,23.915,12.594,4.406,4.406,,21.144,,,,,7.215,,,,69.274,31.563,,,11.466,11.466,4.147,,,,4.147,47.176,,14.542,14.542,,,0.0,,,,,4.766,,,4.766,19.308,0.0,,,,,3.24,,,,,3.24,3.24,22.548,0.0,22.628,,,,71.274,0.0,93.902,0.0,93.902,116.45,
