Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EPS Surprise %,EBIT,EBIT Surprise %,EBITDA,EBITDA Surprise %,Gross Margin %,Gross Margin Surprise %,Pretax Income (Loss),Pretax Income (Loss) Surprise %,Net Income,Net Income Surprise %,Source: Bloomberg
03/31/1990,,,7.0,,8.0,8.0,,,,,,,,,,,,,
06/30/1990,,,-1.0,,1.0,1.0,,,,,,,,,,,,,
09/30/1990,,,-13.0,,-11.0,-11.0,,,,,,,,,,,,,
12/31/1990,,,-47.0,,-88.0,-88.0,,,,,,,,,,,,,
03/31/1991,,,-35.0,,-36.0,-36.0,,,,,,,,,,,,,
06/30/1991,,,-31.0,,-49.0,-49.0,,,,,,,,,,,,,
09/30/1991,,,-32.0,,-33.0,-33.0,,,,,,,,,,,,,
12/31/1991,,,-43.0,,-43.0,-43.0,,,,,,,,,,,,,
03/31/1992,,,-50.0,,-50.0,-50.0,,,,,,,,,,,,,
06/30/1992,,,-48.0,,-48.0,-48.0,,,,,,,,,,,,,
09/30/1992,,,-33.0,,-33.0,-33.0,,,,,,,,,,,,,
12/31/1992,,,-60.0,,-60.0,-60.0,,,,,,,,,,,,,
03/31/1993,,,-129.0,,-279.0,-279.0,,,,,,,,,,,,,
06/30/1993,,,748.0,,1692.0,1692.0,,,,,,,,,,,,,
09/30/1993,,,-25.0,,-25.0,-25.0,,,,,,,,,,,,,
12/31/1993,,,0.0,,-83.0,-83.0,,,,,,,,,,,,,
03/31/1994,,,-34.0,,-34.0,-34.0,,,,,,,,,,,,,
06/30/1994,,,-17.0,,-17.0,-17.0,,,,,,,,,,,,,
09/30/1994,,,-6.0,,-6.0,-6.0,,,,,,,,,,,,,
12/31/1994,,,0.0,,-35.0,-35.0,,,,,,,,,,,,,
03/31/1995,,,-2.0,,-2.0,-2.0,,,,,,,,,,,,,
06/30/1995,,,-3.0,,-3.0,-3.0,,,,,,,,,,,,,
09/30/1995,,,-2.0,,-2.0,-2.0,,,,,,,,,,,,,
12/31/1995,,,0.0,,-25.0,-25.0,,,,,,,,,,,,,
03/31/1996,,,28.0,,-15.0,-15.0,,,,,,,,,,,,,
06/30/1996,,,47.0,,4.0,4.0,,,,,,,,,,,,,
09/30/1996,,,56.0,,13.0,13.0,,,,,,,,,,,,,
12/31/1996,,,42.0,,13.0,13.0,,,,,,,,,,,,,
03/31/1997,,,57.0,,15.0,15.0,,,,,,,,,,,,,
06/30/1997,,,69.0,,27.0,27.0,,,,,,,,,,,,,
09/30/1997,,,77.0,,34.0,34.0,,,,,,,,,,,,,
12/31/1997,,,0.0,,72.0,72.0,,,,,,,,,,,,,
03/31/1998,,,67.0,,67.0,67.0,,,,,,,,,,,,,
06/30/1998,,,82.0,,82.0,82.0,,,,,,,,,,,,,
09/30/1998,,,91.0,,91.0,91.0,,,,,,,,,,,,,
12/31/1998,,,0.0,,92.0,92.0,,,,,,,,,,,,,
03/31/1999,,,86.0,,86.0,86.0,,,,,,,,,,,,,
06/30/1999,,,104.0,,104.0,104.0,,,,,,,,,,,,,
09/30/1999,,,129.544998,,116.0,116.0,,,,,,,,,,,,,
12/31/1999,,,115.0,,115.0,115.0,,,,,,,,,,,,,
03/31/2000,,,106.0,,106.0,106.0,,,,,,,,,,,,,
06/30/2000,,,93.0,,93.0,93.0,,,,,,,,,,,,,
09/30/2000,,,65.0,,65.0,65.0,,,,,,,,,,,,,
12/31/2000,,,34.0,,-523.0,-523.0,,,,,,,,,,,,,
03/31/2001,,,11.0,,11.0,11.0,,,,,,,,,,,,,
06/30/2001,,,-6.5,,-13.0,-13.0,,,,,,,,,,,,,
09/30/2001,,,20.0,,27.0,27.0,,,,,,,,,,,,,
12/31/2001,,,26.0,,-9.0,-9.0,,,,,,,,,,,,,
03/31/2002,,,27.299999,,-70.0,-70.0,,,,,,,,,,,,,
06/30/2002,,,52.549999,,48.0,48.0,,,,,,,,,,,,,
09/30/2002,,,45.950001,,44.0,44.0,,,,,,,,,,,,,
12/31/2002,,,22.299999,,21.0,21.0,,,,,,,,,,,,,
03/31/2003,,,23.257999,,6.0,6.0,,,,,,,,,,,,,
06/30/2003,,,32.950001,,31.0,31.0,,,,,,,,,,,,,
09/30/2003,,,40.299999,,39.0,39.0,,,,,,,,,,,,,
12/31/2003,,,48.599998,,46.0,46.0,,,,,,,,,,,,,
03/31/2004,,,58.265999,,57.0,57.0,,,,,,,,,,,,,
06/30/2004,,,82.424004,,80.0,80.0,,,,,,,,,,,,,
09/30/2004,,,92.424004,,90.0,90.0,,,,,,,,,,,,,
12/31/2004,,,86.223999,,85.0,85.0,,,,,,,,,,,,,
03/31/2005,,,77.0,,77.0,77.0,,,,,,,,,,,,,
06/30/2005,,,110.0,,110.0,110.0,,,,,,,,,,,,,
09/30/2005,,,133.0,,158.0,158.0,,2.21267543859651,,,,,,,,,,,
12/31/2005,,,165.0,,-1781.0,-1781.0,,47.6634536082474,,,,,,,,,,,
03/31/2006,,,159.0,,-141.0,-141.0,,16.4633898305085,,,,,,,,,,,
06/30/2006,,,180.0,,176.0,176.0,,-20.3870951156812,,,,,,,,,,,
09/30/2006,,176.0,148.0,-0.404312668463612,153.0,153.0,,-11.2299465240642,,,,,,,,,,-15.9090909090909,
