Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Equity Float,Source: Bloomberg
03/31/1988,1475.886422,,1117.802503,1572.665859,1069.412784,,,,
06/30/1988,1858.1652,25.901639,1471.04745,1867.843144,1393.6239,,,,
09/30/1988,290.338312,-84.375,1853.326228,1916.232863,261.304481,,,,
12/31/1988,217.753734,-25.0,290.338312,290.338312,183.880931,,,,
03/31/1989,237.109622,8.888889,212.914762,285.499341,193.558875,,1.394072,,
06/30/1989,193.558875,-18.367347,241.948594,241.948594,193.558875,,1.394072,,
09/30/1989,145.169156,-25.0,198.397847,203.236819,140.330184,,1.394072,,
12/31/1989,174.202988,20.0,140.330184,217.753734,111.296353,,1.394072,,
03/31/1990,174.202988,0.0,179.041959,188.719903,140.330184,249.101995,1.398954,,
06/30/1990,154.8471,-11.111111,169.364016,169.364016,125.813269,221.867996,1.429952,,
09/30/1990,62.906634,-59.375,150.008128,150.008128,62.906634,89.615498,1.43282,,
12/31/1990,31.453317,-50.0,67.745606,77.42355,29.033831,44.767125,1.424579,,
03/31/1991,96.779438,207.692308,33.872803,116.135325,31.453317,140.314999,1.423288,,
06/30/1991,67.745606,-30.0,91.940466,96.779438,53.228691,98.220499,1.449843,,
09/30/1991,62.906634,-7.142857,67.745606,72.584578,62.906634,90.824497,1.449843,,
12/31/1991,62.906634,0.0,67.745606,67.745606,43.550747,90.627875,1.443798,,
03/31/1992,58.067662,-7.692308,62.906634,77.42355,38.711775,83.657999,1.440673,,
06/30/1992,36.292289,-37.5,53.228691,58.067662,33.872803,52.319999,1.440699,,
09/30/1992,31.453317,-13.333333,36.292289,53.228691,24.194859,45.310686,1.441629,,
12/31/1992,21.775373,-30.769231,31.453317,33.872803,19.355887,31.363312,1.440569,,
03/31/1993,15.726659,-27.777778,24.194859,48.389719,14.516916,22.640312,1.440311,,
06/30/1993,10.065061,-36.0,16.936402,16.936402,7.452017,483.041019,1.439614,,
09/30/1993,16.549284,64.423077,10.065061,17.517078,10.065061,794.25227,47.99186,,
12/31/1993,22.646388,36.842105,16.452504,23.614183,15.678269,1086.871529,47.993151,,
03/31/1994,23.517403,3.846154,22.839947,27.872478,21.291476,1368.636709,47.993151,,
06/30/1994,14.033018,-40.329218,22.452829,24.969095,13.74268,816.694341,58.196761,,
09/30/1994,16.065387,14.482759,14.323357,18.96877,14.226577,935.472254,58.198052,,
12/31/1994,15.097592,-6.024096,16.258945,16.839622,13.355562,879.1185,58.229053,,
03/31/1995,17.807416,17.948718,15.097592,18.678431,14.904033,1037.047016,58.229053,,
06/30/1995,18.388093,3.26087,17.807416,20.807579,16.742843,1070.958714,58.236804,,
09/30/1995,21.678594,17.894737,18.388093,22.936727,18.291314,1264.78804,58.241967,,
12/31/1995,23.227065,7.142857,21.775373,24.291639,20.807579,1357.89,58.342715,,
03/31/1996,19.646226,-15.416667,23.420624,23.614183,18.581652,1154.638583,58.461541,,
06/30/1996,21.581815,9.852217,19.549446,22.452829,18.581652,1268.702748,58.771522,,
09/30/1996,22.936727,6.278027,21.485035,23.130286,19.936564,1353.210792,58.785731,,
12/31/1996,26.227228,14.345992,22.839947,26.711125,21.775373,1548.934307,58.997555,,
03/31/1997,24.291639,-7.380074,25.936889,30.001626,23.227065,1446.042397,59.058256,,
06/30/1997,28.259596,16.334661,24.194859,30.001626,22.936727,1694.037954,59.5284,,
09/30/1997,37.114914,31.335616,28.259596,37.163304,27.678919,2233.072571,59.945583,,
12/31/1997,37.937539,2.216428,37.405253,39.873128,32.033994,2292.268902,60.166448,,
03/31/1998,41.953886,10.586735,38.131098,44.034644,36.389069,2568.216587,60.422182,,
06/30/1998,41.905496,-0.11534,42.147445,44.905659,38.324657,2688.334556,61.215225,,
09/30/1998,33.485685,-20.092379,42.389394,45.486336,32.033994,2148.962762,64.152314,,
12/31/1998,39.437621,17.774566,33.292127,39.969908,27.48536,2522.679765,64.175565,,
03/31/1999,39.776349,0.858896,39.58279,45.195997,34.647039,2557.396091,63.966327,,
06/30/1999,43.357188,9.002433,39.969908,50.325308,39.824739,2788.07193,64.29439,,
09/30/1999,36.872966,-14.955357,43.357188,47.034807,35.953561,2354.627715,64.304722,,
12/31/1999,36.485848,-1.049869,37.163304,40.550584,31.840435,2302.527529,63.857834,,
03/31/2000,32.469501,-11.007958,36.292289,37.163304,23.807742,1963.849208,63.107414,,
06/30/2000,23.505306,-27.608048,32.469501,35.276105,23.505306,1349.261727,60.482888,,
09/30/2000,19.404277,-17.447247,23.662572,25.985279,19.065549,1087.436811,57.402432,,
12/31/2000,17.420299,-10.224439,19.404277,19.743005,10.161841,976.522522,56.041088,,
03/31/2001,11.830318,-32.088889,17.420299,19.162329,11.234157,663.28952,56.05956,,
06/30/2001,3.267274,-72.382199,11.830318,11.830318,2.167859,183.384325,56.067049,,
09/30/2001,2.887898,-11.611374,3.267274,4.955107,2.833702,162.105797,56.127627,,
12/31/2001,4.428627,53.351206,2.903383,4.885426,2.787248,248.574044,56.132919,,
03/31/2002,5.419649,22.377622,4.506051,7.06877,4.420885,302.756996,56.129302,,
06/30/2002,5.535784,2.142857,5.442876,6.193884,4.258295,309.2375,55.862847,,
09/30/2002,3.096942,-44.055944,5.380937,5.419649,2.980807,172.996002,55.861813,,
12/31/2002,6.54229,111.25,3.096942,6.968119,2.554977,365.361091,55.860783,,
03/31/2003,3.22082,-50.769231,6.697137,6.999089,2.92661,179.033915,55.846445,,
06/30/2003,14.710475,356.730769,3.22082,17.288679,3.22082,817.968975,55.586188,,
09/30/2003,13.34782,-9.263158,14.679505,18.364866,10.103773,742.216448,55.60401,,
12/31/2003,12.829082,-3.886311,13.386532,14.602082,10.994144,713.338487,55.605951,47.085415,
