Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
09/30/1993,,,,,,,39.299961,10.642131,8.274354,,8.055591,4.992922,4.992923,4.992923,,38.01917,0.0,,
12/31/1993,,,,,,,38.296142,12.040911,9.728034,,10.483496,6.717806,6.717806,6.717806,,35.920177,0.0,,
03/31/1994,,,,,,,38.32494,12.229219,9.433249,,10.352645,6.624685,6.624685,6.624685,,36.009732,0.0,,
06/30/1994,,,,,,,40.234693,15.731381,11.827582,,12.884861,8.586035,8.586035,8.586035,,33.36339,0.0,,
09/30/1994,,,,,,,42.221732,13.58582,10.899482,26.448165,12.176593,7.673676,7.673676,7.673676,,36.980109,0.0,,
12/31/1994,,13.313692,10.426471,,11.890241,,41.193037,15.099084,12.393119,29.543756,14.123328,8.902525,8.902525,8.902525,,36.965812,0.0,13.313692,
03/31/1995,,14.951284,11.847037,,13.525297,,43.49937,17.739616,14.997303,28.881209,16.040281,10.106096,10.106096,10.106096,,36.995518,0.0,14.951284,
06/30/1995,,3.186025,2.529076,,1.646363,,44.503955,-24.497363,-27.265985,,-26.062953,-16.240936,-16.240936,-16.240936,,,,,
09/30/1995,,5.133558,4.098575,,3.873601,,45.485814,18.34597,14.95349,24.878705,15.328695,9.505198,9.505198,9.505198,,37.990821,0.0,5.133558,
12/31/1995,,4.29944,3.762569,,3.416464,,46.975495,18.497958,15.282032,20.293143,17.776927,12.078867,12.078867,12.078867,,32.053123,0.0,4.29944,
03/31/1996,,6.546357,5.721106,,5.361512,,47.986861,22.192202,19.559229,26.102657,21.937911,13.525111,13.525112,13.525112,,38.348227,0.0,6.546357,
06/30/1996,,3.13685,2.714184,,5.491656,,48.472299,25.561384,22.588809,85.63985,-9.479109,-13.206332,-13.206332,-13.206332,,,,,
09/30/1996,,5.609168,4.863747,,7.225566,,47.966924,25.185407,20.322224,26.759773,24.354276,15.343961,15.34396,15.34396,,36.99685,0.0,5.609168,
12/31/1996,,5.121719,4.604635,,6.024811,,45.96835,20.98047,16.166292,18.142918,20.495525,13.825332,13.825331,13.825331,,32.544633,0.0,5.121719,
03/31/1997,,-27.567277,-23.571668,,,,45.39884,6.242573,1.184641,,-119.273623,-128.293974,-128.293975,-128.293975,,,,,
06/30/1997,,-12.446285,-10.731269,,,,46.171782,25.990616,22.742158,23.016196,24.583246,26.424334,26.424334,26.424334,,,0.0,-12.446285,
09/30/1997,,-9.903595,-8.685456,,,,48.728198,27.882166,23.037331,26.88406,24.941283,16.410975,16.410974,16.410974,,34.201562,0.0,-9.903595,
12/31/1997,,-10.569326,-9.274424,,,,48.895093,28.701158,24.294729,32.382874,11.502012,2.752919,2.752919,2.752919,,76.065764,0.0,-10.569326,
03/31/1998,,16.508643,13.851305,,,,51.623471,31.997829,27.438337,61.112696,29.00338,19.329326,19.329325,19.329325,,33.354918,0.0,16.508643,
06/30/1998,,-9.143465,-7.69909,,,,43.649599,-0.973124,-8.825688,,-72.0034,-70.924083,-70.924084,-70.924084,,,,,
09/30/1998,,-8.885109,-7.56526,,,,49.672585,35.252527,20.731454,15.427062,22.331941,14.190178,14.190178,14.190178,,36.457928,0.0,-8.885109,
12/31/1998,,-7.937295,-6.671017,,,,47.409524,28.371385,18.878191,5.411905,16.687574,10.065545,3.764975,3.764975,,39.682392,0.0,-7.937295,
03/31/1999,,-5.209028,-4.507166,,,,51.3154,39.589542,29.299886,32.656136,24.57518,17.14048,17.14048,17.14048,,30.25288,0.0,-5.209028,
06/30/1999,,-8.773762,-7.724463,,,,54.046642,30.717057,20.847201,64.331388,-215.005611,-223.074792,-223.077101,-223.077101,,,,,
09/30/1999,,-12.946042,-11.640149,,,,45.588877,29.161233,-49.15254,,-46.762275,-49.500215,-49.500217,-49.500217,,,,,
12/31/1999,,-17.344081,-15.520508,,,,50.585733,33.581825,-34.788781,,-37.983669,-46.574368,-46.574367,-46.574367,,,,,
03/31/2000,,-18.158819,-16.342676,,,,48.783578,32.615309,-35.352255,,-54.130764,-61.049162,-61.049161,-61.049161,,,,,
