Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1993,132.666673,132.666673,132.666673,,4.42399,0.603716,0.598673,0.195,0.36,,0.195,0.36,0.36,,1.510274,,3.49047,7.916819,,
06/30/1993,132.666673,132.666673,132.666673,,4.557075,0.484048,0.477226,0.285,0.285,,0.285,0.285,0.285,,0.895417,,1.61859,8.204103,,
09/30/1993,132.666673,132.666673,132.666673,,4.738138,0.66652,0.658877,0.3825,0.3825,,0.3825,0.3825,0.3825,,0.563616,,1.837372,8.607859,,
12/31/1993,132.666673,132.666673,132.666673,,4.17603,0.089736,0.080721,0.3825,0.3825,0.3825,0.3825,0.3825,0.3825,,-1.160593,,1.565729,9.295402,,
03/31/1994,132.666673,132.666673,132.666673,,5.140507,0.797382,0.785058,0.465,0.465,,0.465,0.465,0.465,,0.930422,,1.568382,9.548683,,
06/30/1994,132.666673,132.666673,132.666673,,5.235414,0.678942,0.630897,0.375,0.375,,0.375,0.375,0.375,,0.168859,,0.779013,9.742356,,
09/30/1994,132.666673,132.666673,132.666673,,5.259957,0.695812,0.645136,0.375,0.375,,0.375,0.375,0.375,,0.416178,,1.161482,10.128392,,
12/31/1994,132.666673,132.666673,132.666673,,4.596972,-0.069113,-0.048452,0.39,0.39,0.39,0.39,0.39,0.39,,0.436221,,2.799234,10.695368,,
03/31/1995,132.666673,132.666673,132.666673,,5.78994,0.806518,0.776495,0.45,0.45,,0.45,0.45,0.45,,0.62204,,15.72073,11.369178,,
06/30/1995,132.666673,132.666673,132.666673,,5.943135,0.760055,0.723739,0.42,0.42,,0.42,0.42,0.42,,-0.235673,,15.783021,11.964014,,
09/30/1995,132.666673,132.666673,132.666673,,5.817814,0.714286,0.681769,0.39,0.39,,0.39,0.39,0.39,,0.644269,,16.329851,12.379476,,
12/31/1995,132.666673,132.666673,132.666673,,4.849409,-0.326593,-0.393822,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,,0.102912,,16.922374,12.589642,,
03/31/1996,132.666673,88.489333,88.489333,,8.831709,0.839355,0.768307,0.6825,0.6825,0.6825,0.6825,0.6825,0.6825,,1.017897,0.96893,17.63418,12.902321,,
06/30/1996,132.964005,132.792007,132.792007,,7.749713,0.562037,0.484931,0.375,0.375,0.375,0.375,0.375,0.375,,0.471617,0.386221,14.935298,5.725256,,
09/30/1996,132.968002,132.968002,132.968002,,8.24339,0.529571,0.448243,0.34,0.34,0.34,0.34,0.34,0.34,,0.890733,0.808947,15.24378,6.107559,,
12/31/1996,133.054,132.970002,132.970002,,8.430736,-0.258336,-0.336542,0.355,0.355,0.355,0.355,0.355,0.355,,1.051072,0.924885,15.343853,6.542148,,
03/31/1997,133.207993,133.087997,133.087997,,9.251645,0.622738,0.526524,0.38,0.38,0.41,0.38,0.38,0.41,0.0,1.520625,1.443263,18.998973,6.821182,,
