Date,P/E,Average,High,Low,P/Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/30/2006,,,,,,,,,,,,19.13,16835.145,
12/31/2006,,18834.206915,20627.766021,16388.755085,,,,,,,,22.42,19189.862,
03/31/2007,,18755.973918,19921.422296,17924.343137,,,,,,,,21.95,18579.79,
06/30/2007,18.27193,18669.92365,19620.374911,17518.663998,,3.432105,9.987701,10.709215,3.783583,12.007787,13.530473,20.83,17584.203,
09/30/2007,19.416667,17160.250152,18272.42872,15854.007971,,3.362751,13.183149,14.183632,3.637261,12.263112,13.406315,20.97,17329.003,
12/31/2007,21.678571,18313.942229,20166.278608,15843.694058,358.644813,3.763522,16.720966,18.088137,4.025997,13.64423,14.922989,24.28,19728.192,
03/31/2008,18.336207,17672.493282,19003.730002,16375.519034,2127.0,3.186776,14.140291,15.020079,3.420726,11.853889,12.982362,21.27,17223.7,
06/30/2008,20.097561,18490.116853,20641.795231,16491.777406,709.997176,3.566748,15.728248,16.870469,3.784108,13.313653,14.623958,24.72,19599.028,
09/30/2008,19.425197,20771.478961,22235.536976,18672.517954,,3.440179,15.893817,17.008319,3.705788,12.887212,14.176585,24.67,19638.823,
12/31/2008,10.863636,12893.743757,18650.088928,9731.18645,,1.981408,8.33928,8.837764,2.276328,8.021057,8.873479,14.34,12023.564,
03/31/2009,9.311111,11012.524627,13125.341992,9253.137614,77.384407,1.736015,6.991052,7.371716,1.985833,6.756233,7.472006,12.57,10360.684,
06/30/2009,12.330827,13004.789188,14260.946359,10549.324155,40.276471,2.277149,8.98417,9.462037,2.492021,8.294596,9.17345,16.4,12770.36,
09/30/2009,15.015873,13950.280658,15691.20375,11969.050603,40.132808,2.633832,10.364313,10.902057,2.879655,10.072224,11.224975,18.92,14574.508,
12/31/2009,15.578512,14609.493365,15359.720938,13774.219272,36.60686,2.590859,10.824825,11.502608,2.81372,9.954642,11.151341,18.85,14303.825,
03/31/2010,14.252101,13346.762556,15295.448204,12089.604542,30.065455,2.296686,12.598789,13.619863,2.533892,9.139773,10.306228,16.96,12961.112,
06/30/2010,11.991767,12739.771319,14336.577136,11560.046592,24.67965,1.988845,10.916544,11.770485,2.223162,8.188648,9.303249,14.91,11414.156,
09/30/2010,13.014475,12367.716806,13200.820068,11564.660791,26.48482,2.315093,12.232213,13.377534,2.504001,8.773203,9.945129,17.67,12894.854,
12/31/2010,13.090565,13200.926686,13636.661797,12784.034453,20.842252,2.381345,12.367083,13.427185,2.556913,8.995447,10.212507,18.57,13277.28,
03/31/2011,14.189785,14611.589419,15377.935312,13338.188359,46.9196,2.604821,11.659424,12.541566,2.769228,9.838097,11.192618,20.77,14519.064,
06/30/2011,13.180615,14364.607617,15061.790274,13525.938626,33.154379,2.431993,11.072978,11.86711,2.635849,9.262183,10.520327,20.03,14064.625,
09/30/2011,9.923687,12435.586126,14324.438571,10909.271449,18.860408,1.803834,8.359324,8.86242,1.989577,7.038294,7.991206,15.29,10777.739,
12/31/2011,11.70783,11981.936633,13517.752087,10658.190443,12.639969,2.094834,9.78252,10.362643,2.462495,8.571592,9.76357,18.26,13522.544,
03/31/2012,10.859773,13510.134134,14427.88432,12801.400071,11.168741,1.959025,9.644147,10.28627,2.328259,8.06882,9.285519,17.6,13042.44,
06/30/2012,10.16446,12797.545812,13757.400956,11995.986543,9.669244,1.840055,9.360758,10.06898,2.199251,7.66569,8.89347,16.84,12449.08,
09/30/2012,10.537889,12944.176054,13781.021002,12364.609822,9.511199,1.968095,9.66775,10.425209,2.275715,7.860705,9.203146,18.22,12906.492,
12/31/2012,7.662175,10736.212096,13120.165865,9198.590579,8.277994,1.45253,6.919369,7.509704,1.772169,6.369508,7.548106,13.61,10038.981,
03/31/2013,8.621194,10535.701051,11105.932056,10113.062869,9.168893,1.590816,7.380725,8.045184,1.91593,6.965298,8.284206,15.04,10723.076,
