Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
03/31/1990,,,,,,,53.214739,18.237797,16.027209,,16.820342,10.627704,10.627704,10.627704,,36.816365,26.336251,,
06/30/1990,,,,,,,54.669961,20.889207,18.6748,,19.595191,12.273911,12.273911,12.273911,,37.362636,23.774953,,
09/30/1990,,,,,,,54.214842,18.961734,16.484433,,17.683569,11.185569,11.185569,11.185569,,36.74598,27.86076,,
12/31/1990,,,,,,,54.608871,14.708463,11.890381,,13.245416,7.860371,7.860372,7.860372,,40.655911,172.899102,,
03/31/1991,,30.576679,20.984253,30.769812,28.766611,,56.369901,19.784138,17.424942,224.42035,18.101323,11.200611,11.200612,11.200612,,38.122691,30.917186,21.12323,
06/30/1991,,29.160695,20.519994,29.361979,27.5586,,56.091435,22.163245,19.790805,86.401704,20.490554,12.729252,12.729252,12.729252,,37.877464,25.548284,21.710638,
09/30/1991,,28.398234,19.995944,28.593572,27.00975,,55.990213,21.388252,18.812905,63.932626,19.694803,12.198328,12.198328,12.198328,,38.063212,27.559918,20.571704,
12/31/1991,,29.753522,21.645122,29.950769,27.857049,,54.690231,15.420107,12.724202,25.247426,13.791377,8.443439,8.443438,8.443438,,38.777403,152.496213,-15.619473,
03/31/1992,,28.284246,20.029429,28.460906,28.584223,,56.535131,20.843363,18.579301,31.124107,19.224602,12.013554,9.655872,9.655872,,37.509479,26.350277,20.831269,
06/30/1992,,27.880733,20.095924,28.042801,28.153794,,57.069738,22.384661,20.167609,23.100378,20.794455,13.16935,13.169352,13.169352,,36.668933,21.807014,21.800778,
09/30/1992,,27.386657,19.678848,27.540782,27.564425,,55.253005,20.287064,17.970818,12.537081,18.882639,12.271116,12.271115,12.271115,,35.013768,23.601763,20.922923,
12/31/1992,,29.365064,21.144887,29.520979,28.486704,,53.0178,13.329444,10.848777,,12.831256,8.424458,8.424458,8.424458,,34.344243,177.549571,-22.772481,
03/31/1993,,30.678149,21.445592,30.82576,28.988328,,56.335061,21.740243,19.552678,32.263105,20.124394,12.746252,12.746251,12.746251,,36.662678,27.544852,22.227898,
06/30/1993,,30.345685,21.390843,30.471864,28.754472,,57.194427,23.197737,21.085697,27.839705,21.653068,13.869648,13.869648,13.869648,,35.946038,25.3174,22.662946,
09/30/1993,,30.178691,21.336388,30.334583,28.646828,,57.375442,23.004596,20.4293,54.962073,21.350138,13.622307,13.622307,13.622307,,36.195698,19.821232,24.196903,
12/31/1993,,32.564609,22.911045,32.740608,30.342754,,56.200514,16.652978,13.833223,32.681584,14.697406,8.54368,8.54368,8.54368,,41.869474,175.295579,-24.519711,
03/31/1994,,35.986557,24.645373,36.187832,30.647703,,56.958661,23.134692,20.753016,29.38299,31.338212,20.060914,20.060916,20.060916,,35.985774,15.327488,30.470722,
06/30/1994,,34.308734,23.73728,34.50912,29.310697,,56.089853,23.195949,20.824351,18.087892,21.389771,13.792052,13.792052,13.792052,,35.520338,23.934392,26.097147,
09/30/1994,,34.474955,24.04739,34.628094,28.217758,,57.227529,20.271378,17.662039,,21.945522,15.249439,15.249438,15.249438,,30.512297,22.662728,26.66199,
12/31/1994,,36.486786,25.698183,36.640673,29.055038,,54.672022,16.364063,13.410003,9.579684,14.295654,8.921706,8.921707,8.921707,,37.591478,188.094622,-32.142896,
03/31/1995,,30.676727,20.657837,29.655866,27.078077,,55.685234,22.596603,20.050517,11.635349,20.750245,13.476725,13.476725,13.476725,,35.052698,29.432303,21.64786,
06/30/1995,,29.458598,20.028059,28.591552,26.037346,,55.789465,23.106652,20.807907,20.66176,21.514167,13.576175,13.576176,13.576176,,36.89658,25.433517,21.966241,
09/30/1995,,27.523748,19.259962,27.687637,26.431056,,55.979551,22.557528,20.032724,55.005091,20.860574,13.508883,13.508884,13.508884,,35.242034,27.861654,19.855176,
12/31/1995,,30.126665,21.533522,30.294833,28.347433,,55.213997,18.611754,15.987304,34.316183,16.68538,10.455105,10.455105,10.455105,,37.339724,135.355129,-10.651322,
03/31/1996,,28.994139,19.928546,28.216761,27.069371,,55.970133,23.10054,20.588084,33.938834,21.27479,13.502815,13.502814,13.502814,,36.531384,34.228383,19.069914,
06/30/1996,,26.84658,18.533018,26.080119,26.419618,,55.705972,24.358749,21.923598,62.387355,18.939881,11.794882,11.794882,11.794882,,37.724623,34.563399,17.567489,
