Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1980,,,,,,,,,,,,,3.65625,,
12/31/1980,,,,,,,,,,,,,3.515625,,
03/31/1981,,,,,,,,,,,,,4.21875,,
06/30/1981,,,,,,,,,,,,,4.109375,,
09/30/1981,,,,,,,,,,,,,3.75,,
12/31/1981,,,,,,,,,,,,,4.5625,,
03/31/1982,,,,,,,,,,,,,4.328125,,
06/30/1982,,,,,,,,,,,,,4.734375,,
09/30/1982,,,,,,,,,,,,,5.15625,,
12/31/1982,,,,,,,,,,,,,5.59375,,
03/31/1983,,,,,,,,,,,,,6.1875,,
06/30/1983,,,,,,,,,,,,,5.859375,,
09/30/1983,,,,,,,,,,,,,6.046875,,
12/31/1983,,,,,,,,,,,,,6.203125,,
03/31/1984,,,,,,,,,,,,,6.578125,,
06/30/1984,,,,,,,,,,,,,6.625,,
09/30/1984,,,,,,,,,,,,,6.078125,,
12/31/1984,,,,,,,,,,,,,6.3125,,
03/31/1985,,,,,,,,,,,,,7.765625,,
06/30/1985,,,,,,,,,,,,,7.984375,,
09/30/1985,,,,,,,,,,,,,7.421875,,
12/31/1985,,,,,,,,,,,,,7.859375,,
03/31/1986,,,,,,,,,,,,,9.9375,,
06/30/1986,,,,,,,,,,,,,11.25,,
09/30/1986,,,,,,,,,,,,,9.15625,,
12/31/1986,,,,,,,,,,,,,9.609375,,
03/31/1987,,,,,,,,,,,,,10.84375,,
06/30/1987,,,,,,,,,,,,,10.640625,,
09/30/1987,,,,,,,,,,,,,10.703125,,
12/31/1987,,,,,,,,,,,,,9.09375,,
03/31/1988,,,,,,,,,,,,,9.59375,,
06/30/1988,,,,,,,,,,,,,9.234375,,
09/30/1988,,,,,,,,,,,,,9.984375,,
12/31/1988,,,,,,,,,,,,,10.40625,,
03/31/1989,,,,,,,,,,,,,10.75,,
06/30/1989,,,,,,,,,,,,,11.78125,,
09/30/1989,,,,,,,,,,,,,12.5625,,
12/31/1989,,,,,,,,,,,,,13.4375,,
03/31/1990,,16360.233384,16360.233384,16360.233384,7.273058,,,,,,,,12.609375,16393.42073,
06/30/1990,,16620.421149,17470.011363,15571.296973,7.206216,,,,,,,,13.125,15805.809042,
09/30/1990,7.755776,14578.61928,16351.880476,13137.03005,5.948007,,2.167574,,,2.061918,,,11.75,14025.498619,
12/31/1990,8.75624,14927.082253,15986.879959,13326.247398,6.177658,,2.438447,12.569504,,2.291784,9.158302,10.244494,13.15625,15527.251206,
03/31/1991,9.54323,15949.462397,17646.940316,13790.342221,6.424592,,2.73407,12.663064,,2.557541,10.133648,11.307218,14.625,17202.201648,
06/30/1991,15.327764,17538.06412,18716.825511,16793.403918,6.564053,,2.784758,12.284672,,2.591444,10.009633,11.077037,14.90625,17467.701494,
09/30/1991,16.615854,18649.409966,20815.830366,17499.302671,6.942989,,3.12414,12.677004,,2.904572,11.124826,12.283921,17.03125,19962.709965,
12/31/1991,19.409404,22154.838132,25688.270687,19476.62624,8.092789,,3.772847,14.072201,,3.496757,13.138215,14.417314,21.15625,24755.090162,
03/31/1992,20.562331,22789.162099,24659.480675,21362.143051,7.003176,,3.276049,12.574755,,3.026402,12.806942,14.242039,18.96875,22144.66243,
06/30/1992,19.376694,21726.065425,24039.542167,19903.365478,6.822957,,3.026318,12.789182,,2.837189,12.030352,13.424332,17.875,21158.344969,
09/30/1992,18.157182,21735.176694,22757.063132,19871.571814,5.922636,,2.743074,12.464094,,2.590257,10.948215,12.26457,16.75,19921.745195,
12/31/1992,18.392371,20547.109558,21870.657625,19110.863794,5.931467,,2.693327,14.014966,,2.538415,9.443739,10.485191,16.875,19986.682313,
03/31/1993,14.661863,18614.957459,19904.196285,16425.761276,5.911584,,2.593074,14.373364,,2.426955,8.053198,8.87085,16.53125,19373.562503,
06/30/1993,14.021739,19300.800066,20108.584633,18631.023277,5.595168,,2.474211,13.355434,,2.359335,7.833846,8.659702,16.125,19186.609067,
09/30/1993,13.090129,18630.79912,19264.087567,17404.603558,5.096845,,2.31806,12.551904,,2.202446,7.256498,8.035556,15.25,18040.256214,
12/31/1993,13.689218,18584.599756,19396.856155,17410.303119,5.183591,,2.422316,11.965167,,2.280067,8.465685,9.488297,16.1875,18935.612819,
03/31/1994,12.133891,17909.581957,19074.724155,16646.958637,4.566339,,2.157561,11.133795,,2.019244,7.429646,8.336341,14.5,16836.21663,
06/30/1994,11.749482,16856.27746,17412.203492,16260.229768,4.395863,,2.08975,12.216356,,1.963088,7.164956,8.033737,14.1875,16502.340728,
09/30/1994,12.244898,16897.248127,17648.591948,16273.090484,4.461356,,2.178288,11.656998,,2.047042,7.497687,8.415932,15.0,17393.15655,
12/31/1994,12.625754,18590.199973,27658.636525,16770.182551,4.513461,,2.150962,10.12757,,3.085602,11.137622,12.703378,15.6875,27666.166247,
03/31/1995,10.237069,29757.9816,31758.661927,27467.473405,4.255694,,2.118467,14.332886,,2.881298,11.053571,13.047992,17.8125,29715.392261,
06/30/1995,11.133094,31083.942701,32026.382175,29944.609676,4.44489,,2.04228,13.082786,,2.716589,10.985714,13.295849,19.34375,31606.546726,
