Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
12/27/1997,,,,,,,,,,0.896343,7.243322,13.108006,5.089556,8677.5,
03/21/1998,,,,,,,,,,0.950881,7.637221,13.678955,5.505259,8905.0,
06/13/1998,,9003.781818,9285.0,8647.5,,,,,,0.958809,7.707219,13.469626,5.561435,8647.5,
09/05/1998,,9221.711864,10139.0,8495.5,,,0.649895,6.763732,19.820907,1.064509,8.03438,13.234442,6.707427,9303.8125,
12/26/1998,26.02459,10150.041396,11168.5,8649.0,,,0.856863,10.781969,33.925537,1.251548,8.954114,13.815918,8.561239,10610.625,
03/20/1999,32.783019,11761.764254,13881.0,10362.0,,,1.268429,16.122292,57.209826,1.65693,11.193301,16.688929,12.493567,13868.5,
06/12/1999,22.136564,12937.5625,14480.5,10536.25,,,0.933408,13.166129,59.368726,1.283368,8.395321,12.281323,9.033118,10586.5,
09/04/1999,17.368366,9953.251059,11473.375,8353.5,,,0.793298,10.220159,43.695147,1.092242,6.958498,10.001851,7.471423,8781.625,
12/25/1999,14.463401,8654.99513,9330.25,8184.875,,,0.744351,10.324363,62.057996,1.035485,6.327783,9.059913,6.81978,8099.5625,
03/18/2000,11.476313,7136.185345,8319.25,6326.875,,,0.627061,9.199584,101.24674,0.945175,5.719173,8.132353,5.617611,7189.0,
06/10/2000,10.189039,7233.737846,7933.9375,6780.041107,,,0.601278,9.057376,,0.913469,5.398838,7.639172,5.280554,6737.75,
09/02/2000,10.127119,6620.138529,7171.398819,5913.308014,,,0.616689,9.620533,,0.926025,5.450489,7.767422,5.370436,6687.75,
12/30/2000,11.073826,6909.211024,7792.759287,6202.096886,,,0.683445,9.823478,,1.006908,5.868529,8.275782,5.932197,7142.0,
03/24/2001,12.081911,7524.426655,8131.473534,6962.428086,,,0.740406,7.925671,93.038795,1.070666,6.289262,8.851004,6.36363,7496.8,
06/16/2001,16.224913,8447.774696,9313.82397,7427.000026,,,0.987893,10.127946,77.507177,1.314175,7.80088,11.112932,8.429113,9134.83,
09/08/2001,13.843537,8721.314469,9035.11363,8115.772694,,,0.861104,7.690306,38.301473,1.16345,6.864851,9.800972,7.316376,8066.2,
12/29/2001,15.339564,9019.937853,9865.696456,7735.950248,69.362115,,1.038776,8.685698,37.029639,1.339948,7.605437,10.69651,8.851557,9316.66,
03/23/2002,17.08284,10175.65968,10840.849184,9102.322022,32.369394,,1.199503,9.696373,38.850546,1.487398,8.250212,11.490722,10.379547,10502.52,
06/15/2002,17.803977,11209.719597,11680.691528,10475.52261,23.580379,,1.275927,8.977156,28.793769,1.616064,8.917364,12.222859,11.265782,11672.83,
09/07/2002,17.119565,10996.087311,12085.368374,9438.035155,17.493433,72.84375,1.238782,9.010414,31.559867,1.540944,8.533235,11.565566,11.325104,11554.0,
12/28/2002,12.967742,9595.213025,11552.051189,8558.541282,11.938182,,0.919576,6.562373,21.810892,1.209138,6.821295,9.332617,8.671794,9379.28,
03/22/2003,13.624339,9320.708689,9853.450684,8805.96793,10.93442,,0.95761,7.400024,28.22879,1.239113,7.108123,9.786034,9.257823,9844.75,
06/14/2003,14.603093,9828.001601,10647.393449,9164.106641,10.000831,,1.028392,8.758349,33.976732,1.291803,7.381472,10.206125,10.185403,10481.69,
09/06/2003,14.900498,10801.857788,11195.248987,10531.318254,8.778963,59.095973,1.074811,8.612512,24.081621,1.297545,7.388248,10.225505,10.767837,10624.3,
12/27/2003,15.867925,11426.820246,12152.595422,10448.056116,8.770429,40.590413,1.178416,9.381297,25.327689,1.394019,8.140683,11.297756,12.094492,11681.88,
03/20/2004,16.863636,12216.387764,13066.229877,11436.622173,9.026007,34.706452,1.272012,9.775841,23.695429,1.48292,8.718019,12.130144,13.338455,12676.0,
06/12/2004,16.318083,12857.034964,13414.806534,12254.5967,8.531422,27.494937,1.260054,10.159719,26.33845,1.459719,8.711195,12.183958,13.46429,12683.5,
09/04/2004,16.963907,12839.029411,13483.477645,12206.901725,7.70502,19.313576,1.312262,10.836598,30.001123,1.496948,8.980676,12.658476,14.363108,13291.4,
12/25/2004,19.15942,14327.815374,15379.110439,13054.023568,8.412727,12.877447,1.496204,11.922171,27.718919,1.669548,9.743718,13.726551,16.635319,15044.3,
03/19/2005,20.633947,15526.334378,16675.756761,14843.046709,8.595404,18.102281,1.616284,12.52243,27.300505,1.782622,10.433044,14.685643,18.138142,16212.95,
06/11/2005,21.493927,16123.273433,17030.481358,15138.467964,9.814958,23.110715,1.683942,11.764444,22.726399,1.828344,10.790051,15.341025,19.087294,16767.74,
09/03/2005,18.376471,16321.500785,17033.251956,14825.495818,8.31765,18.535153,1.468532,10.137453,18.978345,1.598185,9.546727,13.653321,16.84744,14759.24,
12/31/2005,17.825095,15407.690227,16218.345151,14669.995947,8.994231,22.431394,1.432718,10.834742,21.419269,1.571466,9.853548,14.375382,16.85463,14691.64,
03/25/2006,17.9375,15456.569522,16143.28314,14763.721809,10.014789,28.768186,1.468829,10.593491,19.28707,1.605295,9.803171,14.138657,17.541327,15057.67,
