date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
2008-12-05,False,daily,13.2,13.2,13.2,13.2,100.0,13.2,13.2,13.2,13.2,100.0
2008-12-03,False,daily,13.5,13.5,13.5,13.5,500.0,13.5,13.5,13.5,13.5,500.0
2008-11-26,False,daily,13.5,13.5,13.5,13.5,100.0,13.5,13.5,13.5,13.5,100.0
2008-11-25,False,daily,12.43,12.43,12.43,12.43,500.0,12.43,12.43,12.43,12.43,500.0
2008-11-20,False,daily,12.58,12.58,12.5799,12.5799,220.0,12.58,12.58,12.5799,12.5799,220.0
2008-11-17,False,daily,12.46,12.46,12.46,12.46,100.0,12.46,12.46,12.46,12.46,100.0
2008-11-11,False,daily,12.29,12.5357,12.29,12.5357,200.0,12.29,12.5357,12.29,12.5357,200.0
2008-11-06,False,daily,12.6376,12.6376,12.6376,12.6376,100.0,12.6376,12.6376,12.6376,12.6376,100.0
2008-11-05,False,daily,12.42,12.42,12.42,12.42,200.0,12.42,12.42,12.42,12.42,200.0
2008-10-31,False,daily,12.19,12.22,12.19,12.22,2000.0,12.19,12.22,12.19,12.22,2000.0
2008-10-30,False,daily,12.1,12.1,12.05,12.05,3200.0,12.1,12.1,12.05,12.05,3200.0
2008-10-28,False,daily,12.09,12.09,11.82,11.85,600.0,12.09,12.09,11.82,11.85,600.0
2008-10-24,False,daily,12.2201,12.2201,12.22,12.22,200.0,12.2201,12.2201,12.22,12.22,200.0
2008-10-23,False,daily,12.98,12.98,12.98,12.98,100.0,12.98,12.98,12.98,12.98,100.0
2008-10-16,False,daily,12.57,12.76,12.52,12.76,450.0,12.57,12.76,12.52,12.76,450.0
2008-10-14,False,daily,12.05,12.67,12.05,12.67,900.0,12.05,12.67,12.05,12.67,900.0
2008-10-13,False,daily,10.93,11.17,10.93,11.17,600.0,10.93,11.17,10.93,11.17,600.0
2008-10-10,False,daily,12.1,12.61,10.02,10.93,3300.0,12.1,12.61,10.02,10.93,3300.0
2009-12-29,False,daily,13.62,13.62,13.62,13.62,100.0,13.62,13.62,13.62,13.62,100.0
2009-12-28,False,daily,13.8,14.1,13.6,13.7,700.0,13.8,14.1,13.6,13.7,700.0
2009-12-23,False,daily,14.48,14.48,14.0,14.0,1700.0,14.48,14.48,14.0,14.0,1700.0
2009-12-22,False,daily,14.97,14.98,14.25,14.25,4020.0,14.97,14.98,14.25,14.25,4020.0
2009-12-21,False,daily,14.69,14.69,14.5799,14.5799,420.0,14.69,14.69,14.5799,14.5799,420.0
2009-12-18,False,daily,14.75,14.75,14.7,14.7,500.0,14.75,14.75,14.7,14.7,500.0
2009-12-17,False,daily,15.71,15.97,14.76,14.76,12750.0,15.71,15.97,14.76,14.76,12750.0
2009-12-16,False,daily,15.8,16.71,15.73,15.73,2300.0,15.8,16.71,15.73,15.73,2300.0
2009-12-15,False,daily,15.6,16.06,15.6,16.0,8356.0,15.6,16.06,15.6,16.0,8356.0
2009-12-11,False,daily,16.71,16.71,16.71,16.71,100.0,16.71,16.71,16.71,16.71,100.0
2009-12-10,False,daily,16.25,16.25,16.25,16.25,100.0,16.25,16.25,16.25,16.25,100.0
2009-12-07,False,daily,16.15,16.1594,15.95,15.95,1489.0,16.15,16.1594,15.95,15.95,1489.0
2009-12-04,False,daily,15.1,17.1,15.1,16.45,3620.0,15.1,17.1,15.1,16.45,3620.0
2009-11-24,False,daily,14.0,14.0,14.0,14.0,1000.0,14.0,14.0,14.0,14.0,1000.0
2009-11-20,False,daily,13.43,13.43,13.43,13.43,1000.0,13.43,13.43,13.43,13.43,1000.0
2009-11-19,False,daily,13.58,13.5801,13.45,13.4501,1888.0,13.58,13.5801,13.45,13.4501,1888.0
2009-11-18,False,daily,14.77,14.8,13.5875,13.6,1350.0,14.77,14.8,13.5875,13.6,1350.0
2009-11-16,False,daily,13.49,13.49,13.49,13.49,1000.0,13.49,13.49,13.49,13.49,1000.0
2009-11-11,False,daily,13.45,13.45,13.45,13.45,770.0,13.45,13.45,13.45,13.45,770.0
2009-11-09,False,daily,13.44,13.45,13.44,13.45,2600.0,13.44,13.45,13.44,13.45,2600.0
2009-11-03,False,daily,14.34,14.48,13.35,13.35,1701.0,14.34,14.48,13.35,13.35,1701.0
2009-10-29,False,daily,14.38,14.38,13.44,13.62,1200.0,14.38,14.38,13.44,13.62,1200.0
2009-10-28,False,daily,13.38,13.38,13.38,13.38,100.0,13.38,13.38,13.38,13.38,100.0
2009-10-16,False,daily,13.53,13.53,13.52,13.52,408.0,13.53,13.53,13.52,13.52,408.0
2009-10-15,False,daily,14.9,14.9,14.5,14.5,447.0,14.9,14.9,14.5,14.5,447.0
2009-10-08,False,daily,15.02,15.0201,14.9,14.9,797.0,15.02,15.0201,14.9,14.9,797.0
2009-10-05,False,daily,15.98,15.98,14.95,15.0,1523.0,15.98,15.98,14.95,15.0,1523.0
2009-10-02,False,daily,15.85,15.9425,15.6,15.9425,525.0,15.85,15.9425,15.6,15.9425,525.0
2009-09-29,False,daily,15.51,15.51,15.01,15.01,900.0,15.51,15.51,15.01,15.01,900.0
2009-09-28,False,daily,17.0,17.0,16.0,16.0,400.0,17.0,17.0,16.0,16.0,400.0
2009-09-25,False,daily,15.52,16.97,15.52,15.7,800.0,15.52,16.97,15.52,15.7,800.0
2009-09-24,False,daily,15.545,17.415,15.545,17.0,1300.0,15.545,17.415,15.545,17.0,1300.0
2009-09-23,False,daily,15.51,15.51,15.51,15.51,100.0,15.51,15.51,15.51,15.51,100.0
2009-09-22,False,daily,17.25,19.0,15.25,16.12,3066.0,17.25,19.0,15.25,16.12,3066.0
2009-09-21,False,daily,15.25,15.25,15.25,15.25,183.0,15.25,15.25,15.25,15.25,183.0
2009-09-18,False,daily,16.18,19.0,14.9,17.6,2786.0,16.18,19.0,14.9,17.6,2786.0
2009-09-16,False,daily,15.22,15.25,15.22,15.25,877.0,15.22,15.25,15.22,15.25,877.0
2009-09-08,False,daily,15.25,15.25,15.25,15.25,930.0,15.25,15.25,15.25,15.25,930.0
2009-09-02,False,daily,18.0,18.0,18.0,18.0,335.0,18.0,18.0,18.0,18.0,335.0
2009-09-01,False,daily,17.75,17.75,17.75,17.75,100.0,17.75,17.75,17.75,17.75,100.0
