date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
2008-12-31,False,daily,6.94,7.31,6.94,7.31,5000.0,6.94,7.31,6.94,7.31,5000.0
2008-12-30,False,daily,6.88,7.18,6.88,7.0,13400.0,6.88,7.18,6.88,7.0,13400.0
2008-12-29,False,daily,7.04,7.04,6.8,6.8,9860.0,7.04,7.04,6.8,6.8,9860.0
2008-12-26,False,daily,6.85,6.85,6.82,6.82,5500.0,6.85,6.85,6.82,6.82,5500.0
2008-12-24,False,daily,6.91,7.2,6.8,7.2,13000.0,6.91,7.2,6.8,7.2,13000.0
2008-12-23,False,daily,7.0,7.0,6.23,6.76,19900.0,7.0,7.0,6.23,6.76,19900.0
2008-12-22,False,daily,6.49,7.21,6.49,7.21,28900.0,6.49,7.21,6.49,7.21,28900.0
2008-12-19,False,daily,6.85,6.95,6.77,6.8,6300.0,6.85,6.95,6.77,6.8,6300.0
2008-12-18,False,daily,7.17,7.17,6.85,6.85,10800.0,7.17,7.17,6.85,6.85,10800.0
2008-12-17,False,daily,6.87,6.98,6.87,6.88,5900.0,6.87,6.98,6.87,6.88,5900.0
2008-12-16,False,daily,6.792,7.19,6.71,7.19,5100.0,6.792,7.19,6.71,7.19,5100.0
2008-12-15,False,daily,6.55,6.64,6.55,6.64,4300.0,6.55,6.64,6.55,6.64,4300.0
2008-12-12,False,daily,7.17,7.25,7.17,7.17,4000.0,7.17,7.25,7.17,7.17,4000.0
2008-12-11,False,daily,7.1,7.15,7.02,7.02,3350.0,7.1,7.15,7.02,7.02,3350.0
2008-12-10,False,daily,7.4,7.65,7.4,7.55,15800.0,7.4,7.65,7.4,7.55,15800.0
2008-12-09,False,daily,7.23,7.23,7.17,7.17,6453.0,7.23,7.23,7.17,7.17,6453.0
2008-12-08,False,daily,6.98,7.54,6.98,7.54,26743.0,6.98,7.54,6.98,7.54,26743.0
2008-12-05,False,daily,6.35,6.35,6.35,6.35,2500.0,6.35,6.35,6.35,6.35,2500.0
2008-12-04,False,daily,6.92,7.01,6.24,6.92,7400.0,6.92,7.01,6.24,6.92,7400.0
2008-12-03,False,daily,7.2,7.2,7.1999,7.1999,1100.0,7.2,7.2,7.1999,7.1999,1100.0
2008-12-02,False,daily,5.13,6.94,6.33,6.94,10200.0,5.13,6.94,6.33,6.94,10200.0
2008-12-01,False,daily,6.18,7.05,5.68,6.7,10300.0,6.18,7.05,5.68,6.7,10300.0
2008-11-28,False,daily,7.25,7.25,5.78,5.78,3400.0,7.25,7.25,5.78,5.78,3400.0
2008-11-26,False,daily,7.22,7.22,7.22,7.22,2500.0,7.22,7.22,7.22,7.22,2500.0
2008-11-24,False,daily,7.54,8.2,6.82,8.15,28200.0,7.54,8.2,6.82,8.15,28200.0
2008-11-21,False,daily,6.4,6.55,6.35,6.55,33409.0,6.4,6.55,6.35,6.55,33409.0
2008-11-20,False,daily,6.5,6.6,6.24,6.5,35634.0,6.5,6.6,6.24,6.5,35634.0
2008-11-19,False,daily,7.0,7.0,6.69,6.69,11700.0,7.0,7.0,6.69,6.69,11700.0
2008-11-18,False,daily,6.9,7.15,6.8,6.8,2850.0,6.9,7.15,6.8,6.8,2850.0
2008-11-17,False,daily,7.15,7.15,6.8,7.05,7200.0,7.15,7.15,6.8,7.05,7200.0
2008-11-14,False,daily,7.5,7.5,7.25,7.45,5200.0,7.5,7.5,7.25,7.45,5200.0
2008-11-13,False,daily,7.25,7.25,7.05,7.05,17000.0,7.25,7.25,7.05,7.05,17000.0
2008-11-12,False,daily,7.65,7.65,7.12,7.2,10200.0,7.65,7.65,7.12,7.2,10200.0
2008-11-11,False,daily,8.2,8.2,7.75,7.75,1690.0,8.2,8.2,7.75,7.75,1690.0
2008-11-10,False,daily,7.92,7.92,7.7,7.7,6000.0,7.92,7.92,7.7,7.7,6000.0
2008-11-07,False,daily,7.73,7.75,7.73,7.75,5500.0,7.73,7.75,7.73,7.75,5500.0
2008-11-06,False,daily,8.12,8.12,8.12,8.12,100.0,8.12,8.12,8.12,8.12,100.0
2008-11-05,False,daily,8.55,8.55,8.55,8.55,2000.0,8.55,8.55,8.55,8.55,2000.0
2008-11-04,False,daily,8.5,8.5,8.4,8.4,11200.0,8.5,8.5,8.4,8.4,11200.0
2008-11-03,False,daily,8.1,8.1,8.1,8.1,7900.0,8.1,8.1,8.1,8.1,7900.0
2008-10-31,False,daily,8.6,8.6,8.6,8.6,2000.0,8.6,8.6,8.6,8.6,2000.0
2008-10-30,False,daily,8.45,8.45,8.45,8.45,3400.0,8.45,8.45,8.45,8.45,3400.0
2008-10-29,False,daily,8.88,8.88,8.88,8.88,100.0,8.88,8.88,8.88,8.88,100.0
2008-10-27,False,daily,7.7,8.0,7.7,8.0,1140.0,7.7,8.0,7.7,8.0,1140.0
2008-10-24,False,daily,7.09,8.1,7.09,8.1,6000.0,7.09,8.1,7.09,8.1,6000.0
2008-10-23,False,daily,8.06,8.06,7.85,7.85,11500.0,8.06,8.06,7.85,7.85,11500.0
2008-10-22,False,daily,8.15,8.15,8.0,8.0,5700.0,8.15,8.15,8.0,8.0,5700.0
2008-10-21,False,daily,8.96,9.0,8.65,8.7,3300.0,8.96,9.0,8.65,8.7,3300.0
2008-10-20,False,daily,9.1999,9.3,8.65,8.9,12150.0,9.1999,9.3,8.65,8.9,12150.0
2008-10-17,False,daily,8.6,9.0,8.47,8.47,12200.0,8.6,9.0,8.47,8.47,12200.0
2008-10-16,False,daily,8.8,8.8,8.25,8.25,1300.0,8.8,8.8,8.25,8.25,1300.0
2008-10-14,False,daily,7.7,8.4,7.7,8.4,2175.0,7.7,8.4,7.7,8.4,2175.0
2008-10-13,False,daily,7.7,7.7,7.7,7.7,550.0,7.7,7.7,7.7,7.7,550.0
2008-10-10,False,daily,8.4,8.4,7.1,7.9,15675.0,8.4,8.4,7.1,7.9,15675.0
2008-10-09,False,daily,8.7,8.7,8.4,8.4,10000.0,8.7,8.7,8.4,8.4,10000.0
2008-10-08,False,daily,9.3,9.3,8.55,8.55,8100.0,9.3,9.3,8.55,8.55,8100.0
2008-10-07,False,daily,9.1,9.7,9.1,9.3,16737.0,9.1,9.7,9.1,9.3,16737.0
2008-10-06,False,daily,9.25,9.425,9.1,9.1,32800.0,9.25,9.425,9.1,9.1,32800.0
2008-10-03,False,daily,9.31,9.6,9.31,9.6,2500.0,9.31,9.6,9.31,9.6,2500.0
2008-10-02,False,daily,9.4,9.4,9.4,9.4,2600.0,9.4,9.4,9.4,9.4,2600.0
2009-09-03,False,daily,8.61,8.61,8.61,8.61,100.0,8.61,8.61,8.61,8.61,100.0
2009-08-31,False,daily,8.8,8.82,8.8,8.82,1234.0,8.8,8.82,8.8,8.82,1234.0
2009-08-28,False,daily,9.0,9.0,8.87,8.87,7300.0,9.0,9.0,8.87,8.87,7300.0
2009-08-27,False,daily,9.3199,9.32,9.23,9.23,2200.0,9.3199,9.32,9.23,9.23,2200.0
2009-08-26,False,daily,9.27,9.5,9.27,9.3,13450.0,9.27,9.5,9.27,9.3,13450.0
2009-08-25,False,daily,9.29,9.3,9.26,9.3,5603.0,9.29,9.3,9.26,9.3,5603.0
2009-08-21,False,daily,8.9,9.25,8.9,9.25,11850.0,8.9,9.25,8.9,9.25,11850.0
2009-08-19,False,daily,8.74,8.88,8.73,8.85,2815.0,8.74,8.88,8.73,8.85,2815.0
2009-08-18,False,daily,8.74,8.96,8.71,8.96,4930.0,8.74,8.96,8.71,8.96,4930.0
2009-08-17,False,daily,8.29,8.85,8.29,8.85,4870.0,8.29,8.85,8.29,8.85,4870.0
2009-08-14,False,daily,8.81,8.81,8.8,8.8,2000.0,8.81,8.81,8.8,8.8,2000.0
2009-08-13,False,daily,8.86,8.88,8.8,8.824,7500.0,8.86,8.88,8.8,8.824,7500.0
2009-08-12,False,daily,8.81,8.89,8.76,8.83,3400.0,8.81,8.89,8.76,8.83,3400.0
2009-08-11,False,daily,8.67,8.67,8.48,8.65,9428.0,8.67,8.67,8.48,8.65,9428.0
2009-08-10,False,daily,8.74,8.82,8.67,8.67,5320.0,8.74,8.82,8.67,8.67,5320.0
2009-08-06,False,daily,8.64,8.64,8.64,8.64,300.0,8.64,8.64,8.64,8.64,300.0
2009-08-05,False,daily,8.89,8.99,8.89,8.99,2300.0,8.89,8.99,8.89,8.99,2300.0
2009-08-04,False,daily,8.96,8.96,8.96,8.96,100.0,8.96,8.96,8.96,8.96,100.0
2009-08-03,False,daily,8.8895,8.8895,8.75,8.88,1479.0,8.8895,8.8895,8.75,8.88,1479.0
2009-07-31,False,daily,8.96,8.97,8.96,8.97,674.0,8.96,8.97,8.96,8.97,674.0
2009-07-30,False,daily,8.89,9.0,8.89,9.0,2000.0,8.89,9.0,8.89,9.0,2000.0
2009-07-29,False,daily,8.64,8.75,8.64,8.75,8400.0,8.64,8.75,8.64,8.75,8400.0
2009-07-28,False,daily,8.5,8.59,8.44,8.59,5100.0,8.5,8.59,8.44,8.59,5100.0
2009-07-27,False,daily,8.46,8.5,8.46,8.5,3178.0,8.46,8.5,8.46,8.5,3178.0
2009-07-24,False,daily,8.8,8.84,8.32,8.57,31850.0,8.8,8.84,8.32,8.57,31850.0
2009-07-23,False,daily,9.31,9.4,9.3,9.3,5100.0,9.31,9.4,9.3,9.3,5100.0
2009-07-22,False,daily,9.1,9.1,8.98,9.08,17028.0,9.1,9.1,8.98,9.08,17028.0
2009-07-21,False,daily,9.1,9.1,9.1,9.1,1000.0,9.1,9.1,9.1,9.1,1000.0
2009-07-20,False,daily,8.9,8.9,8.9,8.9,3000.0,8.9,8.9,8.9,8.9,3000.0
2009-07-17,False,daily,8.9,8.9,8.9,8.9,1500.0,8.9,8.9,8.9,8.9,1500.0
2009-07-16,False,daily,9.0,9.0,8.78,8.9,7177.0,9.0,9.0,8.78,8.9,7177.0
2009-07-15,False,daily,8.6957,9.0,8.6957,9.0,5500.0,8.6957,9.0,8.6957,9.0,5500.0
2009-07-14,False,daily,8.42,8.72,8.42,8.45,4700.0,8.42,8.72,8.42,8.45,4700.0
2009-07-13,False,daily,8.2,8.75,8.2,8.47,19787.0,8.2,8.75,8.2,8.47,19787.0
2009-07-10,False,daily,8.34,8.34,8.34,8.34,100.0,8.34,8.34,8.34,8.34,100.0
2009-07-09,False,daily,8.3,8.41,8.3,8.41,1100.0,8.3,8.41,8.3,8.41,1100.0
2009-07-08,False,daily,8.14,8.5,7.98,8.5,11000.0,8.14,8.5,7.98,8.5,11000.0
2009-07-07,False,daily,8.3,8.54,8.3,8.54,600.0,8.3,8.54,8.3,8.54,600.0
2009-07-06,False,daily,8.58,8.58,8.58,8.58,400.0,8.58,8.58,8.58,8.58,400.0
2009-07-01,False,daily,8.83,8.9,8.83,8.9,2000.0,8.83,8.9,8.83,8.9,2000.0
2009-06-30,False,daily,8.82,8.83,8.59,8.75,3500.0,8.82,8.83,8.59,8.75,3500.0
2009-06-29,False,daily,8.89,9.04,8.89,9.02,1600.0,8.89,9.04,8.89,9.02,1600.0
2009-06-26,False,daily,8.68,8.69,8.68,8.69,1200.0,8.68,8.69,8.68,8.69,1200.0
2009-06-25,False,daily,8.76,8.91,8.67,8.9,7250.0,8.76,8.91,8.67,8.9,7250.0
2009-06-24,False,daily,8.84,8.84,8.62,8.62,1050.0,8.84,8.84,8.62,8.62,1050.0
2009-06-23,False,daily,8.58,8.77,8.53,8.71,2600.0,8.58,8.77,8.53,8.71,2600.0
2009-06-22,False,daily,8.6,8.6,8.6,8.6,500.0,8.6,8.6,8.6,8.6,500.0
2009-06-19,False,daily,8.67,9.02,8.67,8.9436,950.0,8.67,9.02,8.67,8.9436,950.0
2009-06-18,False,daily,8.78,8.78,8.67,8.67,1200.0,8.78,8.78,8.67,8.67,1200.0
2009-06-17,False,daily,8.5,8.88,8.45,8.57,4200.0,8.5,8.88,8.45,8.57,4200.0
2009-06-16,False,daily,8.6,8.7,8.59,8.59,4200.0,8.6,8.7,8.59,8.59,4200.0
2009-06-15,False,daily,8.56,8.56,8.46,8.46,3900.0,8.56,8.56,8.46,8.46,3900.0
2009-06-12,False,daily,8.3,8.63,8.3,8.41,4305.0,8.3,8.63,8.3,8.41,4305.0
2009-06-11,False,daily,8.4,8.8,8.31,8.52,8800.0,8.4,8.8,8.31,8.52,8800.0
2009-06-10,False,daily,8.13,8.4,7.98,8.15,31700.0,8.13,8.4,7.98,8.15,31700.0
2009-06-09,False,daily,8.15,8.35,8.15,8.24,6400.0,8.15,8.35,8.15,8.24,6400.0
2009-06-08,False,daily,8.05,8.05,7.98,7.98,4500.0,8.05,8.05,7.98,7.98,4500.0
2009-06-05,False,daily,8.02,8.02,8.02,8.02,3000.0,8.02,8.02,8.02,8.02,3000.0
2009-06-04,False,daily,7.76,7.76,7.76,7.76,4500.0,7.76,7.76,7.76,7.76,4500.0
2009-06-03,False,daily,7.76,7.76,7.63,7.74,5800.0,7.76,7.76,7.63,7.74,5800.0
2009-06-02,False,daily,7.78,7.98,7.66,7.6601,10250.0,7.78,7.98,7.66,7.6601,10250.0
2009-06-01,False,daily,7.64,7.64,7.52,7.62,5672.0,7.64,7.64,7.52,7.62,5672.0
2009-05-28,False,daily,7.3,7.55,7.3,7.55,3400.0,7.3,7.55,7.3,7.55,3400.0
2009-05-27,False,daily,7.34,7.34,7.32,7.34,4000.0,7.34,7.34,7.32,7.34,4000.0
2009-05-26,False,daily,7.13,7.31,7.13,7.31,1735.0,7.13,7.31,7.13,7.31,1735.0
