date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
1980-12-31,False,daily,7.25,8.12,7.25,7.75,11300.0,1.8247416852154,2.0437106874412,1.8247416852154,1.9505859393682,33900.0
1980-12-30,False,daily,7.5,7.5,7.25,7.25,3300.0,1.8876638122918,1.8876638122918,1.8247416852154,1.8247416852154,9900.0
1980-12-29,False,daily,7.63,7.63,7.5,7.63,1800.0,1.9203833183715,1.9203833183715,1.8876638122918,1.9203833183715,5400.0
1980-12-26,False,daily,7.63,7.75,7.63,7.75,800.0,1.9203833183715,1.9505859393682,1.9203833183715,1.9505859393682,2400.0
1980-12-24,False,daily,7.63,7.75,7.5,7.5,1500.0,1.9203833183715,1.9505859393682,1.8876638122918,1.8876638122918,4500.0
1980-12-23,False,daily,7.63,7.63,7.63,7.63,0.0,1.9203833183715,1.9203833183715,1.9203833183715,1.9203833183715,0.0
1980-12-22,False,daily,7.75,7.75,7.5,7.63,2300.0,1.9505859393682,1.9505859393682,1.8876638122918,1.9203833183715,6900.0
1980-12-19,False,daily,7.75,7.75,7.75,7.75,600.0,1.9505859393682,1.9505859393682,1.9505859393682,1.9505859393682,1800.0
1980-12-18,False,daily,7.75,7.75,7.63,7.63,1100.0,1.9505859393682,1.9505859393682,1.9203833183715,1.9203833183715,3300.0
1980-12-17,False,daily,7.63,7.75,7.5,7.75,700.0,1.9203833183715,1.9505859393682,1.8876638122918,1.9505859393682,2100.0
1980-12-16,False,daily,7.63,7.63,7.63,7.63,0.0,1.9203833183715,1.9203833183715,1.9203833183715,1.9203833183715,0.0
1980-12-15,False,daily,7.75,7.75,7.5,7.63,1100.0,1.9505859393682,1.9505859393682,1.8876638122918,1.9203833183715,3300.0
1980-12-12,False,daily,7.75,7.75,7.5,7.75,400.0,1.9505859393682,1.9505859393682,1.8876638122918,1.9505859393682,1200.0
1980-12-11,False,daily,7.75,7.75,7.75,7.75,200.0,1.9505859393682,1.9505859393682,1.9505859393682,1.9505859393682,600.0
1980-12-10,False,daily,7.75,7.75,7.75,7.75,1100.0,1.9505859393682,1.9505859393682,1.9505859393682,1.9505859393682,3300.0
1980-12-09,False,daily,7.63,7.75,7.5,7.75,400.0,1.9203833183715,1.9505859393682,1.8876638122918,1.9505859393682,1200.0
1980-12-08,False,daily,7.88,7.88,7.63,7.63,1900.0,1.9833054454479,1.9833054454479,1.9203833183715,1.9203833183715,5700.0
1980-12-05,False,daily,8.5,8.5,8.12,8.12,800.0,2.1393523205973,2.1393523205973,2.0437106874412,2.0437106874412,2400.0
1980-12-04,False,daily,8.87,8.87,8.62,8.62,500.0,2.2324770686704,2.2324770686704,2.169554941594,2.169554941594,1500.0
1980-12-03,False,daily,9.0,9.0,8.87,9.0,1000.0,2.2651965747501,2.2651965747501,2.2324770686704,2.2651965747501,3000.0
1980-12-02,False,daily,9.13,9.13,8.87,9.0,1000.0,2.2979160808299,2.2979160808299,2.2324770686704,2.2651965747501,3000.0
1980-12-01,False,daily,9.5,9.5,9.25,9.25,600.0,2.3910408289029,2.3910408289029,2.3281187018265,2.3281187018265,1800.0
1980-11-28,False,daily,9.5,9.75,9.5,9.62,1800.0,2.3910408289029,2.4539629559793,2.3910408289029,2.4212434498996,5400.0
1980-11-26,False,daily,9.5,9.5,9.25,9.5,2900.0,2.3910408289029,2.3910408289029,2.3281187018265,2.3910408289029,8700.0
1980-11-25,False,daily,9.62,9.62,9.62,9.62,200.0,2.4212434498996,2.4212434498996,2.4212434498996,2.4212434498996,600.0
1980-11-24,False,daily,9.75,9.75,9.38,9.75,2300.0,2.4539629559793,2.4539629559793,2.3608382079062,2.4539629559793,6900.0
1980-11-21,False,daily,9.75,9.75,9.5,9.75,1900.0,2.4539629559793,2.4539629559793,2.3910408289029,2.4539629559793,5700.0
1980-11-20,False,daily,9.88,10.0,9.62,9.75,2400.0,2.486682462059,2.5168850830557,2.4212434498996,2.4539629559793,7200.0
1980-11-19,False,daily,10.0,10.12,9.75,9.88,2700.0,2.5168850830557,2.5470877040524,2.4539629559793,2.486682462059,8100.0
1980-11-18,False,daily,10.0,10.25,9.75,10.0,6600.0,2.5168850830557,2.5798072101321,2.4539629559793,2.5168850830557,19800.0
1980-11-17,False,daily,9.88,10.0,9.75,10.0,7400.0,2.486682462059,2.5168850830557,2.4539629559793,2.5168850830557,22200.0
1980-11-14,False,daily,9.88,10.0,9.75,9.88,3400.0,2.486682462059,2.5168850830557,2.4539629559793,2.486682462059,10200.0
1980-11-13,False,daily,9.5,9.88,9.5,9.88,5100.0,2.3910408289029,2.486682462059,2.3910408289029,2.486682462059,15300.0
1980-11-12,False,daily,9.5,9.62,9.25,9.5,1900.0,2.3910408289029,2.4212434498996,2.3281187018265,2.3910408289029,5700.0
1980-11-11,False,daily,9.75,9.88,9.5,9.5,2000.0,2.4539629559793,2.486682462059,2.3910408289029,2.3910408289029,6000.0
1980-11-10,False,daily,9.5,9.88,9.5,9.75,6600.0,2.3910408289029,2.486682462059,2.3910408289029,2.4539629559793,19800.0
1980-11-07,False,daily,8.0,9.25,7.88,9.25,7900.0,2.0135080664446,2.3281187018265,1.9833054454479,2.3281187018265,23700.0
1980-11-06,False,daily,8.87,8.87,7.75,8.0,12800.0,2.2324770686704,2.2324770686704,1.9505859393682,2.0135080664446,38400.0
1980-11-05,False,daily,9.0,9.75,9.0,9.0,7900.0,2.2651965747501,2.4539629559793,2.2651965747501,2.2651965747501,23700.0
1980-11-03,False,daily,9.25,9.38,9.0,9.0,500.0,2.3281187018265,2.3608382079062,2.2651965747501,2.2651965747501,1500.0
1980-10-31,False,daily,9.25,9.25,9.25,9.25,1000.0,2.3281187018265,2.3281187018265,2.3281187018265,2.3281187018265,3000.0
