date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
2010-10-19,False,daily,15.0,25.0,15.0,25.0,529.0,15.0,25.0,15.0,25.0,529.0
2013-12-31,False,daily,24.5,25.0,24.5,24.9,2381.0,24.5,25.0,24.5,24.9,2381.0
2013-12-30,False,daily,23.1,24.69,23.1,24.2,4334.0,23.1,24.69,23.1,24.2,4334.0
2013-12-27,False,daily,23.5,23.51,23.5,23.51,615.0,23.5,23.51,23.5,23.51,615.0
2013-12-26,False,daily,23.96,23.98,23.88,23.88,1274.0,23.96,23.98,23.88,23.88,1274.0
2013-12-24,False,daily,22.8,23.96,22.5,23.96,1393.0,22.8,23.96,22.5,23.96,1393.0
2013-12-23,False,daily,22.93,23.4,22.9,22.9,6002.0,22.93,23.4,22.9,22.9,6002.0
2013-12-20,False,daily,22.49,22.75,22.49,22.75,2091.0,22.49,22.75,22.49,22.75,2091.0
2013-12-19,False,daily,22.32,22.59,22.15,22.59,19884.0,22.32,22.59,22.15,22.59,19884.0
2013-12-18,False,daily,22.05,22.69,22.05,22.69,25363.0,22.05,22.69,22.05,22.69,25363.0
2013-12-16,False,daily,22.1,22.1,21.74,21.74,413.0,22.1,22.1,21.74,21.74,413.0
2013-12-13,False,daily,21.35,22.12,20.85,22.12,5623.0,21.35,22.12,20.85,22.12,5623.0
2013-12-12,False,daily,20.76,21.26,20.31,21.26,3189.0,20.76,21.26,20.31,21.26,3189.0
2013-12-11,False,daily,22.2,22.2,20.75,21.0,2121.0,22.2,22.2,20.75,21.0,2121.0
2013-12-10,False,daily,22.4,22.4,22.4,22.4,138.0,22.4,22.4,22.4,22.4,138.0
2013-12-09,False,daily,22.4,22.4,22.4,22.4,345.0,22.4,22.4,22.4,22.4,345.0
2013-12-06,False,daily,22.48,22.94,22.48,22.94,118331.0,22.48,22.94,22.48,22.94,118331.0
2013-12-05,False,daily,22.45,22.48,22.25,22.48,1520.0,22.45,22.48,22.25,22.48,1520.0
2013-12-04,False,daily,22.4,23.0,22.25,22.6,7301.0,22.4,23.0,22.25,22.6,7301.0
2013-12-03,False,daily,22.5,22.5,22.19,22.19,2400.0,22.5,22.5,22.19,22.19,2400.0
2013-12-02,False,daily,22.68,23.01,22.68,23.01,2500.0,22.68,23.01,22.68,23.01,2500.0
2013-11-27,False,daily,22.12,22.9,22.12,22.6,5150.0,22.12,22.9,22.12,22.6,5150.0
2013-11-26,False,daily,21.75,22.0,21.75,22.0,819.0,21.75,22.0,21.75,22.0,819.0
2013-11-25,False,daily,20.92,21.48,20.92,21.48,300.0,20.92,21.48,20.92,21.48,300.0
2013-11-21,False,daily,19.6,20.96,19.6,20.9,2386.0,19.6,20.96,19.6,20.9,2386.0
2013-11-20,False,daily,21.05,21.05,19.64,19.64,997.0,21.05,21.05,19.64,19.64,997.0
2013-11-19,False,daily,20.72,20.72,20.69,20.72,300.0,20.72,20.72,20.69,20.72,300.0
2013-11-18,False,daily,20.75,21.74,20.75,20.8,2300.0,20.75,21.74,20.75,20.8,2300.0
2013-11-15,False,daily,19.61,20.8,19.61,20.73,1800.0,19.61,20.8,19.61,20.73,1800.0
2013-11-14,False,daily,19.0,19.25,19.0,19.23,3094.0,19.0,19.25,19.0,19.23,3094.0
2013-11-13,False,daily,19.5,19.5,19.5,19.5,200.0,19.5,19.5,19.5,19.5,200.0
2013-11-12,False,daily,19.41,19.41,19.41,19.41,159.0,19.41,19.41,19.41,19.41,159.0
2013-11-11,False,daily,20.1,20.52,20.1,20.52,500.0,20.1,20.52,20.1,20.52,500.0
2013-11-08,False,daily,20.118,20.12,18.6,19.69,3025.0,20.118,20.12,18.6,19.69,3025.0
2013-11-07,False,daily,20.5,20.69,20.1,20.1,2764.0,20.5,20.69,20.1,20.1,2764.0
2013-11-06,False,daily,21.0,21.0,20.71,21.0,7385.0,21.0,21.0,20.71,21.0,7385.0
