date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
2008-12-31,False,daily,4.23,4.23,4.23,4.23,600.0,4.23,4.23,4.23,4.23,600.0
2008-12-30,False,daily,4.2,4.2,4.2,4.2,1000.0,4.2,4.2,4.2,4.2,1000.0
2008-12-29,False,daily,4.26,4.26,4.26,4.26,2000.0,4.26,4.26,4.26,4.26,2000.0
2008-12-24,False,daily,3.51,4.12,4.09,4.12,6000.0,3.51,4.12,4.09,4.12,6000.0
2008-12-23,False,daily,3.51,4.32,3.8,4.11,9900.0,3.51,4.32,3.8,4.11,9900.0
2008-12-22,False,daily,4.36,4.36,4.36,4.36,2400.0,4.36,4.36,4.36,4.36,2400.0
2008-12-18,False,daily,4.26,4.26,4.26,4.26,500.0,4.26,4.26,4.26,4.26,500.0
2008-12-17,False,daily,4.69,4.69,4.25,4.25,5340.0,4.69,4.69,4.25,4.25,5340.0
2008-12-16,False,daily,4.06,5.36,4.06,4.97,5240.0,4.06,5.36,4.06,4.97,5240.0
2008-12-15,False,daily,4.11,4.11,3.82,3.82,2500.0,4.11,4.11,3.82,3.82,2500.0
2008-12-12,False,daily,3.58,3.8,3.58,3.8,500.0,3.58,3.8,3.58,3.8,500.0
2008-12-11,False,daily,3.9,3.9,3.9,3.9,5700.0,3.9,3.9,3.9,3.9,5700.0
2008-12-09,False,daily,4.088,4.088,4.088,4.088,1900.0,4.088,4.088,4.088,4.088,1900.0
2008-12-08,False,daily,4.1,4.5,4.0,4.3,12200.0,4.1,4.5,4.0,4.3,12200.0
2008-12-05,False,daily,3.7,4.1,3.7,4.1,8100.0,3.7,4.1,3.7,4.1,8100.0
2008-12-04,False,daily,3.5,3.5,3.5,3.5,2500.0,3.5,3.5,3.5,3.5,2500.0
2008-12-03,False,daily,4.0,4.15,4.0,4.15,6700.0,4.0,4.15,4.0,4.15,6700.0
2008-12-02,False,daily,3.92,3.92,3.92,3.92,1000.0,3.92,3.92,3.92,3.92,1000.0
