company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Advance Auto Parts Inc,AAP,,0001158449,2008.0,FY,2007-12-30,2009-01-03,2011-03-01 17:04:56+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,238038000.0
Advance Auto Parts Inc,AAP,,0001158449,2008.0,FY,2007-12-30,2009-01-03,2011-03-01 17:04:56+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,238038000.0
Advance Auto Parts Inc,AAP,,0001158449,2008.0,FY,2007-12-30,2009-01-03,2011-03-01 17:04:56+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,146580000.0
Advance Auto Parts Inc,AAP,,0001158449,2008.0,FY,2007-12-30,2009-01-03,2011-03-01 17:04:56+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,48736000.0
Advance Auto Parts Inc,AAP,,0001158449,2008.0,FY,2007-12-30,2009-01-03,2011-03-01 17:04:56+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,45385000.0
Advance Auto Parts Inc,AAP,,0001158449,2008.0,FY,2007-12-30,2009-01-03,2011-03-01 17:04:56+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,478739000.0
Advance Auto Parts Inc,AAP,,0001158449,2008.0,FY,2007-12-30,2009-01-03,2011-03-01 17:04:56+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,478739000.0
Advance Auto Parts Inc,AAP,,0001158449,2008.0,FY,2007-12-30,2009-01-03,2011-03-01 17:04:56+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-184986000.0
Advance Auto Parts Inc,AAP,,0001158449,2008.0,FY,2007-12-30,2009-01-03,2011-03-01 17:04:56+00:00,netcashfromcontinuinginvestingactivities,saleofplantpropertyandequipment,"Sale of Property, Plant & Equipment",+,debit,usd,6790000.0
Advance Auto Parts Inc,AAP,,0001158449,2008.0,FY,2007-12-30,2009-01-03,2011-03-01 17:04:56+00:00,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-3413000.0
