company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,customerdeposits,goodwill,intangibleassets,longtermdebt,longterminvestments,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2008.0,FY,,2008-12-31,2010-02-26 15:59:07+00:00,554300000.0,-1881300000.0,1179500000.0,,351200000.0,466400000.0,,,749600000.0,5085600000.0,667400000.0,3638300000.0,16163400000.0,467500000.0,,778700000.0,,1818600000.0,6589500000.0,7771500000.0,16473000000.0,9716500000.0,215700000.0,899600000.0,35852500000.0,8186400000.0,4918400000.0,7554800000.0,8186400000.0,8186400000.0,27666100000.0,35852500000.0,30466600000.0,20111300000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2009.0,FY,,2009-12-31,2011-02-25 16:45:01+00:00,626700000.0,-1223000000.0,1203600000.0,,470100000.0,529000000.0,,,210000000.0,5146200000.0,590700000.0,3639500000.0,17051100000.0,551000000.0,,277300000.0,,1391800000.0,7669100000.0,8051100000.0,17047200000.0,10256700000.0,480800000.0,3131900000.0,38550400000.0,9503800000.0,6883000000.0,8359900000.0,9503800000.0,9503800000.0,29046600000.0,38550400000.0,31116400000.0,20686700000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2009.0,Q3,,2009-09-30,2009-10-29 16:05:31+00:00,679200000.0,-1118600000.0,1830100000.0,,456800000.0,561000000.0,,,468200000.0,5089400000.0,594500000.0,3639200000.0,16844100000.0,532600000.0,,150200000.0,,1701600000.0,7847200000.0,7823800000.0,16530600000.0,10201800000.0,109800000.0,2328500000.0,38135000000.0,9540000000.0,7100400000.0,8425200000.0,9540000000.0,9540000000.0,28595000000.0,38135000000.0,30502000000.0,20169800000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2010.0,FY,,2010-12-31,2012-02-24 16:02:47+00:00,692600000.0,-1162600000.0,1867600000.0,0.0,651500000.0,537100000.0,,,210800000.0,5146400000.0,495500000.0,3482600000.0,17546300000.0,529300000.0,,29900000.0,0.0,1523800000.0,7626200000.0,6997800000.0,15629100000.0,10401900000.0,899900000.0,2373100000.0,37739400000.0,9890800000.0,6994200000.0,8736900000.0,9890800000.0,9890800000.0,27848600000.0,37739400000.0,30215900000.0,19111700000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2010.0,Q3,,2010-09-30,2010-11-03 16:05:02+00:00,902700000.0,-1361600000.0,1795500000.0,,573500000.0,356100000.0,,,308500000.0,5145700000.0,518700000.0,3482300000.0,18429500000.0,539800000.0,,251200000.0,,1633100000.0,7562700000.0,7191300000.0,16665400000.0,10784700000.0,1135100000.0,2387000000.0,39150600000.0,9996600000.0,7074400000.0,9006300000.0,9996600000.0,9996600000.0,29154000000.0,39150600000.0,31536400000.0,20147700000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2010.0,Q2,,2010-06-30,2010-07-28 16:12:59+00:00,714300000.0,-1025600000.0,1406000000.0,,542400000.0,293200000.0,,,430800000.0,5145700000.0,542100000.0,2740500000.0,18067200000.0,550900000.0,,321800000.0,,1907500000.0,7788400000.0,6806100000.0,15692100000.0,10829500000.0,1349700000.0,2593000000.0,38347800000.0,10346300000.0,6914000000.0,9568900000.0,10346300000.0,10346300000.0,28001500000.0,38347800000.0,30882900000.0,18432600000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2010.0,Q1,,2010-03-31,2010-04-29 16:06:13+00:00,634000000.0,-1142700000.0,1570400000.0,,499200000.0,284700000.0,117300000.0,,422400000.0,5145700000.0,566300000.0,3190100000.0,17809500000.0,556300000.0,,350500000.0,,1869400000.0,8375400000.0,7118100000.0,16014400000.0,10567400000.0,929300000.0,3067900000.0,38972800000.0,9923900000.0,7426400000.0,9844400000.0,9923900000.0,9923900000.0,29048900000.0,38972800000.0,30990100000.0,19204500000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2011.0,FY,,2011-12-31,2013-02-19 16:15:43+00:00,701500000.0,-1189200000.0,679700000.0,0.0,962800000.0,549100000.0,,,0.0,6203900000.0,958600000.0,3977700000.0,18083200000.0,556900000.0,,,208800000.0,1552100000.0,8096300000.0,6900500000.0,15764200000.0,10346600000.0,425900000.0,2407600000.0,38593100000.0,10120200000.0,5890000000.0,8522200000.0,10120200000.0,10120200000.0,28472900000.0,38593100000.0,32146200000.0,19950700000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2011.0,Q3,,2011-09-30,2011-10-27 16:04:14+00:00,766600000.0,-1001400000.0,1957800000.0,,909600000.0,428000000.0,,,0.0,6010300000.0,779800000.0,3977100000.0,17663800000.0,533000000.0,,0.0,224300000.0,1494400000.0,8205200000.0,6821400000.0,15309000000.0,10620500000.0,449900000.0,2239100000.0,38694200000.0,10528700000.0,6885900000.0,8655100000.0,10528700000.0,10528700000.0,28165500000.0,38694200000.0,31275300000.0,19510400000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2011.0,Q2,,2011-06-30,2011-07-27 16:13:40+00:00,811800000.0,-1093500000.0,910500000.0,,841000000.0,428700000.0,,,38100000.0,5983000000.0,802300000.0,3976500000.0,17968900000.0,535400000.0,,0.0,155300000.0,1642800000.0,7735400000.0,6852900000.0,15339500000.0,10676000000.0,549900000.0,2281900000.0,38218200000.0,10423500000.0,6075700000.0,8323400000.0,10423500000.0,10423500000.0,27794700000.0,38218200000.0,31607100000.0,19471300000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2011.0,Q1,,2011-03-31,2011-04-28 16:02:36+00:00,841900000.0,-1187200000.0,1444400000.0,,709800000.0,279000000.0,111600000.0,,71900000.0,5541700000.0,608900000.0,3483000000.0,17563200000.0,521200000.0,,91400000.0,,1575700000.0,7789500000.0,7048300000.0,15607100000.0,10680600000.0,535000000.0,2285600000.0,37801300000.0,10203200000.0,6426600000.0,8508000000.0,10203200000.0,10203200000.0,27598100000.0,37801300000.0,30853500000.0,19090100000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2012.0,FY,,2012-12-31,2014-02-28 16:17:42+00:00,808000000.0,-1033400000.0,2579200000.0,0.0,1095300000.0,566400000.0,,,47100000.0,6214400000.0,818700000.0,6481300000.0,19698200000.0,540000000.0,23400000.0,,473500000.0,1874600000.0,8400900000.0,5978800000.0,15662500000.0,10343900000.0,0.0,2416200000.0,41494500000.0,10405800000.0,8244400000.0,8448000000.0,10405800000.0,10429200000.0,31065300000.0,41494500000.0,32710100000.0,22617300000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2012.0,Q3,,2012-09-30,2012-10-25 16:16:00+00:00,930500000.0,-888900000.0,638200000.0,,1073500000.0,103600000.0,11500000.0,,,6211900000.0,851200000.0,4615600000.0,18817100000.0,538700000.0,,,215700000.0,1831300000.0,8195000000.0,7183500000.0,15833800000.0,10712200000.0,70000000.0,2732400000.0,39838400000.0,10896800000.0,6236000000.0,8276500000.0,10896800000.0,10896800000.0,28941600000.0,39838400000.0,33063700000.0,20665100000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2012.0,Q2,,2012-06-30,2012-07-31 16:17:20+00:00,759100000.0,-1054900000.0,922100000.0,,1039800000.0,450300000.0,,,,6202200000.0,885300000.0,4706300000.0,18331000000.0,542200000.0,,,341000000.0,1808000000.0,8435100000.0,7017300000.0,15714500000.0,10270900000.0,0.0,2535200000.0,39452700000.0,10255800000.0,6474700000.0,8435100000.0,10255800000.0,10255800000.0,29196900000.0,39452700000.0,32435800000.0,20761800000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2012.0,Q1,,2012-03-31,2012-04-26 16:28:11+00:00,696300000.0,-1147700000.0,809100000.0,,994100000.0,396500000.0,79100000.0,,,6201900000.0,922300000.0,3978300000.0,18279700000.0,550800000.0,,,241000000.0,1722500000.0,8738800000.0,7037700000.0,15849900000.0,10452600000.0,150000000.0,2719300000.0,39336100000.0,10299000000.0,6343700000.0,8967900000.0,10299000000.0,10299000000.0,29037100000.0,39336100000.0,32441600000.0,20069200000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2013.0,FY,,2013-12-31,2015-02-27 16:13:42+00:00,1780800000.0,-912100000.0,1412300000.0,0.0,4382200000.0,590700000.0,,,,10227500000.0,2094100000.0,7865300000.0,20935000000.0,721900000.0,52700000.0,,864200000.0,3553200000.0,12085700000.0,6174400000.0,14484100000.0,10555400000.0,387300000.0,2274900000.0,49764800000.0,14025500000.0,9611900000.0,12473000000.0,14025500000.0,14078200000.0,35686600000.0,49764800000.0,39431000000.0,23213600000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2013.0,Q3,,2013-09-30,2013-10-29 16:21:36+00:00,2001700000.0,-1456100000.0,2082400000.0,,4356400000.0,565900000.0,,,,10205700000.0,2159200000.0,7874100000.0,20498600000.0,715600000.0,,,550400000.0,3141200000.0,11853700000.0,5641900000.0,14913000000.0,10717900000.0,392200000.0,2240700000.0,49252900000.0,13618200000.0,10031900000.0,12245900000.0,13618200000.0,13669500000.0,35583400000.0,49252900000.0,38505400000.0,23337500000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2013.0,Q2,,2013-06-30,2013-07-30 16:18:51+00:00,1774400000.0,-1475000000.0,2256800000.0,,4319600000.0,598000000.0,,,,10216300000.0,2224500000.0,8280100000.0,20010400000.0,688700000.0,50900000.0,,505200000.0,3602500000.0,11648400000.0,5851000000.0,15249600000.0,10605700000.0,545800000.0,2507700000.0,49730300000.0,13450300000.0,10739400000.0,12194200000.0,13450300000.0,13501200000.0,36229100000.0,49730300000.0,38302200000.0,24034900000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2013.0,Q1,,2013-03-31,2013-04-30 16:22:57+00:00,968200000.0,-1113900000.0,3227900000.0,,1210100000.0,351600000.0,100200000.0,,,6209200000.0,786300000.0,6483800000.0,19614100000.0,538500000.0,45900000.0,,294600000.0,2626800000.0,9269000000.0,5976400000.0,15542900000.0,10584700000.0,99900000.0,2218200000.0,42517200000.0,10680900000.0,9392700000.0,9469100000.0,10680900000.0,10726800000.0,31790400000.0,42517200000.0,32586000000.0,22321300000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2014.0,FY,,2014-12-31,2015-10-29 16:22:16+00:00,2065900000.0,-1111300000.0,1420400000.0,0.0,4542200000.0,815700000.0,0.0,,1028600000.0,10613200000.0,1948300000.0,7852000000.0,22193900000.0,669800000.0,69200000.0,,867500000.0,4642900000.0,13598600000.0,6212900000.0,14774300000.0,11051700000.0,729300000.0,2819100000.0,53402100000.0,14482600000.0,11764000000.0,15356500000.0,14482600000.0,14551800000.0,38850300000.0,53402100000.0,40968300000.0,23493800000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2014.0,Q3,,2014-09-30,2014-10-28 16:03:48+00:00,1987400000.0,-730300000.0,1707100000.0,,4501400000.0,530900000.0,,,870300000.0,10295200000.0,1934100000.0,7606300000.0,21871500000.0,668900000.0,61200000.0,,1033300000.0,4559800000.0,13455200000.0,6791000000.0,14771000000.0,11150100000.0,307100000.0,2679700000.0,53025600000.0,14921200000.0,11464900000.0,14632600000.0,14921200000.0,14982400000.0,38043200000.0,53025600000.0,40891800000.0,23410600000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2014.0,Q2,,2014-06-30,2014-07-29 16:18:55+00:00,1665200000.0,-656100000.0,1760100000.0,,4462500000.0,424800000.0,96500000.0,,856100000.0,10294800000.0,1993600000.0,7612400000.0,21860100000.0,680200000.0,57000000.0,,1045200000.0,5285000000.0,13367700000.0,6684900000.0,14817600000.0,10889400000.0,612400000.0,2512000000.0,53160700000.0,14695800000.0,11647100000.0,14932700000.0,14695800000.0,14752800000.0,38407900000.0,53160700000.0,40833400000.0,23475200000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2014.0,Q1,,2014-03-31,2014-04-24 16:16:54+00:00,1809000000.0,-786400000.0,2074100000.0,,4414500000.0,449800000.0,286600000.0,,877000000.0,10227500000.0,2031900000.0,7618400000.0,21290400000.0,704100000.0,57400000.0,,940900000.0,4659500000.0,12797400000.0,6450300000.0,14617500000.0,10675500000.0,620200000.0,2422400000.0,52119000000.0,14303600000.0,11414800000.0,14581200000.0,14303600000.0,14361000000.0,37758000000.0,52119000000.0,40000100000.0,23176800000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2015.0,FY,,2015-12-31,2016-10-27 16:26:31+00:00,2443200000.0,-1330300000.0,2524300000.0,0.0,4647200000.0,260400000.0,0.0,,,10636800000.0,1688300000.0,7785400000.0,21664800000.0,629700000.0,64300000.0,,177400000.0,4262600000.0,15481500000.0,6028900000.0,13758600000.0,12797400000.0,0.0,3242500000.0,53381500000.0,16114300000.0,12733000000.0,15481500000.0,16114300000.0,16178600000.0,37202900000.0,53381500000.0,40018800000.0,21721400000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2015.0,Q3,,2015-09-30,2015-10-29 16:22:16+00:00,2705300000.0,-1315500000.0,1796500000.0,,4620500000.0,525000000.0,25000000.0,,4200000.0,10636800000.0,1751600000.0,7834000000.0,22067900000.0,629300000.0,63700000.0,,670200000.0,4250800000.0,15122900000.0,6045500000.0,13889600000.0,12563800000.0,0.0,3069700000.0,53478400000.0,15868800000.0,12347300000.0,15152100000.0,15868800000.0,15932500000.0,37545900000.0,53478400000.0,40501800000.0,22393800000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2015.0,Q2,,2015-06-30,2015-08-04 16:20:16+00:00,2745200000.0,-1273100000.0,1125800000.0,,4589100000.0,548400000.0,,,543700000.0,10641300000.0,1816700000.0,7840100000.0,22180100000.0,653200000.0,61200000.0,,704900000.0,5790400000.0,15257800000.0,6367700000.0,14826800000.0,12090600000.0,0.0,2772300000.0,54641100000.0,15406600000.0,12982100000.0,15801500000.0,15406600000.0,15467800000.0,39173300000.0,54641100000.0,41005800000.0,23371800000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2015.0,Q1,,2015-03-31,2015-04-28 16:05:41+00:00,2244000000.0,-1033100000.0,1915800000.0,,4539700000.0,493100000.0,322300000.0,,864000000.0,10641500000.0,1880400000.0,7846100000.0,22587600000.0,662600000.0,66300000.0,,914000000.0,6139900000.0,15184600000.0,6392000000.0,15008500000.0,11546000000.0,297000000.0,2598500000.0,55555400000.0,15052600000.0,13391300000.0,16667900000.0,15052600000.0,15118900000.0,40436500000.0,55555400000.0,41501500000.0,23768600000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2016.0,FY,,2016-12-31,2018-02-23 16:27:41+00:00,2224000000.0,-1552000000.0,17996000000.0,0.0,4716000000.0,44000000.0,,645000000.0,,10637000000.0,1442000000.0,19027000000.0,21833000000.0,587000000.0,62000000.0,0.0,4000000.0,4907000000.0,16415000000.0,6198000000.0,13478000000.0,14717000000.0,1634000000.0,3278000000.0,69146000000.0,17881000000.0,28449000000.0,18694000000.0,17881000000.0,17943000000.0,51203000000.0,69146000000.0,40110000000.0,32509000000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2016.0,Q3,,2016-09-30,2016-10-27 16:26:31+00:00,2942600000.0,-1081600000.0,19066200000.0,,4699300000.0,0.0,242500000.0,,,10636800000.0,1502300000.0,20022100000.0,22756100000.0,597000000.0,60800000.0,,243100000.0,4720700000.0,18452900000.0,6447000000.0,13937400000.0,14666000000.0,640100000.0,3213900000.0,71882600000.0,18283700000.0,29943400000.0,19335500000.0,18283700000.0,18344500000.0,53538100000.0,71882600000.0,41342200000.0,34202600000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2016.0,Q2,,2016-06-30,2016-08-02 16:19:36+00:00,2799200000.0,-1092400000.0,17119400000.0,,4653200000.0,0.0,163200000.0,,,10636800000.0,1563700000.0,20019100000.0,22423000000.0,605000000.0,67100000.0,,341300000.0,5995600000.0,17466800000.0,6248200000.0,14190000000.0,14149800000.0,643900000.0,3211100000.0,70602000000.0,17710600000.0,29125300000.0,18273900000.0,17710600000.0,17777700000.0,52824300000.0,70602000000.0,40871700000.0,34550400000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2016.0,Q1,,2016-03-31,2016-04-28 16:17:05+00:00,2673700000.0,-1254900000.0,3766400000.0,,4632000000.0,0.0,274900000.0,,,10636800000.0,1626400000.0,7382500000.0,22112200000.0,616100000.0,65200000.0,,234000000.0,5598100000.0,17241900000.0,6038600000.0,14013300000.0,13436400000.0,398400000.0,3355400000.0,56423700000.0,16813500000.0,15393600000.0,17915200000.0,16813500000.0,16878700000.0,39545000000.0,56423700000.0,40414000000.0,21629800000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2017.0,FY,,2017-12-31,2018-10-30 06:53:16+00:00,2831000000.0,-1244000000.0,4076000000.0,0.0,4706000000.0,365000000.0,0.0,,,10571000000.0,1180000000.0,8160000000.0,17793000000.0,586000000.0,257000000.0,195000000.0,,5971000000.0,15838000000.0,9303000000.0,14317000000.0,12118000000.0,999000000.0,2280000000.0,55151000000.0,15580000000.0,15523000000.0,16837000000.0,15580000000.0,15837000000.0,39314000000.0,55151000000.0,39042000000.0,22477000000.0
Aetna Inc,AET,549300QKBENKLBXQ8968,1122304,2017.0,Q3,,2017-09-30,2017-10-31 16:27:20+00:00,2388000000.0,-1161000000.0,5928000000.0,,4707000000.0,0.0,79000000.0,,,10683000000.0,1273000000.0,8161000000.0,21507000000.0,581000000.0,235000000.0,,72000000.0,5021000000.0,17570000000.0,6905000000.0,13685000000.0,12037000000.0,1998000000.0,3097000000.0,57383000000.0,15583000000.0,16434000000.0,19647000000.0,15583000000.0,15818000000.0,41565000000.0,57383000000.0,40368000000.0,21918000000.0
