company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Alamo Group Inc,ALG,54930080C93RVZRSDV26,0000897077,2010.0,Q3,2010-07-01,2010-09-30,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,8150000.0
Alamo Group Inc,ALG,54930080C93RVZRSDV26,0000897077,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,8150000.0
Alamo Group Inc,ALG,54930080C93RVZRSDV26,0000897077,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,2645000.0
Alamo Group Inc,ALG,54930080C93RVZRSDV26,0000897077,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,177000.0
Alamo Group Inc,ALG,54930080C93RVZRSDV26,0000897077,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,-589000.0
Alamo Group Inc,ALG,54930080C93RVZRSDV26,0000897077,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,14913000.0
Alamo Group Inc,ALG,54930080C93RVZRSDV26,0000897077,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,25296000.0
Alamo Group Inc,ALG,54930080C93RVZRSDV26,0000897077,2010.0,Q3,2010-07-01,2010-09-30,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,25296000.0
Alamo Group Inc,ALG,54930080C93RVZRSDV26,0000897077,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-1396000.0
Alamo Group Inc,ALG,54930080C93RVZRSDV26,0000897077,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuinginvestingactivities,acquisitions,Acquisitions,+,debit,usd,-2000.0
