company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,20283000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netincomecontinuing,netincomediscontinued,Net Income / (Loss) Discontinued Operations,-,credit,usd,413000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,19870000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,79870000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,2908000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,3930000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-42895000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,63683000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromoperatingactivities,netcashfromdiscontinuedoperatingactivities,Net Cash From Discontinued Operating Activities,+,debit,usd,1353000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,65036000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-25712000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuinginvestingactivities,acquisitions,Acquisitions,+,debit,usd,-297669000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuinginvestingactivities,saleofplantpropertyandequipment,"Sale of Property, Plant & Equipment",+,debit,usd,52000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,548000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-322781000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfrominvestingactivities,netcashfromdiscontinuedinvestingactivities,Net Cash From Discontinued Investing Activities,+,debit,usd,-160000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-322941000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,131935000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingfinancingactivities,issuanceofdebt,Issuance of Debt,+,debit,usd,243716000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,6967000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, net",+,debit,usd,97000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,382715000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromfinancingactivities,netcashfromdiscontinuedfinancingactivities,Net Cash From Discontinued Financing Activities,+,debit,usd,-2000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,382713000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,netchangeincash,effectofexchangeratechanges,Effect of Exchange Rate Changes,+,debit,usd,7045000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,131853000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,,cashinterestpaid,Cash Interest Paid,=,,usd,-33937000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q3,2009-07-01,2009-09-30,,,cashincometaxespaid,Cash Income Taxes Paid,=,,usd,-15387000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,2787000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netincomecontinuing,netincomediscontinued,Net Income / (Loss) Discontinued Operations,-,credit,usd,3034000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-247000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,88027000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,3962000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,13066000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-56073000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,48735000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromoperatingactivities,netcashfromdiscontinuedoperatingactivities,Net Cash From Discontinued Operating Activities,+,debit,usd,-6503000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,42232000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-48811000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuinginvestingactivities,acquisitions,Acquisitions,+,debit,usd,-71060000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuinginvestingactivities,saleofplantpropertyandequipment,"Sale of Property, Plant & Equipment",+,debit,usd,131000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,557000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,418000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-118765000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfrominvestingactivities,netcashfromdiscontinuedinvestingactivities,Net Cash From Discontinued Investing Activities,+,debit,usd,34000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-118731000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,-8878000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingfinancingactivities,issuanceofdebt,Issuance of Debt,+,debit,usd,1000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,14476000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, net",+,debit,usd,7117000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,12716000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netcashfromfinancingactivities,netcashfromdiscontinuedfinancingactivities,Net Cash From Discontinued Financing Activities,+,debit,usd,-4000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,12712000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,netchangeincash,effectofexchangeratechanges,Effect of Exchange Rate Changes,+,debit,usd,689000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2009.0,Q4,2009-10-01,2009-12-31,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,-63098000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2010.0,Q1,2010-01-01,2010-03-31,2011-05-09 17:25:22+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,14159000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2010.0,Q1,2010-01-01,2010-03-31,2011-05-09 17:25:22+00:00,netincomecontinuing,netincomediscontinued,Net Income / (Loss) Discontinued Operations,-,credit,usd,11946000.0
Alere Inc,ALR,549300UPPBCBLLLBJG98,0001145460,2010.0,Q1,2010-01-01,2010-03-31,2011-05-09 17:25:22+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,2213000.0
