company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalassets,cashandequivalents,Cash and Due from Banks,+,debit,usd,323637000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalassets,restrictedcash,Restricted Cash,+,debit,usd,50774000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalassets,netpremisesandequipment,"Premises and Equipment, Net",+,debit,usd,3087799000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalassets,goodwill,Goodwill,+,debit,usd,2232783000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalassets,intangibleassets,Intangible Assets,+,debit,usd,1547944000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalassets,otherassets,Other Assets,+,debit,usd,1243550000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,,totalassets,Total Assets,=,debit,usd,8486487000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,22577000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalliabilities,accruedinterestpayable,Accrued Interest Payable,+,credit,usd,26813000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalliabilities,othershorttermpayables,Other Short-Term Payables,+,credit,usd,298630000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalliabilities,longtermdebt,Long-Term Debt,+,credit,usd,4421694000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalliabilities,otherlongtermliabilities,Other Long-Term Liabilities,+,credit,usd,625738000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,5395452000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalliabilitiesandequity,commitmentsandcontingencies,Commitments & Contingencies,+,credit,usd,0.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalequity,totalpreferredequity,Preferred Stock,+,credit,usd,0.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,8164610000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,-2241237000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalcommonequity,treasurystock,Treasury Stock,+,credit,usd,-2816060000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,-19532000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,3087781000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalequityandnoncontrollinginterests,totalequity,Total Preferred & Common Equity,+,credit,usd,3087781000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalequityandnoncontrollinginterests,noncontrollinginterests,Noncontrolling Interest,+,credit,usd,3254000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,totalliabilitiesandequity,totalequityandnoncontrollinginterests,Total Equity & Noncontrolling Interests,+,credit,usd,3091035000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q2,,2009-06-30,2009-08-06 16:06:27+00:00,,totalliabilitiesandequity,Total Liabilities & Shareholders' Equity,=,credit,usd,8486487000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalassets,cashandequivalents,Cash and Due from Banks,+,debit,usd,229674000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalassets,restrictedcash,Restricted Cash,+,debit,usd,50795000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalassets,netpremisesandequipment,"Premises and Equipment, Net",+,debit,usd,3128120000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalassets,goodwill,Goodwill,+,debit,usd,2239420000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalassets,intangibleassets,Intangible Assets,+,debit,usd,1532400000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalassets,otherassets,Other Assets,+,debit,usd,1214415000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,,totalassets,Total Assets,=,debit,usd,8394824000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,7717000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalliabilities,accruedinterestpayable,Accrued Interest Payable,+,credit,usd,47270000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalliabilities,othershorttermpayables,Other Short-Term Payables,+,credit,usd,286014000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalliabilities,longtermdebt,Long-Term Debt,+,credit,usd,4179038000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalliabilities,otherlongtermliabilities,Other Long-Term Liabilities,+,credit,usd,639634000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,5159673000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalequity,totalpreferredequity,Preferred Stock,+,credit,usd,0.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,8357729000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,-2173882000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalcommonequity,treasurystock,Treasury Stock,+,credit,usd,-2933612000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,-18420000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,3231815000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalequityandnoncontrollinginterests,totalequity,Total Preferred & Common Equity,+,credit,usd,3231815000.0
American Tower Corp,AMT,5493006ORUSIL88JOE18,0001053507,2009.0,Q3,,2009-09-30,2009-11-05 16:54:05+00:00,totalequityandnoncontrollinginterests,noncontrollinginterests,Noncontrolling Interest,+,credit,usd,3336000.0
