company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Alpha Natural Resources Inc ,ANR,,1301063,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 14:37:13+00:00,0.0,0.43,0.43,153987000.0,0.43,,9965000.0,27555000.0,32873000.0,-5318000.0,27734000.0,-179000.0,1489926000.0,1763751000.0,,,-93000.0,22725000.0,42403000.0,,,58485000.0,1489926000.0,316228000.0,40366000.0,2266000.0,235197000.0,81031000.0,-38193000.0,42838000.0,1806154000.0,64500000.0,64500000.0,64500000.0
Alpha Natural Resources Inc ,ANR,,1301063,2008.0,FY,2008-01-01,2008-12-31,2010-03-01 14:37:13+00:00,0.0,2.42,2.42,164969000.0,2.36,,52242000.0,330912000.0,198599000.0,-52664000.0,331402000.0,-490000.0,1907813000.0,2420220000.0,184977000.0,,52481000.0,78525000.0,48533000.0,,,71923000.0,1907813000.0,560940000.0,54514000.0,7351000.0,315417000.0,245523000.0,5318000.0,250841000.0,2468753000.0,136900000.0,136900000.0,140400000.0
Alpha Natural Resources Inc ,ANR,,1301063,2008.0,Q3,2008-07-01,2008-09-30,2009-11-09 21:11:57+00:00,0.0,0.97,0.97,40155000.0,0.93,,9066000.0,67431000.0,66107000.0,1324000.0,67431000.0,,441092000.0,677186000.0,,,,104498000.0,11218000.0,,,20936000.0,441092000.0,247312000.0,9756000.0,3206000.0,165589000.0,81723000.0,-6550000.0,75173000.0,688404000.0,69500000.0,69500000.0,72500000.0
Alpha Natural Resources Inc ,ANR,,1301063,2009.0,Q4,2009-10-01,2009-12-31,,69625000.0,0.02,0.02,97592000.0,0.02,,-5801000.0,79186000.0,23482000.0,-11103000.0,79186000.0,,719697000.0,848243000.0,66807000.0,,3186000.0,-76132000.0,45045000.0,,,47497000.0,719697000.0,173591000.0,19971000.0,-543000.0,138582000.0,35009000.0,-17328000.0,17681000.0,893288000.0,181300000.0,181300000.0,184100000.0
Alpha Natural Resources Inc ,ANR,,1301063,2009.0,FY,2009-01-01,2009-12-31,2010-03-01 14:37:13+00:00,127608000.0,0.64,0.64,252395000.0,0.63,,-33023000.0,116010000.0,66807000.0,-17604000.0,116010000.0,0.0,1806779000.0,2400503000.0,66807000.0,,3186000.0,21016000.0,95004000.0,,,170414000.0,1806779000.0,688728000.0,88466000.0,1769000.0,571433000.0,117295000.0,-83511000.0,33784000.0,2495507000.0,181300000.0,181300000.0,184100000.0
Alpha Natural Resources Inc ,ANR,,1301063,2009.0,Q3YTD,2009-01-01,2009-09-30,,57983000.0,0.62,0.62,154803000.0,0.61,,-27222000.0,36824000.0,43325000.0,-6501000.0,36824000.0,,1087082000.0,1552260000.0,,,,97148000.0,49959000.0,,,122917000.0,1087082000.0,515137000.0,68495000.0,2312000.0,432851000.0,82286000.0,-66183000.0,16103000.0,1602219000.0,102600000.0,102600000.0,102600000.0
Alpha Natural Resources Inc ,ANR,,1301063,2009.0,Q3,2009-07-01,2009-09-30,2009-11-09 21:11:57+00:00,57983000.0,-0.19,-0.19,78246000.0,-0.19,,-46172000.0,-19499000.0,-19974000.0,475000.0,-19499000.0,,517043000.0,709988000.0,,,,11251000.0,19258000.0,,,83544000.0,517043000.0,212203000.0,48476000.0,1151000.0,231024000.0,-18821000.0,-47325000.0,-66146000.0,729246000.0,102600000.0,102600000.0,102600000.0
Alpha Natural Resources Inc ,ANR,,1301063,2009.0,Q2YTD,2009-01-01,2009-06-30,,,0.81,0.81,76557000.0,0.8,,18950000.0,56323000.0,63299000.0,-6976000.0,56323000.0,,570039000.0,842272000.0,,,,85897000.0,30701000.0,,,39373000.0,570039000.0,302934000.0,20019000.0,1161000.0,201827000.0,101107000.0,-18858000.0,82249000.0,872973000.0,69800000.0,69920621.0,70894017.0
Alpha Natural Resources Inc ,ANR,,1301063,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 11:43:10+00:00,0.0,0.22,0.22,36352000.0,0.22,,5323000.0,15359000.0,16678000.0,-1319000.0,15359000.0,,267014000.0,370415000.0,,,,28994000.0,16599000.0,,,22907000.0,267014000.0,120000000.0,10166000.0,420000.0,88253000.0,31747000.0,-9746000.0,22001000.0,387014000.0,69800000.0,69920621.0,70894017.0
Alpha Natural Resources Inc ,ANR,,1301063,2009.0,Q1,2009-01-01,2009-03-31,2010-05-07 14:00:57+00:00,0.0,0.59,0.59,40205000.0,0.58,,13627000.0,40964000.0,46621000.0,-5657000.0,40964000.0,,303025000.0,471857000.0,,,,56903000.0,14102000.0,,,16466000.0,303025000.0,182934000.0,9853000.0,741000.0,113574000.0,69360000.0,-9112000.0,60248000.0,485959000.0,69400000.0,69884930.0,70696455.0
