company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,363712000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,363712000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,82348000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,-11247000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-46914000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,387899000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,387899000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-103772000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuinginvestingactivities,acquisitions,Acquisitions,+,debit,usd,-138163000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-1360000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuinginvestingactivities,saleofplantpropertyandequipment,"Sale of Property, Plant & Equipment",+,debit,usd,5354000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-237941000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-237941000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuingfinancingactivities,repurchaseofcommonequity,Repurchase of Common Equity,+,debit,usd,-93594000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuingfinancingactivities,paymentofdividends,Payment of Dividends,+,debit,usd,-51847000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuingfinancingactivities,issuanceofdebt,Issuance of Debt,+,debit,usd,41622000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, net",+,debit,usd,58241000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,-45578000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,-45578000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,netchangeincash,effectofexchangeratechanges,Effect of Exchange Rate Changes,+,debit,usd,5126000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,109506000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,,cashinterestpaid,Cash Interest Paid,=,,usd,36238000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:23:08+00:00,,cashincometaxespaid,Cash Income Taxes Paid,=,,usd,100772000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2008.0,Q4,2008-10-01,2008-12-31,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,101544000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2008.0,Q4,2008-10-01,2008-12-31,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,101544000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2008.0,Q4,2008-10-01,2008-12-31,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,22283000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2008.0,Q4,2008-10-01,2008-12-31,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,-16768000.0
Amphenol Corp,APH,549300D3L3G0R4U4VT04,0000820313,2008.0,Q4,2008-10-01,2008-12-31,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,63780000.0
