company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,48040000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,48040000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,19992000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,-3069000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,-2940000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,39582000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,101605000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,101605000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-17872000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-18558000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuinginvestingactivities,divestitures,Divestitures,+,debit,usd,46000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,61245000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-165000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,24696000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,24696000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,-121704000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,13889000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, net",+,debit,usd,-7503000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,-115318000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,-115318000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,10983000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,,cashinterestpaid,Cash Interest Paid,=,,usd,-2135000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q3,2010-01-24,2010-04-24,,,cashincometaxespaid,Cash Income Taxes Paid,=,,usd,-32836000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q4,2010-04-25,2010-07-31,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,42000000.0
Ascena Retail Group Inc,ASNA,,0001498301,2010.0,Q4,2010-04-25,2010-07-31,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,42000000.0
