company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 12:03:23+00:00,,4934000.0,98594000.0,181725000.0,54149000.0,46965000.0,621029000.0,573626000.0,366360000.0,-809247000.0,454874000.0,366360000.0,-809247000.0,454874000.0,11987000.0,359745000.0,359745000.0,-138495000.0,-13864000.0,32348000.0,-269246000.0,-1142982000.0,-13851000.0,-287256000.0,-257929000.0,0.0,261089000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2008.0,Q4,2008-10-01,2008-12-31,,22298000.0,701000.0,20506000.0,50955000.0,126611000.0,16087000.0,600000.0,34249000.0,-58442000.0,-74744000.0,119102000.0,-58442000.0,-74744000.0,119102000.0,-14084000.0,1866000.0,1866000.0,49493000.0,-3501000.0,2501000.0,-69428000.0,-257176000.0,-9579000.0,79638000.0,,-100000000.0,40601000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 17:09:35+00:00,,5892000.0,110290000.0,199452000.0,126611000.0,-13372000.0,7433000.0,1027046000.0,-75111000.0,-266309000.0,386084000.0,-75111000.0,-266309000.0,386084000.0,44664000.0,410746000.0,410746000.0,-216634000.0,-11428000.0,-27018000.0,-279011000.0,-886793000.0,-15534000.0,-676992000.0,-42159000.0,-100000000.0,536425000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 18:04:06+00:00,-22298000.0,5191000.0,89784000.0,148497000.0,,-29459000.0,6833000.0,992797000.0,-16669000.0,-191565000.0,266982000.0,-16669000.0,-191565000.0,266982000.0,58748000.0,408880000.0,408880000.0,-266127000.0,-7927000.0,-29519000.0,-209583000.0,-629617000.0,-5955000.0,-756630000.0,-42159000.0,,495824000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 12:18:18+00:00,,8139000.0,168651000.0,218286000.0,77754000.0,9788000.0,108860000.0,1241140000.0,-4285000.0,-333559000.0,376581000.0,-4285000.0,-333559000.0,376581000.0,38737000.0,154274000.0,154274000.0,-13906000.0,-12725000.0,,-283767000.0,-589616000.0,-11114000.0,-1057793000.0,,,189417000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q4,2009-10-01,2009-12-31,,,2717000.0,269710000.0,56593000.0,11262000.0,1362000.0,6418000.0,628000.0,-549642000.0,-3881000.0,103603000.0,-549642000.0,-3881000.0,103603000.0,-449920000.0,32350000.0,32350000.0,10581000.0,-888000.0,14742000.0,-72459000.0,-144025000.0,-7002000.0,-483341000.0,,,121142000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q3TTM,2008-10-01,2009-09-30,,22298000.0,6123000.0,-80553000.0,212648000.0,193103000.0,24513000.0,103042000.0,1274761000.0,486915000.0,-404422000.0,392080000.0,486915000.0,-404422000.0,392080000.0,474573000.0,123790000.0,123790000.0,25006000.0,-15338000.0,-12241000.0,-280736000.0,-702767000.0,-13691000.0,-494814000.0,,-100000000.0,108876000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q3,2009-07-01,2009-09-30,,,1824000.0,-43657000.0,55316000.0,19079000.0,5244000.0,101328000.0,499372000.0,308946000.0,-53621000.0,83250000.0,308946000.0,-53621000.0,83250000.0,338575000.0,58100000.0,58100000.0,-37234000.0,-3908000.0,-5642000.0,-71341000.0,-132929000.0,-2404000.0,-216505000.0,,,68275000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-04 16:30:18+00:00,,5422000.0,-101059000.0,161693000.0,66492000.0,8426000.0,102442000.0,1240512000.0,545357000.0,-329678000.0,272978000.0,545357000.0,-329678000.0,272978000.0,488657000.0,121924000.0,121924000.0,-24487000.0,-11837000.0,-14742000.0,-211308000.0,-445591000.0,-4112000.0,-574452000.0,,,68275000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q2,2009-04-01,2009-06-30,,,1375000.0,-91119000.0,53737000.0,23529000.0,8681000.0,1079000.0,506140000.0,172922000.0,-146376000.0,98907000.0,172922000.0,-146376000.0,98907000.0,125453000.0,16723000.0,16723000.0,18391000.0,-7929000.0,-1972000.0,-71101000.0,-164035000.0,-869000.0,-255267000.0,,,-3029000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-06 15:39:59+00:00,,3598000.0,-57402000.0,106377000.0,47413000.0,3182000.0,1114000.0,741140000.0,236411000.0,-276057000.0,189728000.0,236411000.0,-276057000.0,189728000.0,150082000.0,63824000.0,63824000.0,12747000.0,-7929000.0,-9100000.0,-139967000.0,-312662000.0,-1708000.0,-357947000.0,,,
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2009.0,Q1,2009-01-01,2009-03-31,2010-05-05 17:25:52+00:00,,2223000.0,33717000.0,52640000.0,23884000.0,-5499000.0,35000.0,235000000.0,63489000.0,-129681000.0,90821000.0,63489000.0,-129681000.0,90821000.0,24629000.0,47101000.0,47101000.0,-5644000.0,,-7128000.0,-68866000.0,-148627000.0,-839000.0,-102680000.0,,,3029000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 17:26:26+00:00,,7723000.0,157014000.0,232942000.0,42329000.0,-16354000.0,381365000.0,250000000.0,167565000.0,-298936000.0,332106000.0,167565000.0,-298936000.0,332106000.0,200735000.0,174079000.0,174079000.0,-66284000.0,-6746000.0,,-298151000.0,-518502000.0,-16772000.0,-158903000.0,,,194009000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2010.0,Q4,2010-10-01,2010-12-31,,,1779000.0,282204000.0,60615000.0,9389000.0,8120000.0,59108000.0,250000000.0,100177000.0,-120589000.0,97727000.0,100177000.0,-120589000.0,97727000.0,77315000.0,26665000.0,26665000.0,548000.0,-3433000.0,,-76028000.0,-130840000.0,-7089000.0,-129470000.0,,,7951000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2010.0,Q3TTM,2009-10-01,2010-09-30,,,8661000.0,144520000.0,228920000.0,44202000.0,-23112000.0,328675000.0,628000.0,-482254000.0,-182228000.0,337982000.0,-482254000.0,-182228000.0,337982000.0,-326500000.0,179764000.0,179764000.0,-56251000.0,-4201000.0,14742000.0,-294582000.0,-531687000.0,-16685000.0,-512774000.0,,,307200000.0
