company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,0000070858,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:56:02+00:00,totalinterestincome,loansandleaseinterestincome,Loans and Leases Interest Income,+,credit,usd,13121000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,0000070858,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:56:02+00:00,totalinterestincome,investmentsecuritiesinterestincome,Investment Securities Interest Income,+,credit,usd,2900000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,0000070858,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:56:02+00:00,totalinterestincome,fedfundsandrepointerestincome,Federal Funds Sold and Securities Borrowed Interest Income,+,credit,usd,800000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,0000070858,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:56:02+00:00,totalinterestincome,tradingaccountinterestincome,Trading Account Interest Income,+,credit,usd,2229000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,0000070858,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:56:02+00:00,totalinterestincome,otherinterestincome,Other Interest Income,+,credit,usd,977000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,0000070858,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:56:02+00:00,netinterestincome,totalinterestincome,Total Interest Income,+,credit,usd,20027000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,0000070858,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:56:02+00:00,totalinterestexpense,depositsinterestexpense,Deposits Interest Expense,+,debit,usd,3520000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,0000070858,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:56:02+00:00,totalinterestexpense,shorttermborrowinginterestexpense,Short-Term Borrowings Interest Expense,+,debit,usd,3087000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,0000070858,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:56:02+00:00,totalinterestexpense,longtermdebtinterestexpense,Long-Term Debt Interest Expense,+,debit,usd,2799000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,0000070858,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:56:02+00:00,netinterestincome,totalinterestexpense,Total Interest Expense,-,debit,usd,9406000000.0
