company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,1849339000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,1849339000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,905388000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,905388000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,943951000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,435807000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totaloperatingexpenses,rdexpense,Research & Development Expense,+,debit,usd,99928000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,535735000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,408216000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totalotherincome,totalinterestexpense,Interest Expense,-,debit,usd,9017000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totalotherincome,totalinterestincome,Interest & Investment Income,+,credit,usd,10956000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totalotherincome,otherincome,"Other Income / (Expense), net",+,credit,usd,-1285000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,totalpretaxincome,totalotherincome,"Total Other Income / (Expense), net",+,credit,usd,654000.0
Becton Dickinson and Co,BDX,ICE2EP6D98PQUILVRZ91,0000010795,2008.0,Q3,2008-04-01,2008-06-30,2009-08-10 12:23:18+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,408870000.0
