company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,243200000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,755300000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,totalcurrentassets,netinventory,"Inventories, net",+,debit,usd,1821700000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,totalcurrentassets,othercurrentassets,Other Current Assets,+,debit,usd,269500000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,totalcurrentassets,othercurrentnonoperatingassets,Other Current Nonoperating Assets,+,debit,usd,246900000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,3336600000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,netppe,grossppe,"Plant, Property & Equipment, gross",+,debit,usd,5126000000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,netppe,accumulateddepreciation,Accumulated Depreciation,-,credit,usd,2566800000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,2559200000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,3483600000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,totalnoncurrentassets,intangibleassets,Intangible Assets,+,debit,usd,834900000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,768100000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,0000023217,2009.0,FY,,2009-05-31,2010-07-22 11:36:17+00:00,totalnoncurrentassets,othernoncurrentnonoperatingassets,Other Noncurrent Nonoperating Assets,+,debit,usd,90900000.0
