company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,204132000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalcurrentassets,notereceivable,Note & Lease Receivable,+,debit,usd,705558000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,909690000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,9740000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,7471000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalnoncurrentassets,intangibleassets,Intangible Assets,+,debit,usd,214000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,360583000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,368268000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,,totalassets,Total Assets,=,debit,usd,1287698000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalcurrentliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,387579000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalcurrentliabilities,customerdeposits,Customer Deposits,+,credit,usd,134133000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalliabilities,totalcurrentliabilities,Total Current Liabilities,+,credit,usd,521712000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalnoncurrentliabilities,othernoncurrentliabilities,Other Noncurrent Operating Liabilities,+,credit,usd,613906000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalliabilities,totalnoncurrentliabilities,Total Noncurrent Liabilities,+,credit,usd,613906000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,1135618000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalequity,totalpreferredequity,Preferred Stock,+,credit,usd,0.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,51639000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,115710000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalcommonequity,treasurystock,Treasury Stock,+,credit,usd,-12995000.0
Cass Information Systems Inc,CASS,549300G7XPIPR7SJ2F38,0000708781,2011.0,Q2,,2011-06-30,2011-08-04 16:26:57+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,-2274000.0
