company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,180074000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,180074000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,158260000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,158260000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,21814000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,6638000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,6638000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,15176000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,totalotherincome,totalinterestexpense,Interest Expense,-,debit,usd,3411000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,totalotherincome,otherincome,"Other Income / (Expense), net",+,credit,usd,-2045000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,totalpretaxincome,totalotherincome,"Total Other Income / (Expense), net",+,credit,usd,-5456000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,9720000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,netincomecontinuing,incometaxexpense,Income Tax Expense,-,debit,usd,2711000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,netincome,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,7009000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,netincome,netincomediscontinued,Net Income / (Loss) Discontinued Operations,+,credit,usd,-1587000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,netincometocommon,netincome,Consolidated Net Income / (Loss),+,credit,usd,5422000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,,netincometocommon,Net Income / (Loss) Attributable to Common Shareholders,=,credit,usd,5422000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,basiceps,weightedavebasicsharesos,Weighted Average Basic Shares Outstanding,/,,shares,61448000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,,basiceps,Basic Earnings per Share,=,,usdpershare,0.09
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,dilutedeps,weightedavedilutedsharesos,Weighted Average Diluted Shares Outstanding,/,,shares,61837000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,,dilutedeps,Diluted Earnings per Share,=,,usdpershare,0.09
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,basicdilutedeps,weightedavebasicdilutedsharesos,Weighted Average Basic & Diluted Shares Outstanding,/,,shares,60200000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:37:35+00:00,,basicdilutedeps,Basic & Diluted Earnings per Share,=,,usdpershare,0.09
CBIZ Inc,CBZ,,0000944148,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 14:21:54+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,175884000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 14:21:54+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,175884000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 14:21:54+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,157243000.0
CBIZ Inc,CBZ,,0000944148,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 14:21:54+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,157243000.0
