company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2008.0,FY,,2008-12-31,2010-02-12 17:32:23+00:00,523000000.0,631000000.0,-579000000.0,676000000.0,,495000000.0,24000000.0,39000000.0,779000000.0,,364000000.0,3300000000.0,883000000.0,577000000.0,2470000000.0,2000000.0,27000000.0,340000000.0,1167000000.0,274000000.0,96000000.0,574000000.0,2000000.0,357000000.0,806000000.0,1047000000.0,233000000.0,6000000.0,7166000000.0,182000000.0,2286000000.0,1369000000.0,182000000.0,184000000.0,6982000000.0,7166000000.0,2410000000.0,5613000000.0,0.0,-781000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2009.0,FY,,2009-12-31,2011-02-11 16:57:35+00:00,649000000.0,721000000.0,-660000000.0,1254000000.0,,522000000.0,42000000.0,105000000.0,798000000.0,,294000000.0,3259000000.0,872000000.0,522000000.0,2797000000.0,0.0,484000000.0,366000000.0,1288000000.0,262000000.0,50000000.0,611000000.0,2000000.0,311000000.0,1306000000.0,1505000000.0,242000000.0,3000000.0,8412000000.0,586000000.0,2856000000.0,1607000000.0,586000000.0,586000000.0,7826000000.0,8412000000.0,2759000000.0,6219000000.0,0.0,-781000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2009.0,Q3,,2009-09-30,2009-10-27 17:30:57+00:00,558000000.0,728000000.0,-543000000.0,1293000000.0,,503000000.0,60000000.0,44000000.0,806000000.0,,315000000.0,3312000000.0,894000000.0,467000000.0,2687000000.0,2000000.0,358000000.0,352000000.0,1157000000.0,223000000.0,85000000.0,606000000.0,2000000.0,328000000.0,1270000000.0,1505000000.0,265000000.0,4000000.0,8250000000.0,684000000.0,2862000000.0,1473000000.0,684000000.0,686000000.0,7564000000.0,8250000000.0,2701000000.0,6091000000.0,0.0,-781000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2009.0,Q2,,2009-06-30,2009-07-29 17:14:10+00:00,557000000.0,702000000.0,-588000000.0,1145000000.0,0.0,501000000.0,23000000.0,15000000.0,788000000.0,0.0,328000000.0,3268000000.0,843000000.0,473000000.0,2533000000.0,2000000.0,26000000.0,352000000.0,1159000000.0,,294000000.0,546000000.0,135000000.0,327000000.0,1254000000.0,1114000000.0,224000000.0,6000000.0,7623000000.0,246000000.0,2778000000.0,1342000000.0,246000000.0,248000000.0,7375000000.0,7623000000.0,2312000000.0,6033000000.0,0.0,-781000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2010.0,FY,,2010-12-31,2012-02-10 16:58:50+00:00,673000000.0,827000000.0,-670000000.0,740000000.0,0.0,574000000.0,92000000.0,45000000.0,774000000.0,,252000000.0,2990000000.0,838000000.0,610000000.0,3017000000.0,0.0,443000000.0,389000000.0,1359000000.0,253000000.0,59000000.0,596000000.0,9000000.0,289000000.0,1075000000.0,1851000000.0,228000000.0,78000000.0,8281000000.0,926000000.0,2668000000.0,1542000000.0,926000000.0,926000000.0,7355000000.0,8281000000.0,2596000000.0,5813000000.0,0.0,-829000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2010.0,Q3,,2010-09-30,2010-10-26 16:41:56+00:00,640000000.0,897000000.0,-606000000.0,884000000.0,,544000000.0,42000000.0,147000000.0,785000000.0,,271000000.0,3010000000.0,896000000.0,578000000.0,2884000000.0,0.0,499000000.0,398000000.0,1257000000.0,264000000.0,91000000.0,589000000.0,9000000.0,292000000.0,1175000000.0,1801000000.0,261000000.0,2000000.0,8394000000.0,917000000.0,2767000000.0,1637000000.0,917000000.0,917000000.0,7477000000.0,8394000000.0,2743000000.0,5840000000.0,0.0,-822000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2010.0,Q2,,2010-06-30,2010-07-29 16:46:51+00:00,607000000.0,862000000.0,-709000000.0,1081000000.0,,535000000.0,41000000.0,106000000.0,736000000.0,,269000000.0,3162000000.0,844000000.0,522000000.0,2676000000.0,0.0,485000000.0,345000000.0,1260000000.0,244000000.0,70000000.0,532000000.0,0.0,273000000.0,1139000000.0,1664000000.0,265000000.0,2000000.0,8105000000.0,689000000.0,2822000000.0,1510000000.0,689000000.0,689000000.0,7416000000.0,8105000000.0,2607000000.0,5906000000.0,0.0,-801000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2010.0,Q1,,2010-03-31,2010-04-27 17:20:10+00:00,626000000.0,801000000.0,-686000000.0,1139000000.0,,530000000.0,41000000.0,104000000.0,765000000.0,,266000000.0,3233000000.0,843000000.0,545000000.0,2723000000.0,0.0,488000000.0,356000000.0,1275000000.0,276000000.0,42000000.0,552000000.0,3000000.0,266000000.0,1224000000.0,1511000000.0,258000000.0,4000000.0,8202000000.0,574000000.0,2851000000.0,1540000000.0,574000000.0,574000000.0,7628000000.0,8202000000.0,2628000000.0,6088000000.0,0.0,-781000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2011.0,FY,,2011-12-31,2013-02-08 17:22:53+00:00,673000000.0,871000000.0,-850000000.0,682000000.0,0.0,627000000.0,104000000.0,29000000.0,760000000.0,,197000000.0,2873000000.0,824000000.0,712000000.0,3269000000.0,0.0,421000000.0,274000000.0,1492000000.0,235000000.0,35000000.0,539000000.0,,344000000.0,1153000000.0,2424000000.0,144000000.0,64000000.0,8518000000.0,1341000000.0,2703000000.0,1385000000.0,1341000000.0,1341000000.0,7177000000.0,8518000000.0,2546000000.0,5792000000.0,0.0,-860000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2011.0,Q3,,2011-09-30,2011-10-26 08:47:09+00:00,713000000.0,978000000.0,-626000000.0,704000000.0,0.0,601000000.0,101000000.0,156000000.0,780000000.0,,213000000.0,2893000000.0,841000000.0,777000000.0,3233000000.0,0.0,412000000.0,321000000.0,1214000000.0,203000000.0,71000000.0,583000000.0,0.0,334000000.0,1214000000.0,2338000000.0,161000000.0,64000000.0,8711000000.0,1456000000.0,2898000000.0,1613000000.0,1456000000.0,1456000000.0,7255000000.0,8711000000.0,2580000000.0,5642000000.0,0.0,-857000000.0
