company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netrealizedcapitalgains,nonoperatingincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,premiumsearned,propertyliabilityinsuranceclaims,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Cigna Corp,CI,,1739940,2016.0,FY,2016-01-01,2016-12-31,2019-02-28 16:54:00+00:00,151000000.0,7.31,7.31,,7.19,1136000000.0,1843000000.0,1843000000.0,1867000000.0,-24000000.0,169000000.0,-278000000.0,39838000000.0,12258000000.0,,,24341000000.0,36750000000.0,40007000000.0,2979000000.0,40007000000.0,255360000.0,255360000.0,255360000.0
Cigna Corp,CI,,1739940,2017.0,FY,2017-01-01,2017-12-31,2020-02-27 15:25:39+00:00,115000000.0,8.92,8.92,0.04,8.77,1374000000.0,2232000000.0,2232000000.0,2237000000.0,-5000000.0,-84000000.0,-252000000.0,41806000000.0,12486000000.0,0.0,,25263000000.0,37864000000.0,41722000000.0,3606000000.0,41722000000.0,250800000.0,250800000.0,255100000.0
Cigna Corp,CI,,1739940,2018.0,FY,2018-01-01,2018-12-31,2020-02-27 15:25:39+00:00,235000000.0,10.69,10.69,0.04,10.54,935000000.0,2646000000.0,2646000000.0,2637000000.0,9000000.0,-81000000.0,-498000000.0,48650000000.0,16727000000.0,0.0,,27528000000.0,44490000000.0,48569000000.0,3581000000.0,48569000000.0,246700000.0,246700000.0,250200000.0
Cigna Corp,CI,,1739940,2018.0,Q4,2018-10-01,2018-12-31,,136000000.0,0.41,0.41,,0.39,81000000.0,147000000.0,147000000.0,144000000.0,3000000.0,-1117000000.0,-286000000.0,42341000000.0,6461000000.0,,-27005000000.0,7108000000.0,13705000000.0,14219000000.0,228000000.0,14219000000.0,246700000.0,246700000.0,250200000.0
Cigna Corp,CI,,1739940,2018.0,Q3YTD,2018-01-01,2018-09-30,,99000000.0,10.28,10.28,,10.15,854000000.0,2499000000.0,2499000000.0,2493000000.0,6000000.0,1036000000.0,-212000000.0,6309000000.0,10266000000.0,,27005000000.0,20420000000.0,30785000000.0,34350000000.0,3353000000.0,34350000000.0,242800000.0,242800000.0,245900000.0
Cigna Corp,CI,,1739940,2018.0,Q3,2018-07-01,2018-09-30,2019-10-31 12:54:25+00:00,48000000.0,3.18,3.18,0.0,3.14,259000000.0,774000000.0,774000000.0,772000000.0,2000000.0,355000000.0,-99000000.0,2108000000.0,3474000000.0,0.0,8994000000.0,6803000000.0,10325000000.0,11457000000.0,1033000000.0,11457000000.0,242800000.0,242800000.0,245900000.0
Cigna Corp,CI,,1739940,2018.0,Q2,2018-04-01,2018-06-30,2019-08-01 13:26:58+00:00,24000000.0,3.32,3.32,0.0,3.29,294000000.0,808000000.0,808000000.0,806000000.0,2000000.0,352000000.0,-56000000.0,2116000000.0,3453000000.0,0.0,9012000000.0,6845000000.0,10322000000.0,11480000000.0,1102000000.0,11480000000.0,242800000.0,242800000.0,245000000.0
Cigna Corp,CI,,1739940,2018.0,Q2YTD,2018-01-01,2018-06-30,,51000000.0,7.1,7.1,,7.01,595000000.0,1725000000.0,1725000000.0,1721000000.0,4000000.0,681000000.0,-113000000.0,4201000000.0,6792000000.0,,18011000000.0,13617000000.0,20460000000.0,22893000000.0,2320000000.0,22893000000.0,242800000.0,242800000.0,245000000.0
Cigna Corp,CI,,1739940,2018.0,Q1,2018-01-01,2018-03-31,2019-05-02 14:39:36+00:00,27000000.0,3.78,3.78,,3.72,301000000.0,917000000.0,917000000.0,915000000.0,2000000.0,329000000.0,-57000000.0,2085000000.0,3339000000.0,,8999000000.0,6772000000.0,10138000000.0,11413000000.0,1218000000.0,11413000000.0,242179000.0,242179000.0,242179000.0
Cigna Corp,CI,,1739940,2019.0,Q4,2019-10-01,2019-12-31,,735000000.0,2.64,2.64,,2.61,277000000.0,984000000.0,984000000.0,977000000.0,7000000.0,-860000000.0,-391000000.0,68989000000.0,28144000000.0,,-29709000000.0,7889000000.0,36768000000.0,38420000000.0,1261000000.0,38420000000.0,375800000.0,375800000.0,379800000.0
Cigna Corp,CI,,1739940,2019.0,FY,2019-01-01,2019-12-31,2020-02-27 15:25:39+00:00,2949000000.0,13.58,13.58,0.04,13.44,1450000000.0,5120000000.0,5120000000.0,5104000000.0,16000000.0,175000000.0,-1682000000.0,153566000000.0,111721000000.0,0.0,,30819000000.0,145489000000.0,153741000000.0,6570000000.0,153741000000.0,375800000.0,375800000.0,379800000.0
Cigna Corp,CI,,1739940,2019.0,Q3YTD,2019-01-01,2019-09-30,,2214000000.0,10.94,10.94,,10.83,1173000000.0,4136000000.0,4136000000.0,4127000000.0,9000000.0,1035000000.0,-1291000000.0,84577000000.0,83577000000.0,,29709000000.0,22930000000.0,108721000000.0,115321000000.0,5309000000.0,115321000000.0,375300000.0,375300000.0,378400000.0
Cigna Corp,CI,,1739940,2019.0,Q3TTM,2018-10-01,2019-09-30,,2350000000.0,11.35,11.35,,11.22,1254000000.0,4283000000.0,4283000000.0,4271000000.0,12000000.0,-82000000.0,-1577000000.0,126918000000.0,90038000000.0,,2704000000.0,30038000000.0,122426000000.0,129540000000.0,5537000000.0,129540000000.0,375300000.0,375300000.0,378400000.0
Cigna Corp,CI,,1739940,2019.0,Q3,2019-07-01,2019-09-30,2019-10-31 12:54:25+00:00,734000000.0,3.6,3.6,0.0,3.57,409000000.0,1354000000.0,1354000000.0,1351000000.0,3000000.0,349000000.0,-411000000.0,28272000000.0,27914000000.0,0.0,9935000000.0,7734000000.0,36382000000.0,38556000000.0,1763000000.0,38556000000.0,375300000.0,375300000.0,378400000.0
Cigna Corp,CI,,1739940,2019.0,Q2,2019-04-01,2019-06-30,2019-08-01 13:26:58+00:00,737000000.0,3.73,3.73,0.0,3.7,348000000.0,1410000000.0,1410000000.0,1408000000.0,2000000.0,340000000.0,-428000000.0,28676000000.0,28320000000.0,0.0,9803000000.0,7576000000.0,36633000000.0,38819000000.0,1758000000.0,38819000000.0,377500000.0,377500000.0,380500000.0
