company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
C&J Energy Services Ltd,CJ,,0001615817,2014.0,Q1,2014-01-01,2014-03-31,2015-05-11 14:10:15+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,11588000.0
C&J Energy Services Ltd,CJ,,0001615817,2014.0,Q1,2014-01-01,2014-03-31,2015-05-11 14:10:15+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,11588000.0
C&J Energy Services Ltd,CJ,,0001615817,2014.0,Q1,2014-01-01,2014-03-31,2015-05-11 14:10:15+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,21870000.0
C&J Energy Services Ltd,CJ,,0001615817,2014.0,Q1,2014-01-01,2014-03-31,2015-05-11 14:10:15+00:00,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,290000.0
C&J Energy Services Ltd,CJ,,0001615817,2014.0,Q1,2014-01-01,2014-03-31,2015-05-11 14:10:15+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,5252000.0
C&J Energy Services Ltd,CJ,,0001615817,2014.0,Q1,2014-01-01,2014-03-31,2015-05-11 14:10:15+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,18541000.0
C&J Energy Services Ltd,CJ,,0001615817,2014.0,Q1,2014-01-01,2014-03-31,2015-05-11 14:10:15+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,57541000.0
C&J Energy Services Ltd,CJ,,0001615817,2014.0,Q1,2014-01-01,2014-03-31,2015-05-11 14:10:15+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,57541000.0
C&J Energy Services Ltd,CJ,,0001615817,2014.0,Q1,2014-01-01,2014-03-31,2015-05-11 14:10:15+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-63526000.0
C&J Energy Services Ltd,CJ,,0001615817,2014.0,Q1,2014-01-01,2014-03-31,2015-05-11 14:10:15+00:00,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-3000000.0
