company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,55292000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,241039000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcurrentassets,netinventory,"Inventories, net",+,debit,usd,75432000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,4102000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcurrentassets,currentdeferredtaxassets,Current Deferred & Refundable Income Taxes,+,debit,usd,6896000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,382761000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,20560000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,51276000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalnoncurrentassets,intangibleassets,Intangible Assets,+,debit,usd,5573000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,598000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,57447000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,,totalassets,Total Assets,=,debit,usd,460768000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcurrentliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,919000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcurrentliabilities,accountspayable,Accounts Payable,+,credit,usd,135352000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcurrentliabilities,accruedexpenses,Accrued Expenses,+,credit,usd,30268000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcurrentliabilities,currentemployeebenefitliabilities,Current Employee Benefit Liabilities,+,credit,usd,11892000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalliabilities,totalcurrentliabilities,Total Current Liabilities,+,credit,usd,178431000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalnoncurrentliabilities,capitalleaseobligations,Capital Lease Obligations,+,credit,usd,1488000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalnoncurrentliabilities,noncurrentdeferredtaxliabilities,Noncurrent Deferred & Payable Income Tax Liabilities,+,credit,usd,7437000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalnoncurrentliabilities,othernoncurrentliabilities,Other Noncurrent Operating Liabilities,+,credit,usd,4584000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalliabilities,totalnoncurrentliabilities,Total Noncurrent Liabilities,+,credit,usd,13509000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,191940000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,99712000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,176049000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalcommonequity,treasurystock,Treasury Stock,+,credit,usd,-6933000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,268828000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalequityandnoncontrollinginterests,totalequity,Total Preferred & Common Equity,+,credit,usd,268828000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,totalliabilitiesandequity,totalequityandnoncontrollinginterests,Total Equity & Noncontrolling Interests,+,credit,usd,268828000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q2,,2011-06-30,2011-08-11 15:21:45+00:00,,totalliabilitiesandequity,Total Liabilities & Shareholders' Equity,=,credit,usd,460768000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,39760000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,269916000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalcurrentassets,netinventory,"Inventories, net",+,debit,usd,72970000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,3931000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalcurrentassets,currentdeferredtaxassets,Current Deferred & Refundable Income Taxes,+,debit,usd,4770000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,391347000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,21913000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalnoncurrentassets,goodwill,Goodwill,+,debit,usd,51276000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalnoncurrentassets,intangibleassets,Intangible Assets,+,debit,usd,5389000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,590000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,57255000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,,totalassets,Total Assets,=,debit,usd,470515000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalcurrentliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,945000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalcurrentliabilities,accountspayable,Accounts Payable,+,credit,usd,138819000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalcurrentliabilities,accruedexpenses,Accrued Expenses,+,credit,usd,26611000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalcurrentliabilities,currentemployeebenefitliabilities,Current Employee Benefit Liabilities,+,credit,usd,13788000.0
PC Connection Inc,CNXN,,0001050377,2011.0,Q3,,2011-09-30,2011-11-08 17:09:43+00:00,totalliabilities,totalcurrentliabilities,Total Current Liabilities,+,credit,usd,180163000.0
