company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2009.0,FY,,2009-04-03,2010-05-21 08:39:14+00:00,636000000.0,3786000000.0,1264000000.0,-3417000000.0,-1004000000.0,2297000000.0,0.0,1996000000.0,915000000.0,317000000.0,822000000.0,3784000000.0,5770000000.0,1160000000.0,4173000000.0,2353000000.0,108000000.0,,,486000000.0,,,,615000000.0,1326000000.0,,,1624000000.0,4893000000.0,62000000.0,15619000000.0,5510000000.0,7707000000.0,4016000000.0,5510000000.0,5618000000.0,10001000000.0,15619000000.0,5559000000.0,5985000000.0,0.0,-375000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2010.0,FY,,2010-04-02,2011-06-15 12:56:26+00:00,409000000.0,3849000000.0,1344000000.0,3731000000.0,-1052000000.0,2784000000.0,0.0,2168000000.0,1189000000.0,284000000.0,821000000.0,3866000000.0,5972000000.0,1153000000.0,3669000000.0,2241000000.0,62000000.0,,,550000000.0,,,,773000000.0,1606000000.0,,,1789000000.0,5709000000.0,75000000.0,16455000000.0,6446000000.0,8422000000.0,4122000000.0,6446000000.0,6508000000.0,9947000000.0,16455000000.0,5792000000.0,5825000000.0,0.0,-379000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2010.0,Q3,,2010-01-01,2010-02-10 12:11:26+00:00,415000000.0,3935000000.0,1176000000.0,,-582000000.0,2427000000.0,,2131000000.0,795000000.0,280000000.0,765000000.0,3921000000.0,,1120000000.0,4176000000.0,2330000000.0,59000000.0,,,476000000.0,,,,528000000.0,1302000000.0,,,1935000000.0,5450000000.0,131000000.0,16196000000.0,6621000000.0,8297000000.0,3562000000.0,6621000000.0,6680000000.0,9516000000.0,16196000000.0,5569000000.0,5954000000.0,,-378000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2010.0,Q2,,2009-10-02,2009-11-12 12:36:15+00:00,532000000.0,3850000000.0,1135000000.0,,-602000000.0,2407000000.0,,2061000000.0,933000000.0,285000000.0,841000000.0,3924000000.0,,1151000000.0,4175000000.0,2345000000.0,60000000.0,,,477000000.0,,,,562000000.0,1314000000.0,,,1898000000.0,5239000000.0,65000000.0,16137000000.0,6320000000.0,8155000000.0,3791000000.0,6320000000.0,6380000000.0,9757000000.0,16137000000.0,5637000000.0,5966000000.0,,-378000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2011.0,FY,,2011-04-01,2012-05-29 16:27:55+00:00,517000000.0,3719000000.0,1291000000.0,3853000000.0,-690000000.0,1837000000.0,0.0,2283000000.0,987000000.0,396000000.0,817000000.0,4038000000.0,6349000000.0,1209000000.0,2409000000.0,2496000000.0,56000000.0,,,511000000.0,,,,820000000.0,1462000000.0,,,2001000000.0,6296000000.0,170000000.0,16120000000.0,7504000000.0,7557000000.0,4178000000.0,7504000000.0,7560000000.0,8560000000.0,16120000000.0,6067000000.0,4382000000.0,0.0,-385000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2011.0,Q3,,2010-12-31,2011-02-09 12:30:36+00:00,390000000.0,3804000000.0,1267000000.0,,-891000000.0,1629000000.0,,2241000000.0,1085000000.0,270000000.0,709000000.0,3964000000.0,,1133000000.0,2343000000.0,2364000000.0,55000000.0,,,533000000.0,,,,830000000.0,1466000000.0,,,2032000000.0,6200000000.0,471000000.0,15756000000.0,7167000000.0,7465000000.0,4192000000.0,7167000000.0,7222000000.0,8534000000.0,15756000000.0,5927000000.0,4342000000.0,,-383000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2011.0,Q2,,2010-10-01,2010-11-10 12:07:23+00:00,428000000.0,3956000000.0,1174000000.0,,-853000000.0,2657000000.0,,2217000000.0,1177000000.0,282000000.0,806000000.0,3921000000.0,,1186000000.0,3835000000.0,2358000000.0,63000000.0,,,573000000.0,,,,815000000.0,1466000000.0,,,1994000000.0,5990000000.0,112000000.0,16887000000.0,6971000000.0,8607000000.0,3979000000.0,6971000000.0,7034000000.0,9853000000.0,16887000000.0,5922000000.0,5874000000.0,,-383000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2011.0,Q1,,2010-07-02,2010-08-11 12:16:43+00:00,410000000.0,3831000000.0,1153000000.0,,-1152000000.0,2435000000.0,,2200000000.0,1099000000.0,266000000.0,764000000.0,3784000000.0,,1120000000.0,3735000000.0,2243000000.0,58000000.0,,,545000000.0,,,,751000000.0,1444000000.0,,,1883000000.0,5829000000.0,79000000.0,16047000000.0,6494000000.0,8149000000.0,3771000000.0,6494000000.0,6552000000.0,9495000000.0,16047000000.0,5655000000.0,5724000000.0,,-383000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2012.0,FY,,2012-03-30,2013-05-15 16:42:52+00:00,478000000.0,3257000000.0,1339000000.0,3703000000.0,-1093000000.0,1093000000.0,0.0,2332000000.0,619000000.0,57000000.0,789000000.0,1752000000.0,6144000000.0,1211000000.0,1486000000.0,2441000000.0,55000000.0,,,357000000.0,,,,902000000.0,1976000000.0,,,533000000.0,1930000000.0,1254000000.0,11189000000.0,2779000000.0,4883000000.0,4536000000.0,2779000000.0,2834000000.0,8355000000.0,11189000000.0,3865000000.0,3819000000.0,0.0,-390000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2012.0,Q3,,2011-12-30,2012-02-09 12:12:42+00:00,397000000.0,3296000000.0,1198000000.0,,-871000000.0,898000000.0,,2332000000.0,642000000.0,212000000.0,684000000.0,1718000000.0,,1268000000.0,2470000000.0,2470000000.0,56000000.0,,,491000000.0,,,,971000000.0,1499000000.0,,,477000000.0,2118000000.0,259000000.0,11098000000.0,3190000000.0,4671000000.0,3392000000.0,3190000000.0,3246000000.0,7852000000.0,11098000000.0,3957000000.0,4460000000.0,,-389000000.0
