company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-11433000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-11433000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,100000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,357000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,378000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-1556000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-12154000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-12154000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-710000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-8098000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,10000000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,1192000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,1192000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,0.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, net",+,debit,usd,46000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,46000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,46000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q1,2013-01-01,2013-03-31,2014-05-12 16:26:07+00:00,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,-10916000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q2,2013-04-01,2013-06-30,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-14173000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q2,2013-04-01,2013-06-30,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-14173000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q2,2013-04-01,2013-06-30,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,113000.0
Castlight Health Inc,CSLT,549300K52FAO83JL0L06,0001433714,2013.0,Q2,2013-04-01,2013-06-30,,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,389000.0
