company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,226357000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,226357000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,157572000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netcashfromcontinuingoperatingactivities,amortizationexpense,Amortization Expense,+,debit,usd,42534000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,60841000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,36218000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,523522000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,523522000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-160092000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netcashfromcontinuinginvestingactivities,acquisitions,Acquisitions,+,debit,usd,-30909000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netcashfromcontinuinginvestingactivities,purchaseofinvestments,Purchase of Investments,+,debit,usd,-128402000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netcashfromcontinuinginvestingactivities,saleofinvestments,Sale and/or Maturity of Investments,+,debit,usd,116433000.0
Cintas Corp,CTAS,,0000723254,2009.0,FY,2008-06-01,2009-05-31,2011-07-29 12:40:22+00:00,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-251000.0
