company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
COVENTRY HEALTH CARE INC,CVH,,1054833,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 15:49:46+00:00,273917000.0,93219000.0,150226000.0,27056000.0,7233000.0,668409000.0,-70980000.0,-378797000.0,627356000.0,-70980000.0,-378797000.0,627356000.0,177579000.0,381895000.0,381895000.0,68179000.0,387000.0,,-1172266000.0,-69371000.0,-423872000.0,-323137000.0,862840000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2009.0,Q4,2009-10-01,2009-12-31,,190703000.0,84383000.0,39245000.0,13928000.0,130000.0,,-130740000.0,-235553000.0,93000000.0,-130740000.0,-235553000.0,93000000.0,-273293000.0,109080000.0,109080000.0,-69253000.0,181000.0,,-287884000.0,-25528000.0,-110000000.0,-21051000.0,77859000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 18:30:23+00:00,190703000.0,84383000.0,151815000.0,446462000.0,1224000.0,0.0,-325898000.0,-260505000.0,881843000.0,-325898000.0,-260505000.0,881843000.0,295440000.0,242301000.0,242301000.0,41265000.0,604000.0,,-1140475000.0,-60323000.0,-294930000.0,-32796000.0,940293000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2009.0,Q3,2009-07-01,2009-09-30,,,,40982000.0,175958000.0,615000.0,,-103028000.0,-227542000.0,310265000.0,-103028000.0,-227542000.0,310265000.0,-20305000.0,70629000.0,70629000.0,22696000.0,4284000.0,,-540183000.0,-11622000.0,-97910000.0,-10017000.0,324263000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 12:31:04+00:00,,,112570000.0,432534000.0,1094000.0,,-195158000.0,-24952000.0,788843000.0,-195158000.0,-24952000.0,788843000.0,568733000.0,133221000.0,133221000.0,110518000.0,423000.0,,-852591000.0,-34795000.0,-184930000.0,-11745000.0,862434000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-06 11:51:50+00:00,,,71588000.0,256576000.0,479000.0,,-92130000.0,202590000.0,478578000.0,-92130000.0,202590000.0,478578000.0,589038000.0,62592000.0,62592000.0,87822000.0,-3861000.0,,-312408000.0,-23173000.0,-87020000.0,-1728000.0,538171000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,Q4,2010-10-01,2010-12-31,,471479000.0,77973000.0,36343000.0,-136271000.0,14052000.0,,15592000.0,802000.0,51007000.0,15592000.0,802000.0,51007000.0,67401000.0,150326000.0,150326000.0,609000.0,1933000.0,,-115552000.0,-21877000.0,,-393000.0,138231000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 11:18:38+00:00,471479000.0,77973000.0,140685000.0,-513418000.0,15484000.0,0.0,13521000.0,149661000.0,272252000.0,13521000.0,149661000.0,272252000.0,435434000.0,438616000.0,438616000.0,206369000.0,2925000.0,0.0,-922164000.0,-63257000.0,0.0,-4888000.0,1135082000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,Q3TTM,2009-10-01,2010-09-30,,190703000.0,84383000.0,143587000.0,-363219000.0,1562000.0,,-132811000.0,-86694000.0,314245000.0,-132811000.0,-86694000.0,314245000.0,94740000.0,397370000.0,397370000.0,136507000.0,1173000.0,,-1094496000.0,-66908000.0,-110000000.0,-25546000.0,1074710000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,Q3,2010-07-01,2010-09-30,,,,34838000.0,52604000.0,304000.0,,-558000.0,4458000.0,287273000.0,-558000.0,4458000.0,287273000.0,291173000.0,189944000.0,189944000.0,9887000.0,5000.0,,-85838000.0,-18460000.0,,-867000.0,108756000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-04 16:04:34+00:00,,,104342000.0,-377147000.0,1432000.0,0.0,-2071000.0,148859000.0,221245000.0,-2071000.0,148859000.0,221245000.0,368033000.0,288290000.0,288290000.0,205760000.0,992000.0,,-806612000.0,-41380000.0,0.0,-4495000.0,996851000.0
