company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,19762000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,19762000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,54835000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,13264000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,25985000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,113846000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,113846000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-95175000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,16125000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-79050000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-79050000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,-484017000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingfinancingactivities,repurchaseofcommonequity,Repurchase of Common Equity,+,debit,usd,-100000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingfinancingactivities,issuanceofdebt,Issuance of Debt,+,debit,usd,461000000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromcontinuingfinancingactivities,otherfinancingactivitiesnet,"Other Financing Activities, net",+,debit,usd,935000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,-22182000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,-22182000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,12614000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,,cashinterestpaid,Cash Interest Paid,=,,usd,6380000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,0001358071,2009.0,Q3,2009-07-01,2009-09-30,,,cashincometaxespaid,Cash Income Taxes Paid,=,,usd,1366000.0
