company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalassets,cashandequivalents,Cash and Due from Banks,+,debit,usd,141000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalassets,tradingaccountsecurities,Trading Account Securities,+,debit,usd,2747000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalassets,netpremisesandequipment,"Premises and Equipment, Net",+,debit,usd,1123770000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalassets,otherassets,Other Assets,+,debit,usd,61461000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,,totalassets,Total Assets,=,debit,usd,1188119000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalliabilities,longtermdebt,Long-Term Debt,+,credit,usd,723814000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalliabilities,otherlongtermliabilities,Other Long-Term Liabilities,+,credit,usd,34743000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,758557000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,590258000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,-159000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalcommonequity,otherequity,Other Equity Adjustments,+,credit,usd,-163140000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,426959000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalequityandnoncontrollinginterests,totalequity,Total Preferred & Common Equity,+,credit,usd,426959000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalequityandnoncontrollinginterests,noncontrollinginterests,Noncontrolling Interest,+,credit,usd,2603000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,totalliabilitiesandequity,totalequityandnoncontrollinginterests,Total Equity & Noncontrolling Interests,+,credit,usd,429562000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q2,,2010-06-30,2010-08-03 16:56:56+00:00,,totalliabilitiesandequity,Total Liabilities & Shareholders' Equity,=,credit,usd,1188119000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q3,,2010-09-30,2010-11-02 14:45:02+00:00,totalassets,cashandequivalents,Cash and Due from Banks,+,debit,usd,154000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q3,,2010-09-30,2010-11-02 14:45:02+00:00,totalassets,tradingaccountsecurities,Trading Account Securities,+,debit,usd,2706000.0
Eastgroup Properties Inc,EGP,31TIGQQZC4P6JMHKSW85,0000049600,2010.0,Q3,,2010-09-30,2010-11-02 14:45:02+00:00,totalassets,netpremisesandequipment,"Premises and Equipment, Net",+,debit,usd,1120082000.0
