company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-18317000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-18317000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,10687000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,2162000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,71083000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,65615000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,65615000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-7806000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,-725000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-8531000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-8531000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,-237000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingfinancingactivities,paymentofdividends,Payment of Dividends,+,debit,usd,-3270000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,1271000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,-2236000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,-2236000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,netchangeincash,effectofexchangeratechanges,Effect of Exchange Rate Changes,+,debit,usd,2490000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,57338000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,,cashinterestpaid,Cash Interest Paid,=,,usd,-93000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q3,2010-07-01,2010-09-30,,,cashincometaxespaid,Cash Income Taxes Paid,=,,usd,11309000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,-32255000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-32255000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,10707000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,9112000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-33815000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-46251000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-46251000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-6861000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfromcontinuinginvestingactivities,otherinvestingactivitiesnet,"Other Investing Activities, net",+,debit,usd,14000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-6847000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-6847000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfromcontinuingfinancingactivities,repaymentofdebt,Repayment of Debt,+,debit,usd,-104000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfromcontinuingfinancingactivities,repurchaseofcommonequity,Repurchase of Common Equity,+,debit,usd,-54000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfromcontinuingfinancingactivities,paymentofdividends,Payment of Dividends,+,debit,usd,-3267000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,-3425000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,-3425000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,netchangeincash,effectofexchangeratechanges,Effect of Exchange Rate Changes,+,debit,usd,634000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,-55889000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,,cashinterestpaid,Cash Interest Paid,=,,usd,-125000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2010.0,Q4,2010-10-01,2010-12-31,,,cashincometaxespaid,Cash Income Taxes Paid,=,,usd,2540000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,12818000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,12818000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,9880000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,-3718000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,-58354000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,-39374000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,-39374000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-6918000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfromcontinuinginvestingactivities,saleofplantpropertyandequipment,"Sale of Property, Plant & Equipment",+,debit,usd,18172000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,11254000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,11254000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfromcontinuingfinancingactivities,paymentofdividends,Payment of Dividends,+,debit,usd,-3270000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfromcontinuingfinancingactivities,issuanceofdebt,Issuance of Debt,+,debit,usd,3169000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfromcontinuingfinancingactivities,issuanceofcommonequity,Issuance of Common Equity,+,debit,usd,1160000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,1059000.0
Callaway Golf Co,ELY,5493005UB0KFRKBPCU72,0000837465,2011.0,Q1,2011-01-01,2011-03-31,2012-04-27 17:00:05+00:00,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,1059000.0
