company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,grossppe,longtermdebt,longterminvestments,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2009.0,FY,,2009-12-31,2011-02-24 13:33:43+00:00,159100000.0,324600000.0,1673900000.0,5200000.0,1141400000.0,0.0,602600000.0,336200000.0,6151200000.0,257200000.0,60500000.0,4477300000.0,7900000.0,377300000.0,186800000.0,308600000.0,,220400000.0,120700000.0,4879200000.0,17200000.0,,6747200000.0,5489900000.0,1652800000.0,484900000.0,5499200000.0,5507100000.0,1240100000.0,6747200000.0,617100000.0,755200000.0,2900000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2010.0,FY,,2010-12-31,2012-02-24 12:33:19+00:00,163500000.0,214600000.0,1694700000.0,11100000.0,1050700000.0,0.0,637100000.0,336200000.0,6744600000.0,240100000.0,,5049900000.0,5500000.0,358000000.0,171400000.0,168300000.0,,228700000.0,139400000.0,5305000000.0,17200000.0,,7051500000.0,5962000000.0,1436700000.0,349000000.0,5959500000.0,5965000000.0,1086500000.0,7051500000.0,564900000.0,737500000.0,8800000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2010.0,Q3,,2010-09-30,2010-10-21 12:39:49+00:00,182200000.0,414900000.0,1639500000.0,9600000.0,905200000.0,0.0,627400000.0,336200000.0,6625600000.0,248600000.0,45000000.0,4986100000.0,7400000.0,376100000.0,205800000.0,278500000.0,,216900000.0,134500000.0,5222200000.0,17200000.0,,7110100000.0,5867900000.0,1525900000.0,477900000.0,5865600000.0,5873000000.0,1237100000.0,7110100000.0,598100000.0,759200000.0,8700000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2010.0,Q2,,2010-06-30,2010-07-22 14:51:26+00:00,152500000.0,302700000.0,1622500000.0,700000.0,1237100000.0,0.0,618100000.0,336200000.0,6227300000.0,248600000.0,45200000.0,4604800000.0,6100000.0,365100000.0,147800000.0,246700000.0,,247200000.0,117200000.0,5141700000.0,17200000.0,,6921000000.0,5768500000.0,1687600000.0,416400000.0,5767600000.0,5773700000.0,1147300000.0,6921000000.0,628600000.0,730900000.0,8000000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2010.0,Q1,,2010-03-31,2010-04-22 14:51:30+00:00,97600000.0,310600000.0,1650300000.0,2500000.0,1229400000.0,0.0,611300000.0,336200000.0,6132900000.0,257200000.0,55400000.0,4482600000.0,8700000.0,379000000.0,160800000.0,221800000.0,,207700000.0,110100000.0,5065500000.0,17200000.0,,6782700000.0,5676000000.0,1700800000.0,336600000.0,5691100000.0,5699800000.0,1082900000.0,6782700000.0,599300000.0,746300000.0,-3300000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2011.0,FY,,2011-12-31,2013-02-21 18:32:46+00:00,644400000.0,851700000.0,2061500000.0,8600000.0,430700000.0,0.0,5253000000.0,3274000000.0,14483400000.0,4877600000.0,,12421900000.0,5200000.0,339500000.0,398900000.0,515700000.0,,521600000.0,464600000.0,5613100000.0,172500000.0,,17898800000.0,10893800000.0,1681300000.0,1332600000.0,10879300000.0,10884500000.0,7014300000.0,17898800000.0,3795600000.0,5681700000.0,19100000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2011.0,Q3,,2011-09-30,2011-11-03 13:26:47+00:00,551700000.0,654900000.0,1922300000.0,12500000.0,479900000.0,0.0,5228600000.0,3296100000.0,14234000000.0,4902100000.0,,12311700000.0,5000000.0,355000000.0,379600000.0,481000000.0,,528000000.0,421800000.0,5464600000.0,222500000.0,,17650200000.0,10724000000.0,1514400000.0,1255200000.0,10711100000.0,10716100000.0,6934100000.0,17650200000.0,3824100000.0,5678900000.0,18300000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2011.0,Q2,,2011-06-30,2011-08-09 13:05:29+00:00,553100000.0,682900000.0,1792500000.0,14800000.0,554000000.0,0.0,5233500000.0,3295000000.0,13901300000.0,4917400000.0,,12108800000.0,6600000.0,364100000.0,329400000.0,504200000.0,,541300000.0,456900000.0,5340800000.0,137400000.0,,17511400000.0,10571700000.0,1566300000.0,1194700000.0,10571700000.0,10578300000.0,6933100000.0,17511400000.0,3836300000.0,5738400000.0,17500000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2011.0,Q1,,2011-03-31,2011-04-29 10:02:22+00:00,296400000.0,269300000.0,1752900000.0,13200000.0,3432100000.0,0.0,663400000.0,336200000.0,7012000000.0,240100000.0,,5259100000.0,5200000.0,350000000.0,183800000.0,155900000.0,,184600000.0,150700000.0,5319400000.0,2480100000.0,,9665100000.0,6005300000.0,3885200000.0,2932400000.0,5986700000.0,5991900000.0,3673200000.0,9665100000.0,520800000.0,740800000.0,9300000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2012.0,FY,,2012-12-31,2014-02-26 17:27:54+00:00,357800000.0,811400000.0,2591500000.0,20100000.0,487100000.0,,5398700000.0,3274000000.0,15737100000.0,4798400000.0,,13145600000.0,5700000.0,351700000.0,425400000.0,584400000.0,,421800000.0,573400000.0,6434700000.0,47500000.0,,18565300000.0,11884500000.0,1723900000.0,989700000.0,11846400000.0,11852100000.0,6713200000.0,18565300000.0,3695800000.0,5723500000.0,31000000.0
