company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalassets,cashandequivalents,Cash and Due from Banks,+,debit,usd,28354000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalassets,restrictedcash,Restricted Cash,+,debit,usd,33699000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalassets,customerandotherreceivables,Customer and Other Receivables,+,debit,usd,20589000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalassets,netpremisesandequipment,"Premises and Equipment, Net",+,debit,usd,29079000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalassets,otherassets,Other Assets,+,debit,usd,2067394000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,,totalassets,Total Assets,=,debit,usd,2179115000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,140000000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalliabilities,longtermdebt,Long-Term Debt,+,credit,usd,1041370000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalliabilities,otherlongtermliabilities,Other Long-Term Liabilities,+,credit,usd,56976000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,1238346000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalequity,totalpreferredequity,Preferred Stock,+,credit,usd,0.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,1145308000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,-261582000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,-4689000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,879037000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalequityandnoncontrollinginterests,totalequity,Total Preferred & Common Equity,+,credit,usd,879037000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalequityandnoncontrollinginterests,noncontrollinginterests,Noncontrolling Interest,+,credit,usd,61732000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,totalliabilitiesandequity,totalequityandnoncontrollinginterests,Total Equity & Noncontrolling Interests,+,credit,usd,940769000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q2,,2010-06-30,2010-08-06 15:47:43+00:00,,totalliabilitiesandequity,Total Liabilities & Shareholders' Equity,=,credit,usd,2179115000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalassets,cashandequivalents,Cash and Due from Banks,+,debit,usd,21798000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalassets,restrictedcash,Restricted Cash,+,debit,usd,32893000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalassets,customerandotherreceivables,Customer and Other Receivables,+,debit,usd,24593000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalassets,netpremisesandequipment,"Premises and Equipment, Net",+,debit,usd,29537000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalassets,otherassets,Other Assets,+,debit,usd,2066329000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,,totalassets,Total Assets,=,debit,usd,2175150000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,115000000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalliabilities,longtermdebt,Long-Term Debt,+,credit,usd,1056432000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalliabilities,otherlongtermliabilities,Other Long-Term Liabilities,+,credit,usd,69686000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,1241118000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalequity,totalpreferredequity,Preferred Stock,+,credit,usd,0.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,1147778000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,-262666000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,-8530000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,876582000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalequityandnoncontrollinginterests,totalequity,Total Preferred & Common Equity,+,credit,usd,876582000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalequityandnoncontrollinginterests,noncontrollinginterests,Noncontrolling Interest,+,credit,usd,57450000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,totalliabilitiesandequity,totalequityandnoncontrollinginterests,Total Equity & Noncontrolling Interests,+,credit,usd,934032000.0
Extra Space Storage Inc,EXR,,0001289490,2010.0,Q3,,2010-09-30,2010-11-05 13:25:41+00:00,,totalliabilitiesandequity,Total Liabilities & Shareholders' Equity,=,credit,usd,2175150000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalassets,cashandequivalents,Cash and Due from Banks,+,debit,usd,42555000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalassets,restrictedcash,Restricted Cash,+,debit,usd,40527000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalassets,customerandotherreceivables,Customer and Other Receivables,+,debit,usd,9334000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalassets,netpremisesandequipment,"Premises and Equipment, Net",+,debit,usd,13168000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalassets,otherassets,Other Assets,+,debit,usd,2147533000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,,totalassets,Total Assets,=,debit,usd,2253117000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,125000000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalliabilities,longtermdebt,Long-Term Debt,+,credit,usd,1121009000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalliabilities,otherlongtermliabilities,Other Long-Term Liabilities,+,credit,usd,59965000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,1305974000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalequity,totalpreferredequity,Preferred Stock,+,credit,usd,0.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,1162069000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,-266588000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalcommonequity,aoci,Accumulated Other Comprehensive Income / (Loss),+,credit,usd,-4678000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalequity,totalcommonequity,Total Common Equity,+,credit,usd,890803000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalequityandnoncontrollinginterests,totalequity,Total Preferred & Common Equity,+,credit,usd,890803000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalequityandnoncontrollinginterests,noncontrollinginterests,Noncontrolling Interest,+,credit,usd,56340000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,totalliabilitiesandequity,totalequityandnoncontrollinginterests,Total Equity & Noncontrolling Interests,+,credit,usd,947143000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q1,,2011-03-31,2011-05-06 14:46:33+00:00,,totalliabilitiesandequity,Total Liabilities & Shareholders' Equity,=,credit,usd,2253117000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q2,,2011-06-30,2011-08-08 13:58:49+00:00,totalassets,cashandequivalents,Cash and Due from Banks,+,debit,usd,35187000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q2,,2011-06-30,2011-08-08 13:58:49+00:00,totalassets,restrictedcash,Restricted Cash,+,debit,usd,32700000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q2,,2011-06-30,2011-08-08 13:58:49+00:00,totalassets,customerandotherreceivables,Customer and Other Receivables,+,debit,usd,8490000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q2,,2011-06-30,2011-08-08 13:58:49+00:00,totalassets,netpremisesandequipment,"Premises and Equipment, Net",+,debit,usd,6800000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q2,,2011-06-30,2011-08-08 13:58:49+00:00,totalassets,otherassets,Other Assets,+,debit,usd,2227680000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q2,,2011-06-30,2011-08-08 13:58:49+00:00,,totalassets,Total Assets,=,debit,usd,2310857000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q2,,2011-06-30,2011-08-08 13:58:49+00:00,totalliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,129000000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q2,,2011-06-30,2011-08-08 13:58:49+00:00,totalliabilities,longtermdebt,Long-Term Debt,+,credit,usd,1061239000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q2,,2011-06-30,2011-08-08 13:58:49+00:00,totalliabilities,otherlongtermliabilities,Other Long-Term Liabilities,+,credit,usd,61674000.0
Extra Space Storage Inc,EXR,,0001289490,2011.0,Q2,,2011-06-30,2011-08-08 13:58:49+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,1251913000.0
