company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:39:17+00:00,2.99,2.99,0.4,2.88,113375000.0,546528000.0,546528000.0,,527961000.0,18567000.0,15869204000.0,16691033000.0,,,,193743000.0,15869204000.0,821829000.0,32707000.0,64524000.0,193743000.0,628086000.0,31817000.0,659903000.0,16691033000.0,176600000.0,174504000.0,181043000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,Q4,2008-10-01,2008-12-31,,1.07,1.07,0.16,1.07,61729000.0,197356000.0,197356000.0,,189507000.0,7849000.0,5740262000.0,6071525000.0,,,,83372000.0,5740262000.0,331263000.0,3297000.0,14491000.0,83372000.0,247891000.0,11194000.0,259085000.0,6071525000.0,179500000.0,177658000.0,182612000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 09:30:23+00:00,3.99,3.99,0.5,3.89,392791000.0,748903000.0,748903000.0,,716061000.0,32842000.0,21081870000.0,22325894000.0,,,,229692000.0,21081870000.0,1244024000.0,18439000.0,145801000.0,229692000.0,1014332000.0,127362000.0,1141694000.0,22325894000.0,179500000.0,177658000.0,182612000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,Q3YTD,2008-01-01,2008-09-30,,2.95,2.95,0.48,2.95,331062000.0,551547000.0,551547000.0,,526554000.0,24993000.0,15341608000.0,16254369000.0,,,,146320000.0,15341608000.0,912761000.0,15142000.0,131310000.0,146320000.0,766441000.0,116168000.0,882609000.0,16254369000.0,180100000.0,178253000.0,181110000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,Q3,2008-07-01,2008-09-30,2009-11-09 16:24:04+00:00,1.01,1.01,0.125,1.0,112166000.0,189331000.0,189331000.0,,181891000.0,7440000.0,5341945000.0,5673818000.0,,,,45089000.0,5341945000.0,331873000.0,4457000.0,19170000.0,45089000.0,286784000.0,14713000.0,301497000.0,5673818000.0,180100000.0,178253000.0,181110000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,Q2YTD,2008-01-01,2008-06-30,,1.96,1.96,0.3,1.96,218896000.0,362216000.0,362216000.0,,344663000.0,17553000.0,9999663000.0,10580551000.0,,,,101231000.0,9999663000.0,580888000.0,10685000.0,112140000.0,101231000.0,479657000.0,101455000.0,581112000.0,10580551000.0,177700000.0,176268000.0,184341000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,Q2,2008-04-01,2008-06-30,2009-08-10 16:14:50+00:00,1.17,1.17,0.125,1.12,135459000.0,217877000.0,217877000.0,,207957000.0,9920000.0,5449963000.0,5773570000.0,,,,61711000.0,5449963000.0,323607000.0,5489000.0,96929000.0,61711000.0,261896000.0,91440000.0,353336000.0,5773570000.0,177700000.0,176268000.0,184341000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2008.0,Q1,2008-01-01,2008-03-31,2009-05-11 16:17:34+00:00,0.77,0.77,0.125,0.74,83437000.0,144339000.0,144339000.0,,136706000.0,7633000.0,4549700000.0,4806981000.0,,,,39520000.0,4549700000.0,257281000.0,5196000.0,15211000.0,39520000.0,217761000.0,10015000.0,227776000.0,4806981000.0,177500000.0,175698000.0,182722000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q4,2009-10-01,2009-12-31,,0.83,0.83,0.31,0.83,102931000.0,161245000.0,161245000.0,,148724000.0,12521000.0,5156752000.0,5479366000.0,,,,61480000.0,5156752000.0,322614000.0,2398000.0,5440000.0,61480000.0,261134000.0,3042000.0,264176000.0,5479366000.0,180700000.0,179100000.0,180862000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 16:22:32+00:00,3.79,3.79,0.5,3.75,403913000.0,732875000.0,732875000.0,,684889000.0,47986000.0,20689161000.0,21990297000.0,,,,178520000.0,20689161000.0,1301136000.0,10054000.0,24226000.0,178520000.0,1122616000.0,14172000.0,1136788000.0,21990297000.0,180700000.0,179100000.0,180862000.0
