company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt
Fortive Corp,FTV,,1659166,2014.0,FY,2014-01-01,2014-12-31,2017-02-27 20:25:43+00:00,-289000000.0,90200000.0,88000000.0,86700000.0,0.0,-111600000.0,,,-655600000.0,-291100000.0,946900000.0,,,,-655600000.0,-291100000.0,946700000.0,0.0,883400000.0,883400000.0,-3100000.0,-635000000.0,13800000.0,,0.0,-102600000.0,-20600000.0
Fortive Corp,FTV,,1659166,2015.0,FY,2015-01-01,2015-12-31,2018-02-27 20:44:26+00:00,-37100000.0,88800000.0,88000000.0,2300000.0,0.0,-78900000.0,,,-834900000.0,-174100000.0,1008900000.0,,,,-834900000.0,-174100000.0,1009000000.0,0.0,863800000.0,863800000.0,47200000.0,-834900000.0,-19200000.0,,0.0,-120100000.0,0.0
Fortive Corp,FTV,,1659166,2015.0,Q4,2015-10-03,2015-12-31,,-37100000.0,22300000.0,22300000.0,2300000.0,,96200000.0,,,-297700000.0,-90200000.0,387800000.0,,,,-297700000.0,-90200000.0,387900000.0,,236100000.0,236100000.0,10900000.0,-297700000.0,-22300000.0,,,-33100000.0,
Fortive Corp,FTV,,1659166,2015.0,Q3,2015-07-04,2015-10-02,,,21900000.0,21700000.0,,,-24400000.0,,,-202100000.0,-34200000.0,236300000.0,,,,-202100000.0,-34200000.0,236300000.0,,196600000.0,196600000.0,20500000.0,-202100000.0,400000.0,,,-34600000.0,
Fortive Corp,FTV,,1659166,2015.0,Q3YTD,2015-01-01,2015-10-02,2016-10-27 16:17:33+00:00,0.0,66500000.0,65700000.0,,0.0,-175100000.0,,,-537200000.0,-83900000.0,621100000.0,,,,-537200000.0,-83900000.0,621100000.0,0.0,627700000.0,627700000.0,36300000.0,-537200000.0,3100000.0,,0.0,-87000000.0,0.0
Fortive Corp,FTV,,1659166,2015.0,Q2YTD,2015-01-01,2015-07-03,2016-08-02 16:36:08+00:00,0.0,44600000.0,44000000.0,,,-150700000.0,,,-335100000.0,-49700000.0,384800000.0,,,,-335100000.0,-49700000.0,384800000.0,0.0,431100000.0,431100000.0,15800000.0,-335100000.0,2700000.0,,0.0,-52400000.0,0.0
Fortive Corp,FTV,,1659166,2016.0,FY,2016-01-01,2016-12-31,2019-02-27 18:18:23+00:00,-190100000.0,85300000.0,75600000.0,9000000.0,-26700000.0,35800000.0,3352200000.0,0.0,2400000.0,-291200000.0,982400000.0,1400000.0,-19600000.0,154500000.0,3800000.0,-310800000.0,1136900000.0,803200000.0,740200000.0,740200000.0,45700000.0,-301400000.0,0.0,,-3048400000.0,-110100000.0,0.0
Fortive Corp,FTV,,1659166,2016.0,Q4,2016-10-01,2016-12-31,,500000.0,18100000.0,8900000.0,9000000.0,-27600000.0,36000000.0,-156400000.0,,-178400000.0,-14900000.0,163000000.0,1400000.0,-19600000.0,154500000.0,-177000000.0,-34500000.0,317500000.0,78400000.0,92400000.0,92400000.0,7800000.0,,-4300000.0,,-24200000.0,-20100000.0,2200000.0
Fortive Corp,FTV,,1659166,2016.0,Q3YTD,2016-01-01,2016-09-30,2017-10-26 16:19:26+00:00,-190600000.0,67200000.0,66700000.0,,900000.0,-200000.0,3508600000.0,,180800000.0,-276300000.0,819400000.0,,,,180800000.0,-276300000.0,819400000.0,724800000.0,647800000.0,647800000.0,37900000.0,-301400000.0,4300000.0,,-3024200000.0,-90000000.0,-2200000.0
Fortive Corp,FTV,,1659166,2016.0,Q3TTM,2015-10-03,2016-09-30,,-227700000.0,89500000.0,89000000.0,2300000.0,900000.0,96000000.0,3508600000.0,,-116900000.0,-366500000.0,1207200000.0,,,,-116900000.0,-366500000.0,1207300000.0,724800000.0,883900000.0,883900000.0,48800000.0,-599100000.0,-18000000.0,,-3024200000.0,-123100000.0,-2200000.0
