company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,2122000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,2122000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netcashfromcontinuingoperatingactivities,depreciationexpense,Depreciation Expense,+,debit,usd,340000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netcashfromcontinuingoperatingactivities,noncashadjustmentstonetincome,Non-Cash Adjustments To Reconcile Net Income,+,debit,usd,1949000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netcashfromcontinuingoperatingactivities,increasedecreaseinoperatingcapital,"Changes in Operating Assets and Liabilities, net",+,debit,usd,6592000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netcashfromoperatingactivities,netcashfromcontinuingoperatingactivities,Net Cash From Continuing Operating Activities,+,debit,usd,11003000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netchangeincash,netcashfromoperatingactivities,Net Cash From Operating Activities,+,debit,usd,11003000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netcashfromcontinuinginvestingactivities,purchaseofplantpropertyandequipment,"Purchase of Property, Plant & Equipment",+,debit,usd,-265000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netcashfrominvestingactivities,netcashfromcontinuinginvestingactivities,Net Cash From Continuing Investing Activities,+,debit,usd,-265000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netchangeincash,netcashfrominvestingactivities,Net Cash From Investing Activities,+,debit,usd,-265000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netcashfromcontinuingfinancingactivities,repurchaseofcommonequity,Repurchase of Common Equity,+,debit,usd,-572000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netcashfromcontinuingfinancingactivities,paymentofdividends,Payment of Dividends,+,debit,usd,-5760000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netcashfromfinancingactivities,netcashfromcontinuingfinancingactivities,Net Cash From Continuing Financing Activities,+,debit,usd,-6332000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,netchangeincash,netcashfromfinancingactivities,Net Cash From Financing Activities,+,debit,usd,-6332000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,,netchangeincash,Net Change in Cash & Equivalents,=,debit,usd,4406000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q3,2012-07-01,2012-09-30,,,cashincometaxespaid,Cash Income Taxes Paid,=,,usd,9000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q4,2012-10-01,2012-12-31,,netincomecontinuing,netincome,Consolidated Net Income / (Loss),+,credit,usd,3645000.0
Gigamon Inc,GIMO,5493000R61KI7LN11029,0001484504,2012.0,Q4,2012-10-01,2012-12-31,,netcashfromcontinuingoperatingactivities,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,3645000.0
