company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalcurrentassets,cashandequivalents,Cash & Equivalents,+,debit,usd,108296000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalcurrentassets,accountsreceivable,Accounts Receivable,+,debit,usd,162268000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalcurrentassets,netinventory,"Inventories, net",+,debit,usd,221661000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalcurrentassets,prepaidexpenses,Prepaid Expenses,+,debit,usd,54793000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalassets,totalcurrentassets,Total Current Assets,+,debit,usd,547018000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalassets,netppe,"Plant, Property, & Equipment, net",+,debit,usd,623798000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalnoncurrentassets,othernoncurrentassets,Other Noncurrent Operating Assets,+,debit,usd,229772000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalassets,totalnoncurrentassets,Total Noncurrent Assets,+,debit,usd,229772000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,,totalassets,Total Assets,=,debit,usd,1400588000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalcurrentliabilities,shorttermdebt,Short-Term Debt,+,credit,usd,0.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalcurrentliabilities,accountspayable,Accounts Payable,+,credit,usd,120684000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalcurrentliabilities,accruedexpenses,Accrued Expenses,+,credit,usd,250000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalcurrentliabilities,dividendspayable,Dividends Payable,+,credit,usd,4180000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalcurrentliabilities,othercurrentliabilities,Other Current Liabilities,+,credit,usd,105658000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalliabilities,totalcurrentliabilities,Total Current Liabilities,+,credit,usd,230772000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalnoncurrentliabilities,longtermdebt,Long-Term Debt,+,credit,usd,332565000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalnoncurrentliabilities,noncurrentdeferredtaxliabilities,Noncurrent Deferred & Payable Income Tax Liabilities,+,credit,usd,108766000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalnoncurrentliabilities,othernoncurrentliabilities,Other Noncurrent Operating Liabilities,+,credit,usd,143263000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalliabilities,totalnoncurrentliabilities,Total Noncurrent Liabilities,+,credit,usd,584594000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalliabilitiesandequity,totalliabilities,Total Liabilities,+,credit,usd,815366000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalliabilitiesandequity,commitmentsandcontingencies,Commitments & Contingencies,+,credit,usd,0.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalcommonequity,commonequity,Common Stock,+,credit,usd,50238000.0
P H Glatfelter Co,GLT,549300LDQLQBT38QDY28,0000041719,2011.0,Q2,,2011-06-30,2011-08-05 15:39:38+00:00,totalcommonequity,retainedearnings,Retained Earnings,+,credit,usd,760992000.0
