company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalinterestincome,loansandleaseinterestincome,Loans and Leases Interest Income,+,credit,usd,375973000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalinterestincome,investmentsecuritiesinterestincome,Investment Securities Interest Income,+,credit,usd,269482000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalinterestincome,fedfundsandrepointerestincome,Federal Funds Sold and Securities Borrowed Interest Income,+,credit,usd,1205000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,netinterestincome,totalinterestincome,Total Interest Income,+,credit,usd,646660000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalinterestexpense,depositsinterestexpense,Deposits Interest Expense,+,debit,usd,141399000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalinterestexpense,longtermdebtinterestexpense,Long-Term Debt Interest Expense,+,debit,usd,272129000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,netinterestincome,totalinterestexpense,Total Interest Expense,-,debit,usd,413528000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalrevenue,netinterestincome,Net Interest Income / (Expense),+,credit,usd,233132000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalnoninterestincome,servicechargesondepositsincome,Service Charges on Deposit Accounts,+,credit,usd,2088000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalnoninterestincome,othernoninterestincome,Other Non-Interest Income,+,credit,usd,0.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalrevenue,totalnoninterestincome,Total Non-Interest Income,+,credit,usd,2088000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalpretaxincome,totalrevenue,Total Revenue,+,credit,usd,235220000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalpretaxincome,provisionforcreditlosses,Provision for Credit Losses,-,debit,usd,3000000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalnoninterestexpense,salariesandemployeebenefitsexpense,Salaries and Employee Benefits,+,debit,usd,31299000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalnoninterestexpense,netoccupancyequipmentexpense,Net Occupancy & Equipment Expense,+,debit,usd,7433000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalnoninterestexpense,propertyliabilityinsuranceclaims,Property & Liability Insurance Claims,+,debit,usd,423000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalnoninterestexpense,otheroperatingexpenses,Other Operating Expenses,+,debit,usd,9122000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,totalpretaxincome,totalnoninterestexpense,Total Non-Interest Expense,-,debit,usd,48277000.0
Hudson City Bancorp Inc ,HCBK,,0000921847,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:51:18+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,183943000.0
