company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,81293000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,81293000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,47746000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,47746000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,33547000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,20735000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totaloperatingexpenses,rdexpense,Research & Development Expense,+,debit,usd,15450000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totaloperatingexpenses,amortizationexpense,Amortization Expense,+,debit,usd,1534000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,37719000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,-4172000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totalotherincome,totalinterestincome,Interest & Investment Income,+,credit,usd,823000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totalotherincome,otherincome,"Other Income / (Expense), net",+,credit,usd,-188000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,totalpretaxincome,totalotherincome,"Total Other Income / (Expense), net",+,credit,usd,635000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,-3537000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,netincomecontinuing,incometaxexpense,Income Tax Expense,-,debit,usd,4382000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,netincome,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,-7919000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,netincometocommon,netincome,Consolidated Net Income / (Loss),+,credit,usd,-7919000.0
Harmonic Inc,HLIT,549300LRGRD8XC9BTL66,0000851310,2009.0,Q2,2009-04-04,2009-07-03,2010-08-09 19:06:31+00:00,,netincometocommon,Net Income / (Loss) Attributable to Common Shareholders,=,credit,usd,-7919000.0
