company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,parent,tag,financial_name,factor,balance,unit,value
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totalrevenue,operatingrevenue,Operating Revenue,+,credit,usd,166557000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totalgrossprofit,totalrevenue,Total Revenue,+,credit,usd,166557000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totalcostofrevenue,operatingcostofrevenue,Operating Cost of Revenue,+,debit,usd,112248000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totalgrossprofit,totalcostofrevenue,Total Cost of Revenue,-,debit,usd,112248000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totaloperatingincome,totalgrossprofit,Total Gross Profit,+,credit,usd,54309000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totaloperatingexpenses,sgaexpense,"Selling, General & Admin Expense",+,debit,usd,33036000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totaloperatingexpenses,depreciationexpense,Depreciation Expense,+,debit,usd,5659000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totaloperatingexpenses,otheroperatingexpenses,Other Operating Expenses / (Income),+,debit,usd,-2302000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totaloperatingincome,totaloperatingexpenses,Total Operating Expenses,-,debit,usd,36393000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totalpretaxincome,totaloperatingincome,Total Operating Income,+,credit,usd,17916000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totalotherincome,totalinterestexpense,Interest Expense,-,debit,usd,3020000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totalotherincome,otherincome,"Other Income / (Expense), net",+,credit,usd,642000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,totalpretaxincome,totalotherincome,"Total Other Income / (Expense), net",+,credit,usd,-2378000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,netincomecontinuing,totalpretaxincome,Total Pre-Tax Income ,+,credit,usd,15538000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,netincomecontinuing,incometaxexpense,Income Tax Expense,-,debit,usd,7693000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,netincome,netincomecontinuing,Net Income / (Loss) Continuing Operations,+,credit,usd,7845000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,netincome,netincomediscontinued,Net Income / (Loss) Discontinued Operations,+,credit,usd,1801000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,netincometocommon,netincome,Consolidated Net Income / (Loss),+,credit,usd,9646000.0
Huron Consulting Group Inc,HURN,549300NGVB9H6TKTLE36,0001289848,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 13:59:31+00:00,,netincometocommon,Net Income / (Loss) Attributable to Common Shareholders,=,credit,usd,9646000.0
