company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:18:38+00:00,-375000.0,,57856000.0,1495000.0,193166000.0,,,172137000.0,355007000.0,10000000.0,-1238497000.0,571751000.0,786523000.0,-1238497000.0,571751000.0,786523000.0,119777000.0,360830000.0,360830000.0,60390000.0,19686000.0,-7407000.0,,,-302690000.0,-146858000.0,0.0,-1623190000.0,1029081000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 15:42:47+00:00,0.0,,147999000.0,5224000.0,172453000.0,,,104941000.0,119450000.0,22963000.0,-422393000.0,-149812000.0,875179000.0,-422393000.0,-149812000.0,875179000.0,302974000.0,511749000.0,511749000.0,86036000.0,40182000.0,-8094000.0,,0.0,-476465000.0,-164604000.0,-288000.0,-604700000.0,499351000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 15:20:10+00:00,,,,,134623000.0,,,99992000.0,115424000.0,2083000.0,-406211000.0,-191470000.0,657070000.0,-406211000.0,-191470000.0,660068000.0,62387000.0,379273000.0,379273000.0,43182000.0,38756000.0,-8103000.0,,,-389335000.0,-121728000.0,-287000.0,-562187000.0,327696000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-07 16:40:16+00:00,,,,,95764000.0,,,80614000.0,77095000.0,2689000.0,-35543000.0,-95606000.0,455444000.0,-35543000.0,-95606000.0,455444000.0,324295000.0,230765000.0,230765000.0,48301000.0,6224000.0,-2565000.0,,,-216625000.0,-80847000.0,-276000.0,-121275000.0,204431000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2009.0,Q4,2009-10-01,2009-12-31,,,15427000.0,139969000.0,5417000.0,21143000.0,,,-3710000.0,32816000.0,15829000.0,-155179000.0,-118293000.0,259605000.0,-155179000.0,-118293000.0,259605000.0,-13867000.0,21133000.0,21133000.0,205612000.0,4183000.0,,,4400000.0,-297615000.0,-39891000.0,,-212407000.0,219213000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 17:30:07+00:00,0.0,15427000.0,139969000.0,5417000.0,132946000.0,,,221455000.0,164207000.0,19613000.0,-262158000.0,-948300000.0,796097000.0,-262158000.0,-948300000.0,796097000.0,-414361000.0,115228000.0,115228000.0,311041000.0,3510000.0,-11276000.0,,4400000.0,-1467737000.0,-153101000.0,,-453888000.0,683814000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2009.0,Q3TTM,2008-10-01,2009-09-30,,,,147999000.0,5224000.0,149633000.0,,,230114000.0,135417000.0,24664000.0,-123161000.0,-788349000.0,754601000.0,-123161000.0,-788349000.0,751603000.0,-159907000.0,226571000.0,226571000.0,148283000.0,753000.0,-11267000.0,,,-1257252000.0,-156086000.0,-1000.0,-283994000.0,636256000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2009.0,Q3,2009-07-01,2009-09-30,,,,,,36448000.0,,,69766000.0,80713000.0,3784000.0,24031000.0,-183538000.0,223946000.0,24031000.0,-183538000.0,223946000.0,64439000.0,83786000.0,83786000.0,33946000.0,6524000.0,-10001000.0,,,-357482000.0,-33786000.0,5121000.0,-72111000.0,217731000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 14:43:02+00:00,0.0,,,,111803000.0,,,225165000.0,131391000.0,3784000.0,-106979000.0,-830007000.0,536492000.0,-106979000.0,-830007000.0,536492000.0,-400494000.0,94095000.0,94095000.0,105429000.0,-673000.0,-11276000.0,,0.0,-1170122000.0,-113210000.0,,-241481000.0,464601000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2009.0,Q2TTM,2008-07-01,2009-06-30,,,,147999000.0,5224000.0,152044000.0,,,179726000.0,93033000.0,20274000.0,-517860000.0,-700675000.0,732281000.0,-517860000.0,-700675000.0,732281000.0,-486254000.0,291293000.0,291293000.0,109218000.0,26761000.0,-6804000.0,,,-1072480000.0,-163181000.0,-5133000.0,-652795000.0,541790000.0
